h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.510293,1.70398,0.510293,0.9462,"{'att': 363, 'def': 30}","{'att': 374, 'def': 13}",5,7,0,3,0.3822,l,2020-09-19 16:30:00,0,0,1,0,-0.43590700000000004
h,1.47627,0.771461,1.47627,0.771461,"{'att': 210, 'def': 19}","{'att': 397, 'def': 28}",1,3,1,1,1.9594,d,2020-09-26 13:30:00,0,1,0,1,0.704809
a,2.0629,0.244959,1.30512,0.244959,"{'att': 226, 'def': 32}","{'att': 414, 'def': 32}",12,2,3,1,2.734,w,2020-10-03 13:30:00,1,0,0,3,1.0601610000000001
h,2.11077,1.34469,1.353,1.34469,"{'att': 244, 'def': 30}","{'att': 253, 'def': 27}",6,4,1,1,1.9847000000000001,d,2020-10-17 18:30:00,0,1,0,1,0.00831000000000004
a,3.07629,1.90042,2.31851,1.90042,"{'att': 188, 'def': 31}","{'att': 403, 'def': 29}",7,13,3,2,2.1282,w,2020-10-24 13:30:00,1,0,0,3,0.41808999999999985
h,0.615287,0.695278,0.615287,0.695278,"{'att': 321, 'def': 28}","{'att': 312, 'def': 31}",6,5,1,0,1.2427,w,2020-10-31 17:30:00,1,0,0,3,-0.07999099999999992
a,3.02085,1.53904,2.26308,1.53904,"{'att': 405, 'def': 27}","{'att': 276, 'def': 33}",2,9,3,4,2.3708000000000005,l,2020-11-08 17:00:00,0,0,1,0,0.72404
h,1.70506,0.813971,1.70506,0.813971,"{'att': 326, 'def': 32}","{'att': 335, 'def': 19}",9,5,1,1,2.0798,d,2020-11-21 14:30:00,0,1,0,1,0.891089
h,3.15544,0.734533,3.15544,0.734533,"{'att': 225, 'def': 24}","{'att': 349, 'def': 23}",10,8,4,1,2.7609999999999997,w,2020-11-28 17:30:00,1,0,0,3,2.420907
a,1.66853,4.02129,1.66853,3.26352,"{'att': 198, 'def': 22}","{'att': 355, 'def': 27}",5,3,2,2,0.2513,d,2020-12-05 14:30:00,0,1,0,1,-1.5949900000000001
h,1.35982,0.36509,1.35982,0.36509,"{'att': 223, 'def': 21}","{'att': 233, 'def': 20}",6,4,1,1,2.276,d,2020-12-12 14:30:00,0,1,0,1,0.99473
a,1.14256,2.12722,0.384784,1.36945,"{'att': 152, 'def': 27}","{'att': 309, 'def': 34}",2,8,3,3,0.5876,d,2020-12-15 17:30:00,0,1,0,1,-0.984666
h,2.12823,2.28754,1.37062,2.28754,"{'att': 307, 'def': 25}","{'att': 281, 'def': 35}",3,8,1,2,1.2871,l,2020-12-19 14:30:00,0,0,1,0,-0.91692
a,1.88594,0.707828,1.88594,0.707828,"{'att': 229, 'def': 15}","{'att': 315, 'def': 20}",16,6,1,0,2.2632,w,2021-01-02 14:30:00,1,0,0,3,1.178112
h,0.96923,1.32717,0.96923,0.569395,"{'att': 439, 'def': 19}","{'att': 222, 'def': 25}",4,8,3,2,1.0061,w,2021-01-08 19:30:00,1,0,0,3,0.39983500000000005
a,1.43375,1.63795,0.675978,0.880178,"{'att': 394, 'def': 27}","{'att': 225, 'def': 17}",3,7,2,2,1.1821000000000002,d,2021-01-16 17:30:00,0,1,0,1,-0.20420000000000005
h,0.645527,0.813286,0.645527,0.813286,"{'att': 256, 'def': 30}","{'att': 336, 'def': 10}",7,4,1,0,1.146,w,2021-01-19 17:30:00,1,0,0,3,-0.167759
h,2.33235,1.93273,2.33235,1.93273,"{'att': 366, 'def': 19}","{'att': 296, 'def': 31}",3,8,4,2,1.6894,w,2021-01-22 19:30:00,1,0,0,3,0.39961999999999986
a,0.580509,0.691595,0.580509,0.691595,"{'att': 275, 'def': 25}","{'att': 399, 'def': 18}",8,2,1,1,1.1765,d,2021-01-30 14:30:00,0,1,0,1,-0.11108599999999991
h,0.42778,0.816611,0.42778,0.816611,"{'att': 228, 'def': 32}","{'att': 454, 'def': 14}",5,3,1,2,0.8967,l,2021-02-06 17:30:00,0,0,1,0,-0.388831
a,0.663321,0.641105,0.663321,0.641105,"{'att': 284, 'def': 31}","{'att': 259, 'def': 22}",7,6,0,0,1.3375000000000001,d,2021-02-14 17:00:00,0,1,0,1,0.022216000000000014
h,0.659888,0.665514,0.659888,0.665514,"{'att': 108, 'def': 13}","{'att': 408, 'def': 20}",8,2,1,2,1.2638,l,2021-02-20 14:30:00,0,0,1,0,-0.00562600000000002
a,1.94164,1.89119,1.18386,1.89119,"{'att': 293, 'def': 23}","{'att': 171, 'def': 31}",0,8,2,3,1.4592,l,2021-02-27 17:30:00,0,0,1,0,-0.70733
h,0.544034,1.36843,0.544034,1.36843,"{'att': 413, 'def': 25}","{'att': 271, 'def': 19}",8,6,0,1,0.6038,l,2021-03-06 14:30:00,0,0,1,0,-0.824396
a,2.30606,1.14857,1.54829,1.14857,"{'att': 193, 'def': 24}","{'att': 384, 'def': 16}",11,3,1,3,2.2071,l,2021-03-12 19:30:00,0,0,1,0,0.39971999999999985
a,2.06675,0.185724,2.06675,0.185724,"{'att': 196, 'def': 23}","{'att': 476, 'def': 18}",9,3,3,0,2.7222,w,2021-03-20 17:30:00,1,0,0,3,1.8810259999999999
h,1.48872,1.96748,1.48872,1.96748,"{'att': 332, 'def': 25}","{'att': 268, 'def': 34}",6,2,2,1,0.9952000000000001,w,2021-04-03 18:30:00,1,0,0,3,-0.47875999999999985
a,1.24723,1.41784,0.489458,1.41784,"{'att': 328, 'def': 17}","{'att': 205, 'def': 21}",6,10,2,2,1.2379,d,2021-04-10 13:30:00,0,1,0,1,-0.928382
h,2.95451,0.609687,2.95451,0.609687,"{'att': 363, 'def': 18}","{'att': 161, 'def': 22}",7,5,4,0,2.7352000000000003,w,2021-04-17 13:30:00,1,0,0,3,2.344823
a,0.8843,2.31017,0.8843,2.31017,"{'att': 326, 'def': 15}","{'att': 227, 'def': 17}",5,9,2,3,0.41569999999999996,l,2021-04-21 18:30:00,0,0,1,0,-1.4258699999999997
h,3.75166,0.594905,2.99389,0.594905,"{'att': 219, 'def': 17}","{'att': 427, 'def': 23}",12,3,5,0,2.8958999999999997,w,2021-04-25 16:00:00,1,0,0,3,2.3989849999999997
a,0.806609,3.02349,0.806609,2.26572,"{'att': 391, 'def': 28}","{'att': 287, 'def': 27}",9,22,0,6,0.20879999999999999,l,2021-05-08 16:30:00,0,0,1,0,-1.459111
