h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.67186,3.24821,1.67186,3.24821,"{'att': 243, 'def': 22}","{'att': 239, 'def': 11}",8,7,1,2,0.5233,l,2023-08-19 13:30:00,0,0,1,0,-1.57635
a,2.75768,2.72999,1.99991,1.97221,"{'att': 116, 'def': 18}","{'att': 280, 'def': 16}",4,8,3,2,1.4165,w,2023-08-26 13:30:00,1,0,0,3,0.027700000000000058
h,1.78689,1.4154,1.78689,1.4154,"{'att': 326, 'def': 12}","{'att': 198, 'def': 15}",4,11,3,1,1.6682000000000001,w,2023-09-02 13:30:00,1,0,0,3,0.3714900000000001
a,1.06988,1.19432,1.06988,1.19432,"{'att': 201, 'def': 16}","{'att': 170, 'def': 30}",4,9,3,1,1.2799,w,2023-09-16 13:30:00,1,0,0,3,-0.1244400000000001
a,2.15364,1.62442,1.39586,1.62442,"{'att': 240, 'def': 24}","{'att': 237, 'def': 17}",3,5,2,0,1.8018999999999998,w,2023-09-23 13:30:00,1,0,0,3,-0.22855999999999987
h,1.85129,1.69401,1.09352,1.69401,"{'att': 201, 'def': 24}","{'att': 210, 'def': 13}",14,2,1,3,1.476,l,2023-09-29 18:30:00,0,0,1,0,-0.60049
a,1.52805,1.03064,1.52805,1.03064,"{'att': 245, 'def': 22}","{'att': 287, 'def': 26}",8,6,3,2,1.7818,w,2023-10-07 16:30:00,1,0,0,3,0.4974099999999999
h,1.13281,2.13235,1.13281,2.13235,"{'att': 308, 'def': 17}","{'att': 307, 'def': 12}",6,12,1,3,0.6780999999999999,l,2023-10-21 13:30:00,0,0,1,0,-0.9995400000000001
a,1.74412,3.15109,0.986341,2.39332,"{'att': 355, 'def': 13}","{'att': 118, 'def': 18}",1,13,3,2,0.4707,w,2023-10-28 13:30:00,1,0,0,3,-1.4069790000000002
h,1.27214,1.05046,1.27214,1.05046,"{'att': 331, 'def': 11}","{'att': 306, 'def': 14}",4,12,2,3,1.5462000000000002,l,2023-11-04 14:30:00,0,0,1,0,0.2216800000000001
a,0.897413,0.937133,0.897413,0.937133,"{'att': 148, 'def': 19}","{'att': 362, 'def': 24}",5,7,1,1,1.3245999999999998,d,2023-11-11 14:30:00,0,1,0,1,-0.03971999999999998
