h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,3.98664,0.669108,3.98664,0.669108,"{'att': 242, 'def': 10}","{'att': 310, 'def': 17}",12,1,5,0,2.9129,w,2023-08-19 13:30:00,1,0,0,3,3.317532
a,1.18326,2.0934,1.18326,2.0934,"{'att': 286, 'def': 15}","{'att': 281, 'def': 22}",3,9,1,5,0.7339,l,2023-08-25 18:30:00,0,0,1,0,-0.91014
h,2.09598,1.50372,2.09598,1.50372,"{'att': 373, 'def': 15}","{'att': 330, 'def': 24}",5,3,5,0,1.8283999999999998,w,2023-09-02 13:30:00,1,0,0,3,0.59226
a,2.06366,1.16545,2.06366,1.16545,"{'att': 214, 'def': 17}","{'att': 299, 'def': 17}",9,8,3,1,2.0365,w,2023-09-16 13:30:00,1,0,0,3,0.89821
h,3.04946,0.272376,3.04946,0.272376,"{'att': 301, 'def': 26}","{'att': 374, 'def': 23}",14,5,3,1,2.8816,w,2023-09-22 18:30:00,1,0,0,3,2.777084
a,2.06666,0.803426,2.06666,0.803426,"{'att': 214, 'def': 26}","{'att': 366, 'def': 24}",11,7,2,0,2.3215,w,2023-09-30 13:30:00,1,0,0,3,1.2632340000000002
h,3.02575,1.06355,2.26797,1.06355,"{'att': 212, 'def': 26}","{'att': 324, 'def': 20}",12,3,3,1,2.6759,w,2023-10-07 13:30:00,1,0,0,3,1.20442
a,1.87513,0.573025,1.87513,0.573025,"{'att': 238, 'def': 9}","{'att': 355, 'def': 31}",5,2,3,0,2.3898,w,2023-10-21 13:30:00,1,0,0,3,1.302105
h,3.15109,1.74412,2.39332,0.986341,"{'att': 118, 'def': 18}","{'att': 355, 'def': 13}",13,1,2,3,2.3469,l,2023-10-28 13:30:00,0,0,1,0,1.4069790000000002
a,2.57296,0.78335,1.81518,0.78335,"{'att': 120, 'def': 20}","{'att': 356, 'def': 14}",14,3,0,2,2.6258999999999997,l,2023-11-05 16:30:00,0,0,1,0,1.03183
h,4.1718,0.7643,2.51082,0.7643,"{'att': 276, 'def': 24}","{'att': 364, 'def': 20}",9,1,2,1,2.9517,w,2023-11-11 14:30:00,1,0,0,3,1.7465199999999999
