h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.522515,0.91996,0.522515,0.91996,"{'att': 294, 'def': 25}","{'att': 230, 'def': 30}",1,14,0,1,0.9448000000000001,l,2015-08-22 22:30:00,0,0,1,0,-0.39744500000000005
h,0.825401,0.0685963,0.825401,0.0685963,"{'att': 130, 'def': 35}","{'att': 297, 'def': 34}",10,0,0,0,2.1184000000000003,d,2015-08-31 00:30:00,0,1,0,1,0.7568047
a,1.29875,3.52742,1.29875,2.78415,"{'att': 376, 'def': 19}","{'att': 180, 'def': 45}",6,20,3,3,0.2532,d,2015-09-13 20:15:00,0,1,0,1,-1.4853999999999998
h,0.401504,1.77993,0.401504,1.77993,"{'att': 155, 'def': 23}","{'att': 201, 'def': 38}",5,5,0,1,0.3018,l,2015-09-20 22:30:00,0,0,1,0,-1.378426
h,1.02387,1.53528,1.02387,1.53528,"{'att': 238, 'def': 22}","{'att': 142, 'def': 39}",2,9,2,0,0.9855,w,2015-09-24 00:00:00,1,0,0,3,-0.5114099999999999
a,0.585814,3.47992,0.585814,2.73665,"{'att': 387, 'def': 31}","{'att': 140, 'def': 34}",6,12,1,2,0.0961,l,2015-09-26 18:00:00,0,0,1,0,-2.150836
h,0.965753,1.62203,0.965753,1.62203,"{'att': 127, 'def': 15}","{'att': 290, 'def': 33}",8,7,0,2,0.7988,l,2015-10-04 00:00:00,0,0,1,0,-0.6562770000000001
a,0.443316,2.86431,0.443316,2.86431,"{'att': 217, 'def': 29}","{'att': 349, 'def': 36}",4,8,0,4,0.1244,l,2015-10-18 20:15:00,0,0,1,0,-2.4209940000000003
h,0.189007,0.205133,0.189007,0.205133,"{'att': 172, 'def': 18}","{'att': 333, 'def': 39}",1,2,0,0,1.1266,d,2015-10-25 19:00:00,0,1,0,1,-0.016126
a,0.562561,2.80269,0.562561,2.80269,"{'att': 387, 'def': 11}","{'att': 339, 'def': 32}",6,10,1,3,0.1652,l,2015-10-31 19:00:00,0,0,1,0,-2.240129
h,0.802566,0.500075,0.802566,0.500075,"{'att': 210, 'def': 22}","{'att': 227, 'def': 37}",2,8,2,0,1.6439000000000001,w,2015-11-06 23:30:00,1,0,0,3,0.30249099999999995
a,2.43396,1.38069,2.43396,1.38069,"{'att': 208, 'def': 26}","{'att': 362, 'def': 35}",8,3,1,1,2.162,d,2015-11-22 01:00:00,0,1,0,1,1.05327
h,0.349655,2.20767,0.349655,2.20767,"{'att': 137, 'def': 24}","{'att': 346, 'def': 25}",10,3,0,2,0.1694,l,2015-11-29 01:00:00,0,0,1,0,-1.8580149999999998
a,0.418437,3.85858,0.418437,3.85858,"{'att': 119, 'def': 18}","{'att': 315, 'def': 30}",3,7,1,3,0.036500000000000005,l,2015-12-06 21:15:00,0,0,1,0,-3.440143
h,2.11811,0.36831,2.11811,0.36831,"{'att': 160, 'def': 26}","{'att': 314, 'def': 25}",15,0,1,0,2.6481000000000003,w,2015-12-13 01:05:00,1,0,0,3,1.7498
a,0.598519,1.24844,0.598519,1.24844,"{'att': 233, 'def': 31}","{'att': 250, 'def': 47}",3,2,0,1,0.7738,l,2015-12-19 21:15:00,0,0,1,0,-0.649921
h,1.28726,0.688245,0.54398,0.688245,"{'att': 185, 'def': 22}","{'att': 276, 'def': 29}",7,3,4,1,1.9398,w,2015-12-31 00:00:00,1,0,0,3,-0.14426499999999998
