h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.977176,1.75881,0.977176,1.75881,"{'att': 100, 'def': 31}","{'att': 327, 'def': 30}",1,4,1,1,0.7308,d,2016-08-20 22:15:00,0,1,0,1,-0.7816339999999999
a,0.431857,2.78367,0.431857,2.78367,"{'att': 245, 'def': 28}","{'att': 223, 'def': 22}",2,9,1,5,0.1291,l,2016-08-28 20:15:00,0,0,1,0,-2.351813
h,1.96158,1.12057,1.96158,1.12057,"{'att': 85, 'def': 13}","{'att': 298, 'def': 24}",2,2,1,2,2.1136,l,2016-09-11 20:15:00,0,0,1,0,0.84101
a,1.41911,1.96299,0.576283,1.96299,"{'att': 258, 'def': 28}","{'att': 148, 'def': 31}",2,14,2,2,0.9686,d,2016-09-16 22:45:00,0,1,0,1,-1.386707
h,0.887639,1.57519,0.887639,1.57519,"{'att': 186, 'def': 18}","{'att': 321, 'def': 41}",3,3,1,2,0.7388999999999999,l,2016-09-22 00:00:00,0,0,1,0,-0.6875510000000001
a,0.820437,1.72967,0.820437,1.72967,"{'att': 170, 'def': 46}","{'att': 258, 'def': 31}",2,7,1,3,0.6915,l,2016-09-26 22:45:00,0,0,1,0,-0.9092330000000001
h,0.665545,0.238575,0.665545,0.238575,"{'att': 216, 'def': 19}","{'att': 107, 'def': 28}",1,5,0,1,1.8029,l,2016-10-01 15:00:00,0,0,1,0,0.42697000000000007
a,0.306751,3.0536,0.306751,3.0536,"{'att': 356, 'def': 23}","{'att': 197, 'def': 19}",0,11,1,7,0.0521,l,2016-10-15 20:30:00,0,0,1,0,-2.746849
h,0.546868,0.242784,0.546868,0.242784,"{'att': 237, 'def': 19}","{'att': 224, 'def': 21}",1,4,0,0,1.5849,d,2016-10-22 22:45:00,0,1,0,1,0.304084
a,0.0445853,1.75167,0.0445853,1.75167,"{'att': 361, 'def': 14}","{'att': 142, 'def': 29}",0,17,0,1,0.1367,l,2016-10-29 22:45:00,0,0,1,0,-1.7070847
h,2.10437,1.71185,2.10437,1.71185,"{'att': 159, 'def': 24}","{'att': 221, 'def': 19}",5,5,1,1,1.6787,d,2016-11-05 16:00:00,0,1,0,1,0.39251999999999976
a,0.622946,1.58094,0.622946,1.58094,"{'att': 347, 'def': 22}","{'att': 169, 'def': 43}",2,13,1,1,0.5982999999999999,d,2016-11-20 19:15:00,0,1,0,1,-0.957994
a,0.761557,2.10383,0.761557,2.10383,"{'att': 498, 'def': 33}","{'att': 202, 'def': 16}",3,7,1,3,0.4426,l,2016-11-27 21:30:00,0,0,1,0,-1.3422729999999998
h,1.90921,1.92504,1.90921,1.18177,"{'att': 317, 'def': 23}","{'att': 181, 'def': 25}",7,11,2,1,1.3659999999999999,w,2016-12-03 16:00:00,1,0,0,3,0.7274400000000001
a,0.963052,2.80255,0.963052,2.80255,"{'att': 217, 'def': 26}","{'att': 237, 'def': 23}",4,4,1,1,0.28759999999999997,d,2016-12-09 23:45:00,0,1,0,1,-1.839498
h,0.649888,2.10663,0.649888,2.10663,"{'att': 353, 'def': 21}","{'att': 156, 'def': 27}",5,9,0,2,0.3824,l,2016-12-17 21:30:00,0,0,1,0,-1.456742
a,0.415223,4.18059,0.415223,4.18059,"{'att': 393, 'def': 11}","{'att': 247, 'def': 33}",1,10,0,5,0.015199999999999998,l,2017-01-07 16:00:00,0,0,1,0,-3.7653669999999995
h,1.66163,1.16305,1.66163,1.16305,"{'att': 114, 'def': 23}","{'att': 196, 'def': 35}",2,2,1,1,1.8661,d,2017-01-15 21:30:00,0,1,0,1,0.49858
a,0.280737,0.833841,0.280737,0.833841,"{'att': 271, 'def': 33}","{'att': 217, 'def': 41}",4,2,1,3,0.7539,l,2017-01-21 15:00:00,0,0,1,0,-0.553104
a,0.317825,2.4514,0.317825,2.4514,"{'att': 378, 'def': 19}","{'att': 116, 'def': 22}",4,14,0,2,0.1293,l,2017-01-28 15:00:00,0,0,1,0,-2.133575
h,0.545986,0.797005,0.545986,0.797005,"{'att': 322, 'def': 45}","{'att': 64, 'def': 14}",0,13,1,0,1.0506,w,2017-02-06 22:45:00,1,0,0,3,-0.251019
a,0.67033,4.09351,0.67033,3.35023,"{'att': 193, 'def': 22}","{'att': 155, 'def': 29}",8,5,0,4,0.0617,l,2017-02-13 19:45:00,0,0,1,0,-2.6799
h,1.56422,0.249724,1.56422,0.249724,"{'att': 210, 'def': 24}","{'att': 153, 'def': 21}",2,5,4,1,2.5913,w,2017-02-17 19:45:00,1,0,0,3,1.3144959999999999
a,0.520455,1.72074,0.520455,1.72074,"{'att': 206, 'def': 28}","{'att': 186, 'def': 18}",4,11,1,3,0.45740000000000003,l,2017-02-26 17:30:00,0,0,1,0,-1.200285
h,0.737167,1.09303,0.737167,1.09303,"{'att': 193, 'def': 44}","{'att': 134, 'def': 22}",3,0,2,1,0.9363,w,2017-03-01 20:30:00,1,0,0,3,-0.35586299999999993
a,0.0529013,2.11012,0.0529013,2.11012,"{'att': 225, 'def': 31}","{'att': 92, 'def': 23}",1,7,0,1,0.0883,l,2017-03-04 12:00:00,0,0,1,0,-2.0572187000000004
h,0.543405,1.63235,0.543405,1.63235,"{'att': 175, 'def': 25}","{'att': 161, 'def': 31}",8,9,0,1,0.5206000000000001,l,2017-03-11 19:45:00,0,0,1,0,-1.0889449999999998
a,1.16888,2.97883,1.16888,2.23555,"{'att': 168, 'def': 23}","{'att': 258, 'def': 30}",3,9,1,3,0.31920000000000004,l,2017-03-19 17:30:00,0,0,1,0,-1.06667
h,0.513727,3.20394,0.513727,3.20394,"{'att': 324, 'def': 26}","{'att': 137, 'def': 25}",3,15,1,4,0.1059,l,2017-04-02 19:45:00,0,0,1,0,-2.690213
a,0.409132,1.34824,0.409132,0.604959,"{'att': 181, 'def': 14}","{'att': 159, 'def': 26}",1,4,0,0,0.481,d,2017-04-05 19:30:00,0,1,0,1,-0.19582700000000003
h,0.726489,2.25028,0.726489,2.25028,"{'att': 344, 'def': 28}","{'att': 305, 'def': 21}",6,6,1,3,0.3842,l,2017-04-09 11:00:00,0,0,1,0,-1.5237910000000001
h,0.936087,1.79036,0.936087,1.79036,"{'att': 350, 'def': 28}","{'att': 179, 'def': 31}",5,4,0,3,0.7271,l,2017-04-16 19:45:00,0,0,1,0,-0.854273
a,0.596929,3.39839,0.596929,3.39839,"{'att': 361, 'def': 12}","{'att': 220, 'def': 38}",2,21,0,2,0.0931,l,2017-04-21 20:00:00,0,0,1,0,-2.8014609999999998
h,0.0912526,1.24601,0.0912526,1.24601,"{'att': 310, 'def': 25}","{'att': 250, 'def': 25}",3,10,0,2,0.3116,l,2017-04-25 19:30:00,0,0,1,0,-1.1547574
a,0.589329,2.10139,0.589329,2.10139,"{'att': 250, 'def': 23}","{'att': 244, 'def': 27}",0,15,1,2,0.30569999999999997,l,2017-04-29 12:00:00,0,0,1,0,-1.5120609999999999
h,0.798168,4.01875,0.798168,4.01875,"{'att': 406, 'def': 24}","{'att': 305, 'def': 19}",8,12,0,4,0.0528,l,2017-05-06 19:45:00,0,0,1,0,-3.220582
a,0.823768,2.1534,0.823768,2.1534,"{'att': 140, 'def': 14}","{'att': 254, 'def': 22}",3,6,1,2,0.447,l,2017-05-13 17:30:00,0,0,1,0,-1.3296320000000001
h,0.649902,0.761851,0.649902,0.761851,"{'att': 367, 'def': 23}","{'att': 262, 'def': 14}",2,2,1,2,1.0920999999999998,l,2017-05-19 19:45:00,0,0,1,0,-0.11194899999999997
