h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.38821,1.48262,2.38821,0.739346,"{'att': 157, 'def': 24}","{'att': 338, 'def': 26}",19,5,3,0,2.0899,w,2017-08-20 21:15:00,1,0,0,3,1.648864
h,3.38691,0.90594,3.38691,0.90594,"{'att': 160, 'def': 17}","{'att': 308, 'def': 21}",15,4,2,2,2.7588,d,2017-08-27 21:15:00,0,1,0,1,2.48097
h,3.18354,0.757405,3.18354,0.757405,"{'att': 138, 'def': 22}","{'att': 297, 'def': 20}",12,0,1,1,2.8715,d,2017-09-09 12:00:00,0,1,0,1,2.426135
a,2.88229,0.375385,2.88229,0.375385,"{'att': 285, 'def': 24}","{'att': 250, 'def': 26}",11,3,3,1,2.8217999999999996,w,2017-09-17 19:45:00,1,0,0,3,2.5069049999999997
h,3.39115,1.21251,3.39115,1.21251,"{'att': 226, 'def': 29}","{'att': 246, 'def': 17}",18,3,0,1,2.5665999999999998,l,2017-09-20 21:00:00,0,0,1,0,2.17864
a,2.7181,0.703287,2.7181,0.703287,"{'att': 155, 'def': 31}","{'att': 305, 'def': 25}",12,1,2,1,2.6475000000000004,w,2017-09-23 15:15:00,1,0,0,3,2.014813
h,3.02561,0.278294,3.02561,0.278294,"{'att': 228, 'def': 27}","{'att': 314, 'def': 16}",12,1,2,0,2.8731999999999998,w,2017-10-01 19:45:00,1,0,0,3,2.747316
a,2.22268,0.855336,2.22268,0.855336,"{'att': 108, 'def': 29}","{'att': 300, 'def': 28}",9,4,2,1,2.3870999999999998,w,2017-10-14 15:15:00,1,0,0,3,1.3673440000000001
h,1.54139,0.359568,1.54139,0.359568,"{'att': 214, 'def': 11}","{'att': 346, 'def': 28}",9,1,3,0,2.3501,w,2017-10-22 19:45:00,1,0,0,3,1.181822
a,1.58248,2.26046,1.58248,2.26046,"{'att': 184, 'def': 25}","{'att': 314, 'def': 42}",16,4,1,2,0.8484,l,2017-10-29 15:15:00,0,0,1,0,-0.67798
h,2.53038,0.127029,2.53038,0.127029,"{'att': 275, 'def': 33}","{'att': 304, 'def': 14}",6,2,3,0,2.8426,w,2017-11-05 19:45:00,1,0,0,3,2.4033510000000002
a,1.41229,0.745518,1.41229,0.745518,"{'att': 170, 'def': 22}","{'att': 382, 'def': 35}",16,3,0,0,1.9247,d,2017-11-18 19:45:00,0,1,0,1,0.666772
h,3.0172,0.540736,2.12065,0.540736,"{'att': 206, 'def': 28}","{'att': 289, 'def': 22}",8,5,3,2,2.8938,w,2017-11-25 15:15:00,1,0,0,3,1.579914
a,1.88247,1.34381,1.88247,1.34381,"{'att': 172, 'def': 23}","{'att': 354, 'def': 32}",9,4,0,0,1.767,d,2017-12-02 19:45:00,0,1,0,1,0.5386600000000001
h,3.5353,0.381749,2.79203,0.381749,"{'att': 262, 'def': 19}","{'att': 331, 'def': 19}",17,8,5,0,2.9109,w,2017-12-09 15:15:00,1,0,0,3,2.410281
h,1.30012,3.70518,1.30012,2.9619,"{'att': 370, 'def': 30}","{'att': 274, 'def': 20}",7,13,0,3,0.22849999999999998,l,2017-12-23 12:00:00,0,0,1,0,-1.66178
a,1.95926,2.01847,1.95926,1.2752,"{'att': 251, 'def': 27}","{'att': 248, 'def': 21}",12,9,2,2,1.3259000000000003,d,2018-01-07 19:45:00,0,1,0,1,0.6840600000000001
h,2.3468,0.858724,2.3468,0.858724,"{'att': 279, 'def': 29}","{'att': 288, 'def': 18}",19,6,0,1,2.3924000000000003,l,2018-01-13 15:15:00,0,0,1,0,1.488076
h,3.18339,1.84318,3.18339,1.84318,"{'att': 194, 'def': 22}","{'att': 297, 'def': 23}",19,2,7,1,2.1847999999999996,w,2018-01-21 15:15:00,1,0,0,3,1.3402100000000001
a,2.70685,1.41068,1.2203,1.41068,"{'att': 221, 'def': 32}","{'att': 337, 'def': 29}",6,13,4,1,2.302,w,2018-01-27 15:15:00,1,0,0,3,-0.19038
a,1.31592,1.31943,1.31592,1.31943,"{'att': 138, 'def': 20}","{'att': 405, 'def': 23}",7,7,2,2,1.3195,d,2018-02-03 19:45:00,0,1,0,1,-0.003510000000000124
h,5.307,0.981956,5.307,0.981956,"{'att': 337, 'def': 17}","{'att': 364, 'def': 21}",19,2,5,2,2.9683,w,2018-02-10 19:45:00,1,0,0,3,4.325044
a,1.84168,2.46741,1.84168,2.46741,"{'att': 305, 'def': 24}","{'att': 207, 'def': 22}",5,5,5,3,0.9885999999999999,w,2018-02-18 19:45:00,1,0,0,3,-0.6257300000000001
a,1.95404,1.18808,1.21089,1.18808,"{'att': 232, 'def': 25}","{'att': 394, 'def': 36}",8,4,3,1,2.0031999999999996,w,2018-02-21 17:45:00,1,0,0,3,0.022809999999999997
h,3.51278,0.615652,2.7695,0.615652,"{'att': 179, 'def': 27}","{'att': 326, 'def': 26}",12,6,4,0,2.8357,w,2018-02-24 15:15:00,1,0,0,3,2.153848
a,1.10507,0.787948,1.10507,0.787948,"{'att': 202, 'def': 23}","{'att': 316, 'def': 24}",8,9,0,1,1.667,l,2018-02-27 19:00:00,0,0,1,0,0.317122
