h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.49776,1.51617,1.49776,1.51617,"{'att': 124, 'def': 24}","{'att': 279, 'def': 22}",12,3,1,2,1.3135,l,2018-08-19 19:15:00,0,0,1,0,-0.018410000000000037
a,0.529404,1.74287,0.529404,1.74287,"{'att': 70, 'def': 29}","{'att': 171, 'def': 25}",4,4,0,2,0.3278,l,2018-08-24 21:15:00,0,0,1,0,-1.213466
h,0.798059,1.32388,0.798059,0.5806,"{'att': 148, 'def': 31}","{'att': 151, 'def': 20}",8,1,2,1,0.7631000000000001,w,2018-08-31 23:00:00,1,0,0,3,0.21745899999999996
a,1.21431,2.4656,1.21431,2.4656,"{'att': 292, 'def': 43}","{'att': 186, 'def': 18}",2,7,1,1,0.5221,d,2018-09-15 11:00:00,0,1,0,1,-1.2512899999999998
h,1.78459,0.781041,1.78459,0.781041,"{'att': 142, 'def': 17}","{'att': 184, 'def': 23}",1,2,1,0,2.1641000000000004,w,2018-09-22 14:15:00,1,0,0,3,1.003549
a,0.200168,0.897083,0.200168,0.897083,"{'att': 252, 'def': 16}","{'att': 253, 'def': 26}",1,7,0,1,0.5557000000000001,l,2018-09-25 18:00:00,0,0,1,0,-0.696915
h,0.563865,1.98532,0.563865,1.24204,"{'att': 159, 'def': 34}","{'att': 263, 'def': 11}",2,2,1,3,0.31989999999999996,l,2018-09-29 16:30:00,0,0,1,0,-0.6781750000000001
a,2.11152,1.31255,1.36824,1.31255,"{'att': 187, 'def': 27}","{'att': 136, 'def': 16}",6,6,3,2,1.999,w,2018-10-06 11:00:00,1,0,0,3,0.055689999999999795
h,1.68646,0.992745,0.943179,0.992745,"{'att': 137, 'def': 28}","{'att': 193, 'def': 17}",3,0,1,1,1.9319999999999997,d,2018-10-21 14:15:00,0,1,0,1,-0.049566
a,1.37498,1.28908,1.37498,1.28908,"{'att': 170, 'def': 33}","{'att': 247, 'def': 18}",9,3,0,4,1.3819,l,2018-10-27 16:30:00,0,0,1,0,0.08590000000000009
h,1.161,0.596162,1.161,0.596162,"{'att': 84, 'def': 25}","{'att': 209, 'def': 14}",12,2,2,1,1.8182,w,2018-11-04 11:00:00,1,0,0,3,0.5648380000000001
a,1.21893,0.407826,1.21893,0.407826,"{'att': 225, 'def': 32}","{'att': 193, 'def': 18}",3,3,0,0,2.0873999999999997,d,2018-11-10 12:00:00,0,1,0,1,0.811104
h,3.98937,1.10765,3.98937,1.10765,"{'att': 369, 'def': 33}","{'att': 147, 'def': 19}",3,6,3,0,2.9206999999999996,w,2018-11-24 12:00:00,1,0,0,3,2.88172
a,0.951549,0.815372,0.951549,0.815372,"{'att': 121, 'def': 37}","{'att': 207, 'def': 23}",8,2,0,1,1.41,l,2018-11-30 20:00:00,0,0,1,0,0.136177
h,4.25053,2.17449,3.50725,2.17449,"{'att': 152, 'def': 32}","{'att': 152, 'def': 8}",15,4,4,4,2.4804999999999997,d,2018-12-09 11:00:00,0,1,0,1,1.33276
h,1.60912,2.10397,0.86584,2.10397,"{'att': 195, 'def': 25}","{'att': 212, 'def': 17}",5,8,1,1,1.0079,d,2018-12-15 19:45:00,0,1,0,1,-1.23813
a,2.06958,1.40023,1.3263,1.40023,"{'att': 325, 'def': 24}","{'att': 164, 'def': 15}",6,3,1,1,1.9156,d,2018-12-22 12:00:00,0,1,0,1,-0.07393000000000005
h,2.02017,1.05089,2.02017,1.05089,"{'att': 194, 'def': 25}","{'att': 166, 'def': 28}",12,9,0,0,2.1010999999999997,d,2019-01-06 11:00:00,0,1,0,1,0.9692799999999997
a,0.708521,1.51059,0.708521,1.51059,"{'att': 422, 'def': 36}","{'att': 161, 'def': 18}",4,9,0,3,0.7146999999999999,l,2019-01-13 17:30:00,0,0,1,0,-0.8020690000000001
h,2.18267,0.65215,2.18267,0.65215,"{'att': 209, 'def': 30}","{'att': 171, 'def': 12}",9,1,3,0,2.4680999999999997,w,2019-01-21 20:00:00,1,0,0,3,1.5305199999999999
a,0.491102,0.422612,0.491102,0.422612,"{'att': 187, 'def': 25}","{'att': 151, 'def': 22}",3,2,2,2,1.3975,d,2019-01-26 17:30:00,0,1,0,1,0.06849
h,1.8546,0.235641,1.11132,0.235641,"{'att': 155, 'def': 19}","{'att': 165, 'def': 16}",9,4,3,0,2.6627,w,2019-02-03 17:30:00,1,0,0,3,0.8756790000000001
a,1.43993,1.54912,1.43993,1.54912,"{'att': 252, 'def': 25}","{'att': 138, 'def': 12}",7,13,2,2,1.2747,d,2019-02-10 17:30:00,0,1,0,1,-0.10919000000000012
h,1.64574,0.845732,0.902466,0.845732,"{'att': 100, 'def': 22}","{'att': 149, 'def': 30}",7,9,2,2,2.0707,d,2019-02-15 20:00:00,0,1,0,1,0.05673399999999995
a,0.597956,1.33391,0.597956,1.33391,"{'att': 147, 'def': 28}","{'att': 191, 'def': 16}",3,5,0,1,0.6860999999999999,l,2019-02-23 19:45:00,0,0,1,0,-0.7359539999999999
h,2.66738,0.563007,1.92411,0.563007,"{'att': 164, 'def': 35}","{'att': 222, 'def': 15}",12,1,1,0,2.8188,w,2019-03-03 11:00:00,1,0,0,3,1.361103
a,2.53855,2.39014,2.53855,2.39014,"{'att': 113, 'def': 28}","{'att': 136, 'def': 18}",11,2,1,1,1.4815999999999998,d,2019-03-09 12:00:00,0,1,0,1,0.1484099999999997
h,1.64354,2.20799,1.64354,1.46471,"{'att': 155, 'def': 21}","{'att': 178, 'def': 20}",6,5,1,2,0.9395,l,2019-03-17 11:00:00,0,0,1,0,0.17883000000000004
a,3.00118,1.15414,3.00118,1.15414,"{'att': 145, 'def': 32}","{'att': 190, 'def': 18}",8,5,2,2,2.5481,d,2019-03-31 11:00:00,0,1,0,1,1.8470400000000002
h,1.54524,0.960572,1.54524,0.960572,"{'att': 219, 'def': 41}","{'att': 122, 'def': 15}",6,6,2,1,1.8582999999999998,w,2019-04-03 19:30:00,1,0,0,3,0.584668
a,0.679412,1.70378,0.679412,1.70378,"{'att': 303, 'def': 28}","{'att': 175, 'def': 27}",3,8,1,2,0.5039,l,2019-04-06 15:15:00,0,0,1,0,-1.024368
a,0.99834,0.293383,0.99834,0.293383,"{'att': 150, 'def': 36}","{'att': 269, 'def': 20}",5,0,1,1,1.9893,d,2019-04-14 15:15:00,0,1,0,1,0.7049570000000001
