h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.37179,1.72531,2.37179,1.72531,"{'att': 218, 'def': 22}","{'att': 261, 'def': 18}",5,4,2,4,1.8442,l,2020-09-13 19:00:00,0,0,1,0,0.6464799999999999
a,2.99435,0.724471,2.25108,0.724471,"{'att': 120, 'def': 20}","{'att': 227, 'def': 23}",8,1,3,1,2.7936,w,2020-09-27 10:00:00,1,0,0,3,1.526609
a,0.375244,1.04729,0.375244,1.04729,"{'att': 327, 'def': 25}","{'att': 169, 'def': 26}",0,8,0,1,0.7051000000000001,l,2020-10-01 17:00:00,0,0,1,0,-0.672046
h,0.577329,1.87714,0.577329,1.87714,"{'att': 265, 'def': 26}","{'att': 258, 'def': 33}",6,13,0,2,0.4178,l,2020-10-04 14:00:00,0,0,1,0,-1.299811
a,0.281482,2.07013,0.281482,2.07013,"{'att': 201, 'def': 19}","{'att': 178, 'def': 25}",5,9,0,2,0.1632,l,2020-10-18 12:00:00,0,0,1,0,-1.7886479999999998
h,1.19249,0.818389,0.449212,0.818389,"{'att': 175, 'def': 29}","{'att': 269, 'def': 32}",10,3,1,1,1.7157999999999998,d,2020-10-26 20:00:00,0,1,0,1,-0.36917700000000003
a,0.813588,0.230886,0.813588,0.230886,"{'att': 86, 'def': 17}","{'att': 211, 'def': 6}",15,4,1,1,1.8792,d,2020-11-01 17:30:00,0,1,0,1,0.5827019999999999
h,1.99148,1.01595,1.99148,1.01595,"{'att': 97, 'def': 29}","{'att': 239, 'def': 24}",17,3,1,1,2.1343,d,2020-11-08 17:30:00,0,1,0,1,0.97553
h,0.902091,0.832435,0.902091,0.832435,"{'att': 341, 'def': 35}","{'att': 201, 'def': 15}",11,4,1,1,1.3754,d,2020-11-21 13:00:00,0,1,0,1,0.06965599999999994
a,1.11009,1.25969,0.366812,1.25969,"{'att': 117, 'def': 19}","{'att': 262, 'def': 26}",2,2,1,1,1.2207,d,2020-11-27 20:00:00,0,1,0,1,-0.892878
h,2.56696,0.49433,2.56696,0.49433,"{'att': 91, 'def': 17}","{'att': 384, 'def': 36}",10,4,3,0,2.703,w,2020-12-05 13:00:00,1,0,0,3,2.0726299999999998
a,0.97888,2.62077,0.97888,2.62077,"{'att': 294, 'def': 16}","{'att': 238, 'def': 15}",5,19,0,1,0.3453,l,2020-12-13 20:00:00,0,0,1,0,-1.6418899999999998
h,1.52776,2.1027,1.52776,2.1027,"{'att': 218, 'def': 25}","{'att': 210, 'def': 25}",5,14,2,1,0.9709,w,2020-12-19 17:30:00,1,0,0,3,-0.57494
a,0.581363,1.36969,0.581363,0.626417,"{'att': 231, 'def': 30}","{'att': 209, 'def': 24}",2,3,1,1,0.6224000000000001,d,2020-12-22 18:45:00,0,1,0,1,-0.04505400000000004
h,1.67536,2.63943,1.67536,1.89616,"{'att': 268, 'def': 20}","{'att': 150, 'def': 36}",5,12,4,3,0.7054,w,2020-12-29 20:30:00,1,0,0,3,-0.2208000000000001
a,0.554357,1.72781,0.554357,1.72781,"{'att': 280, 'def': 22}","{'att': 286, 'def': 22}",6,10,1,2,0.4527,l,2021-01-02 13:00:00,0,0,1,0,-1.173453
h,0.857988,1.34206,0.857988,1.34206,"{'att': 138, 'def': 11}","{'att': 237, 'def': 32}",5,5,2,1,0.9263,w,2021-01-10 13:00:00,1,0,0,3,-0.48407200000000006
a,2.00702,0.725743,2.00702,0.725743,"{'att': 129, 'def': 22}","{'att': 362, 'def': 20}",10,1,2,2,2.4165,d,2021-01-19 18:00:00,0,1,0,1,1.2812769999999998
h,1.04736,0.631096,1.04736,0.631096,"{'att': 203, 'def': 31}","{'att': 285, 'def': 23}",7,3,2,2,1.7098,d,2021-01-22 20:00:00,0,1,0,1,0.4162640000000001
a,1.82881,1.23555,1.08553,1.23555,"{'att': 264, 'def': 28}","{'att': 253, 'def': 19}",9,7,2,1,1.8101,w,2021-01-30 15:15:00,1,0,0,3,-0.15001999999999982
h,1.52404,1.26925,1.52404,1.26925,"{'att': 136, 'def': 23}","{'att': 216, 'def': 18}",5,3,2,2,1.5391000000000001,d,2021-02-06 13:00:00,0,1,0,1,0.25479000000000007
