h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.579404,0.583698,0.579404,0.583698,"{'att': 186, 'def': 37}","{'att': 144, 'def': 20}",11,0,0,0,1.3114999999999999,d,2021-08-14 20:00:00,0,1,0,1,-0.00429400000000002
h,2.58218,0.084571,1.8389,0.084571,"{'att': 296, 'def': 49}","{'att': 209, 'def': 14}",12,4,0,0,2.9072999999999998,d,2021-08-23 20:00:00,0,1,0,1,1.754329
a,2.28418,1.36149,0.797628,0.618211,"{'att': 86, 'def': 15}","{'att': 293, 'def': 18}",15,3,3,2,2.1289,w,2021-08-29 17:30:00,1,0,0,3,0.17941700000000005
h,0.457252,0.924929,0.457252,0.924929,"{'att': 124, 'def': 25}","{'att': 184, 'def': 15}",4,8,1,4,0.8266,l,2021-09-12 14:15:00,0,0,1,0,-0.467677
a,1.32313,0.251601,0.579857,0.251601,"{'att': 229, 'def': 33}","{'att': 141, 'def': 26}",1,4,2,0,2.4547999999999996,w,2021-09-18 19:00:00,1,0,0,3,0.32825599999999994
h,0.820269,2.20306,0.820269,2.20306,"{'att': 258, 'def': 23}","{'att': 169, 'def': 13}",4,6,1,3,0.4505,l,2021-09-23 17:30:00,0,0,1,0,-1.3827909999999997
a,1.63553,2.74158,1.63553,2.74158,"{'att': 189, 'def': 25}","{'att': 133, 'def': 15}",5,5,3,2,0.6765,w,2021-09-26 12:00:00,1,0,0,3,-1.10605
h,0.657174,0.148539,0.657174,0.148539,"{'att': 188, 'def': 36}","{'att': 186, 'def': 10}",5,3,1,0,1.8775,w,2021-10-02 12:00:00,1,0,0,3,0.5086350000000001
a,0.957297,0.713142,0.957297,0.713142,"{'att': 330, 'def': 22}","{'att': 85, 'def': 16}",4,10,2,1,1.5932,w,2021-10-17 16:30:00,1,0,0,3,0.2441549999999999
h,1.24456,0.434896,1.24456,0.434896,"{'att': 240, 'def': 26}","{'att': 122, 'def': 13}",6,2,1,1,2.0841,d,2021-10-22 19:00:00,0,1,0,1,0.8096640000000002
a,0.71046,0.655438,0.71046,0.655438,"{'att': 353, 'def': 19}","{'att': 117, 'def': 15}",1,16,0,0,1.4013999999999998,d,2021-10-27 19:30:00,0,1,0,1,0.055022000000000015
a,0.790454,2.43378,0.790454,2.43378,"{'att': 311, 'def': 14}","{'att': 117, 'def': 18}",2,5,0,2,0.3444,l,2021-10-30 14:15:00,0,0,1,0,-1.643326
h,0.495749,1.43263,0.495749,0.689356,"{'att': 301, 'def': 26}","{'att': 169, 'def': 21}",3,9,0,2,0.467,l,2021-11-07 17:30:00,0,0,1,0,-0.19360699999999997
a,0.378974,1.61044,0.378974,1.61044,"{'att': 249, 'def': 17}","{'att': 180, 'def': 15}",4,9,0,1,0.40900000000000003,l,2021-11-20 17:30:00,0,0,1,0,-1.2314660000000002
h,2.13729,1.05682,1.39401,1.05682,"{'att': 220, 'def': 33}","{'att': 180, 'def': 16}",8,5,1,1,2.1791,d,2021-11-29 20:00:00,0,1,0,1,0.3371899999999999
a,0.250564,0.510046,0.250564,0.510046,"{'att': 307, 'def': 27}","{'att': 175, 'def': 19}",1,4,0,0,0.9312,d,2021-12-05 17:30:00,0,1,0,1,-0.259482
h,0.367626,1.3894,0.367626,1.3894,"{'att': 288, 'def': 30}","{'att': 127, 'def': 20}",2,7,2,2,0.428,d,2021-12-12 15:15:00,0,1,0,1,-1.021774
a,0.712207,1.09096,0.712207,1.09096,"{'att': 182, 'def': 15}","{'att': 205, 'def': 22}",4,3,0,1,1.0258,l,2021-12-19 17:30:00,0,0,1,0,-0.3787529999999999
