h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.80073,3.11412,0.80073,3.11412,"{'att': 322, 'def': 10}","{'att': 199, 'def': 10}",2,17,1,2,0.2272,l,2022-08-14 20:00:00,0,0,1,0,-2.31339
a,0.969747,0.899007,0.969747,0.899007,"{'att': 205, 'def': 33}","{'att': 221, 'def': 19}",6,9,1,1,1.4058,d,2022-08-22 18:00:00,0,1,0,1,0.07074000000000003
h,2.15407,1.37889,2.15407,1.37889,"{'att': 301, 'def': 22}","{'att': 134, 'def': 12}",2,9,2,1,1.9479000000000002,w,2022-08-27 20:00:00,1,0,0,3,0.77518
a,0.505353,2.12493,0.505353,2.12493,"{'att': 186, 'def': 27}","{'att': 174, 'def': 29}",3,5,0,1,0.3217,l,2022-09-05 19:00:00,0,0,1,0,-1.619577
h,0.166505,2.14,0.166505,2.14,"{'att': 153, 'def': 12}","{'att': 352, 'def': 14}",5,6,0,1,0.13,l,2022-09-12 19:00:00,0,0,1,0,-1.9734950000000002
a,0.297582,0.968715,0.297582,0.968715,"{'att': 248, 'def': 25}","{'att': 306, 'def': 21}",2,4,0,1,0.6126,l,2022-09-17 12:00:00,0,0,1,0,-0.671133
a,0.42606,2.55531,0.42606,1.81204,"{'att': 232, 'def': 10}","{'att': 196, 'def': 27}",3,9,0,4,0.1314,l,2022-09-30 19:00:00,0,0,1,0,-1.38598
h,1.05684,0.893142,1.05684,0.893142,"{'att': 247, 'def': 27}","{'att': 119, 'def': 25}",5,9,3,1,1.5081,w,2022-10-08 12:00:00,1,0,0,3,0.163698
a,1.11551,3.19417,1.11551,3.19417,"{'att': 280, 'def': 13}","{'att': 272, 'def': 16}",6,15,1,3,0.2838,l,2022-10-16 19:00:00,0,0,1,0,-2.07866
h,2.08595,2.65444,2.08595,1.16788,"{'att': 284, 'def': 14}","{'att': 119, 'def': 22}",2,4,3,2,0.9474,w,2022-10-20 17:00:00,1,0,0,3,0.9180699999999999
a,1.24152,0.852495,1.24152,0.852495,"{'att': 243, 'def': 14}","{'att': 237, 'def': 19}",8,8,1,2,1.6961,l,2022-10-23 16:30:00,0,0,1,0,0.38902499999999995
h,2.30529,0.197875,2.30529,0.197875,"{'att': 180, 'def': 22}","{'att': 302, 'def': 14}",7,2,3,1,2.7529999999999997,w,2022-10-29 12:00:00,1,0,0,3,2.107415
a,0.538049,4.33587,0.538049,3.59259,"{'att': 317, 'def': 10}","{'att': 178, 'def': 27}",5,19,0,2,0.0203,l,2022-11-05 20:00:00,0,0,1,0,-3.054541
h,0.346293,0.451929,0.346293,0.451929,"{'att': 182, 'def': 18}","{'att': 276, 'def': 19}",6,1,1,0,1.1266,w,2022-11-09 18:00:00,1,0,0,3,-0.10563600000000001
a,2.22992,1.57833,2.22992,1.57833,"{'att': 257, 'def': 23}","{'att': 276, 'def': 19}",8,3,1,1,1.8074,d,2022-12-30 18:15:00,0,1,0,1,0.6515899999999999
h,0.30978,2.11666,0.30978,2.11666,"{'att': 281, 'def': 21}","{'att': 210, 'def': 30}",0,6,0,2,0.18309999999999998,l,2023-01-08 13:00:00,0,0,1,0,-1.80688
h,1.08212,2.08354,1.08212,2.08354,"{'att': 269, 'def': 21}","{'att': 353, 'def': 20}",4,11,1,1,0.6837,d,2023-01-15 15:15:00,0,1,0,1,-1.0014200000000002
a,1.68834,2.70702,0.945066,2.70702,"{'att': 270, 'def': 20}","{'att': 190, 'def': 25}",8,6,2,2,0.6771,d,2023-01-23 20:00:00,0,1,0,1,-1.761954
