h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.0334,0.347363,0.290126,0.347363,"{'att': 313, 'def': 39}","{'att': 222, 'def': 28}",2,7,2,2,2.1421,d,2022-08-13 15:00:00,0,1,0,1,-0.05723699999999998
h,0.904012,1.69789,0.904012,1.69789,"{'att': 258, 'def': 16}","{'att': 256, 'def': 13}",4,3,0,2,0.706,l,2022-08-19 18:00:00,0,0,1,0,-0.7938779999999999
h,1.63359,2.04602,1.63359,2.04602,"{'att': 326, 'def': 13}","{'att': 143, 'def': 14}",11,10,1,3,1.1110000000000002,l,2022-08-28 20:00:00,0,0,1,0,-0.41242999999999985
a,1.11365,1.24661,1.11365,1.24661,"{'att': 274, 'def': 18}","{'att': 121, 'def': 18}",5,11,1,0,1.2243,w,2022-09-04 14:15:00,1,0,0,3,-0.13295999999999997
h,2.37055,2.32043,1.62728,2.32043,"{'att': 139, 'def': 23}","{'att': 217, 'def': 20}",7,2,2,3,1.4331,l,2022-09-10 14:15:00,0,0,1,0,-0.6931499999999999
a,1.28945,2.35791,1.28945,2.35791,"{'att': 299, 'def': 21}","{'att': 136, 'def': 22}",1,11,1,2,0.6383,l,2022-09-18 16:30:00,0,0,1,0,-1.06846
h,0.738099,1.35604,0.738099,1.35604,"{'att': 300, 'def': 24}","{'att': 115, 'def': 21}",3,3,2,2,0.8432,d,2022-10-02 12:00:00,0,1,0,1,-0.617941
a,1.47057,1.33811,1.47057,1.33811,"{'att': 177, 'def': 24}","{'att': 189, 'def': 17}",3,5,2,2,1.4489999999999998,d,2022-10-09 14:15:00,0,1,0,1,0.13246000000000002
h,1.63127,0.552288,1.63127,0.552288,"{'att': 235, 'def': 32}","{'att': 182, 'def': 13}",9,3,1,0,2.2731,w,2022-10-16 16:30:00,1,0,0,3,1.0789819999999999
a,1.44867,1.02851,1.44867,1.02851,"{'att': 240, 'def': 21}","{'att': 125, 'def': 21}",2,7,0,1,1.7487,l,2022-10-20 18:00:00,0,0,1,0,0.42015999999999987
h,2.18547,0.318561,2.18547,0.318561,"{'att': 353, 'def': 27}","{'att': 198, 'def': 13}",7,4,2,2,2.7529,d,2022-10-23 12:00:00,0,1,0,1,1.8669090000000002
a,0.248446,1.19,0.248446,1.19,"{'att': 243, 'def': 19}","{'att': 237, 'def': 21}",6,8,1,1,0.3462,d,2022-10-28 19:00:00,0,1,0,1,-0.941554
a,0.870622,2.02314,0.870622,2.02314,"{'att': 271, 'def': 14}","{'att': 141, 'def': 23}",2,15,1,1,0.6105,d,2022-11-06 13:00:00,0,1,0,1,-1.1525180000000002
h,0.841866,0.750078,0.841866,0.750078,"{'att': 319, 'def': 21}","{'att': 247, 'def': 20}",3,9,0,1,1.4162,l,2022-11-09 19:00:00,0,0,1,0,0.09178799999999998
