h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.06796,0.714148,1.06796,0.714148,"{'att': 226, 'def': 27}","{'att': 176, 'def': 29}",6,3,2,1,1.6395,w,2023-08-11 19:30:00,1,0,0,3,0.353812
h,1.50324,0.741978,0.759966,0.741978,"{'att': 399, 'def': 33}","{'att': 215, 'def': 25}",2,4,1,0,2.0644,w,2023-08-18 19:30:00,1,0,0,3,0.017988000000000004
h,1.87647,1.45939,1.87647,0.716112,"{'att': 111, 'def': 18}","{'att': 265, 'def': 20}",3,2,1,2,1.6540000000000001,l,2023-08-27 17:30:00,0,0,1,0,1.160358
a,0.715753,1.90475,0.715753,1.16148,"{'att': 135, 'def': 17}","{'att': 284, 'def': 29}",5,2,0,1,0.41059999999999997,l,2023-09-02 16:30:00,0,0,1,0,-0.4457270000000001
h,2.22142,0.564083,2.22142,0.564083,"{'att': 241, 'def': 15}","{'att': 163, 'def': 15}",1,12,3,0,2.6111,w,2023-09-16 14:15:00,1,0,0,3,1.657337
a,0.995742,2.46387,0.995742,2.46387,"{'att': 359, 'def': 21}","{'att': 188, 'def': 15}",4,4,2,2,0.3628,d,2023-09-23 19:00:00,0,1,0,1,-1.468128
h,0.356756,0.29355,0.356756,0.29355,"{'att': 431, 'def': 29}","{'att': 186, 'def': 26}",2,0,0,1,1.2451,l,2023-09-27 19:30:00,0,0,1,0,0.06320600000000004
a,0.510459,2.53745,0.510459,2.53745,"{'att': 323, 'def': 18}","{'att': 241, 'def': 19}",3,11,0,3,0.2098,l,2023-10-01 19:00:00,0,0,1,0,-2.026991
a,0.509313,0.919992,0.509313,0.919992,"{'att': 271, 'def': 29}","{'att': 275, 'def': 28}",2,4,1,1,0.917,d,2023-10-07 16:30:00,0,1,0,1,-0.410679
h,1.6763,0.551967,1.6763,0.551967,"{'att': 192, 'def': 19}","{'att': 324, 'def': 24}",4,5,2,0,2.4121,w,2023-10-23 19:00:00,1,0,0,3,1.124333
a,2.17868,1.63308,2.17868,1.63308,"{'att': 280, 'def': 26}","{'att': 195, 'def': 26}",8,4,2,2,1.7891,d,2023-10-29 17:30:00,0,1,0,1,0.5455999999999999
h,1.18921,0.344591,0.44593,0.344591,"{'att': 213, 'def': 36}","{'att': 248, 'def': 28}",3,2,1,0,2.2536,w,2023-11-05 15:15:00,1,0,0,3,0.10133900000000001
a,2.03068,1.90598,2.03068,1.90598,"{'att': 358, 'def': 33}","{'att': 252, 'def': 18}",2,4,1,5,1.5205,l,2023-11-11 20:00:00,0,0,1,0,0.12469999999999981
