h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.064,0.375946,1.3039,0.375946,"{'att': 240, 'def': 31}","{'att': 293, 'def': 16}",5,3,2,0,2.6633,w,2014-08-10 16:00:00,1,0,0,3,0.9279540000000001
a,1.28964,1.43956,1.28964,1.43956,"{'att': 129, 'def': 12}","{'att': 187, 'def': 23}",5,7,1,2,1.2262,l,2014-08-16 19:00:00,0,0,1,0,-0.14992000000000005
h,0.907071,1.83188,0.907071,1.83188,"{'att': 153, 'def': 36}","{'att': 270, 'def': 22}",6,3,0,1,0.6151,l,2014-08-24 13:00:00,0,0,1,0,-0.924809
a,2.14951,1.50793,2.14951,0.747903,"{'att': 180, 'def': 22}","{'att': 323, 'def': 27}",8,3,1,2,1.8726999999999998,l,2014-08-31 16:00:00,0,0,1,0,1.4016069999999998
h,1.78993,0.920354,1.78993,0.920354,"{'att': 215, 'def': 18}","{'att': 307, 'def': 23}",8,7,2,1,2.0452999999999997,w,2014-09-12 19:30:00,1,0,0,3,0.869576
a,0.538028,1.71499,0.538028,1.71499,"{'att': 446, 'def': 26}","{'att': 233, 'def': 35}",5,9,1,1,0.4367,d,2014-09-21 20:00:00,0,1,0,1,-1.176962
h,2.15635,0.450279,2.15635,0.450279,"{'att': 340, 'def': 12}","{'att': 430, 'def': 25}",8,5,4,0,2.5796,w,2014-09-24 18:00:00,1,0,0,3,1.7060710000000001
a,0.693743,1.90868,0.693743,1.14859,"{'att': 233, 'def': 16}","{'att': 359, 'def': 21}",7,3,1,1,0.4487,d,2014-09-28 16:00:00,0,1,0,1,-0.454847
h,2.33678,0.368029,2.33678,0.368029,"{'att': 276, 'def': 24}","{'att': 242, 'def': 39}",4,3,3,0,2.7901,w,2014-10-05 16:00:00,1,0,0,3,1.9687510000000001
h,2.47834,1.23199,2.47834,1.23199,"{'att': 152, 'def': 26}","{'att': 248, 'def': 24}",10,1,5,1,2.2257,w,2014-10-19 20:00:00,1,0,0,3,1.2463500000000003
h,0.780099,1.13587,0.780099,1.13587,"{'att': 221, 'def': 32}","{'att': 158, 'def': 25}",4,2,1,0,0.9969999999999999,w,2014-10-26 20:00:00,1,0,0,3,-0.35577099999999995
a,1.8591,1.39284,1.8591,1.39284,"{'att': 195, 'def': 28}","{'att': 309, 'def': 23}",6,2,3,1,1.7153000000000003,w,2014-11-01 19:00:00,1,0,0,3,0.4662599999999999
h,0.7915,1.13393,0.7915,1.13393,"{'att': 135, 'def': 26}","{'att': 376, 'def': 14}",3,3,3,1,1.0189,w,2014-11-09 13:00:00,1,0,0,3,-0.3424300000000001
a,0.345597,0.449604,0.345597,0.449604,"{'att': 126, 'def': 25}","{'att': 244, 'def': 40}",5,0,0,0,1.1246,d,2014-11-22 16:00:00,0,1,0,1,-0.10400700000000002
a,1.85216,2.12258,1.09207,2.12258,"{'att': 140, 'def': 21}","{'att': 257, 'def': 38}",3,2,0,3,1.1313,l,2014-11-30 20:00:00,0,0,1,0,-1.03051
h,2.08293,0.972753,2.08293,0.972753,"{'att': 266, 'def': 28}","{'att': 256, 'def': 24}",6,1,2,1,2.3013,w,2014-12-04 20:00:00,1,0,0,3,1.1101770000000002
a,2.92037,0.973267,2.16027,0.973267,"{'att': 99, 'def': 35}","{'att': 260, 'def': 28}",7,3,3,2,2.6337,w,2014-12-07 13:00:00,1,0,0,3,1.1870030000000003
h,4.08802,0.374308,2.47138,0.374308,"{'att': 168, 'def': 28}","{'att': 440, 'def': 27}",8,4,3,0,2.9718,w,2014-12-12 19:30:00,1,0,0,3,2.097072
a,3.16703,1.24417,3.16703,1.24417,"{'att': 244, 'def': 26}","{'att': 294, 'def': 24}",3,4,5,0,2.5692,w,2014-12-21 20:00:00,1,0,0,3,1.92286
h,1.51779,0.508209,1.51779,0.508209,"{'att': 198, 'def': 24}","{'att': 431, 'def': 45}",7,4,3,0,2.2563,w,2015-01-11 16:00:00,1,0,0,3,1.0095809999999998
a,1.1716,0.971433,0.411508,0.971433,"{'att': 148, 'def': 24}","{'att': 241, 'def': 32}",0,1,2,0,1.5842,w,2015-01-17 16:00:00,1,0,0,3,-0.559925
h,1.49602,0.186266,0.735923,0.186266,"{'att': 110, 'def': 24}","{'att': 349, 'def': 22}",6,0,2,0,2.586,w,2015-01-25 13:00:00,1,0,0,3,0.5496570000000001
a,0.554624,0.83513,0.554624,0.83513,"{'att': 181, 'def': 25}","{'att': 317, 'def': 39}",2,7,0,0,1.0159,d,2015-02-01 20:00:00,0,1,0,1,-0.28050600000000003
h,0.719121,2.59822,0.719121,1.83812,"{'att': 439, 'def': 18}","{'att': 152, 'def': 31}",4,11,1,1,0.23600000000000002,d,2015-02-08 20:00:00,0,1,0,1,-1.118999
a,0.709499,1.23844,0.709499,1.23844,"{'att': 218, 'def': 32}","{'att': 330, 'def': 30}",1,7,1,1,0.8797999999999999,d,2015-02-15 20:00:00,0,1,0,1,-0.528941
h,2.35303,0.2487,1.59293,0.2487,"{'att': 105, 'def': 20}","{'att': 381, 'def': 28}",1,4,1,0,2.8036999999999996,w,2015-02-22 16:00:00,1,0,0,3,1.34423
a,0.387306,1.04431,0.387306,1.04431,"{'att': 102, 'def': 21}","{'att': 316, 'def': 31}",3,6,1,2,0.712,l,2015-02-28 15:00:00,0,0,1,0,-0.6570040000000001
a,3.47495,1.55979,2.71485,0.799693,"{'att': 140, 'def': 42}","{'att': 337, 'def': 37}",6,6,5,1,2.6039,w,2015-03-08 20:00:00,1,0,0,3,1.9151570000000002
a,0.573691,0.315525,0.573691,0.315525,"{'att': 80, 'def': 17}","{'att': 54, 'def': 23}",0,3,0,0,1.6084999999999998,d,2015-03-15 20:00:00,0,1,0,1,0.25816599999999995
h,1.41208,1.79842,0.651988,1.03833,"{'att': 148, 'def': 26}","{'att': 261, 'def': 24}",12,1,1,2,1.0159,l,2015-03-21 15:00:00,0,0,1,0,-0.38634199999999996
a,1.70947,0.444604,0.94938,0.444604,"{'att': 111, 'def': 27}","{'att': 423, 'def': 21}",6,5,3,1,2.5158,w,2015-04-04 16:00:00,1,0,0,3,0.504776
h,1.52986,0.293852,1.52986,0.293852,"{'att': 167, 'def': 30}","{'att': 243, 'def': 17}",7,1,2,0,2.4372000000000003,w,2015-04-15 17:30:00,1,0,0,3,1.236008
