h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.39689,1.31751,0.636797,0.557414,"{'att': 201, 'def': 35}","{'att': 110, 'def': 23}",2,1,3,3,1.407,d,2014-08-09 20:00:00,0,1,0,1,0.07938299999999998
a,0.164539,1.50758,0.164539,1.50758,"{'att': 512, 'def': 21}","{'att': 182, 'def': 27}",1,6,0,2,0.3103,l,2014-08-16 16:00:00,0,0,1,0,-1.343041
h,1.14876,0.714399,0.388668,0.714399,"{'att': 211, 'def': 27}","{'att': 146, 'def': 26}",1,2,1,0,1.8246999999999998,w,2014-08-23 19:00:00,1,0,0,3,-0.325731
a,1.03398,1.35871,1.03398,1.35871,"{'att': 318, 'def': 14}","{'att': 153, 'def': 28}",1,12,1,1,1.0974,d,2014-08-31 13:00:00,0,1,0,1,-0.3247300000000002
h,0.689205,0.302581,0.689205,0.302581,"{'att': 158, 'def': 17}","{'att': 292, 'def': 26}",3,3,1,1,1.7030999999999998,d,2014-09-13 19:00:00,0,1,0,1,0.38662399999999997
a,0.445841,1.75071,0.445841,1.75071,"{'att': 145, 'def': 21}","{'att': 257, 'def': 18}",3,8,1,3,0.3852,l,2014-09-20 19:00:00,0,0,1,0,-1.304869
h,0.328904,1.6641,0.328904,0.904005,"{'att': 204, 'def': 23}","{'att': 172, 'def': 29}",2,4,0,0,0.28890000000000005,d,2014-09-24 18:00:00,0,1,0,1,-0.575101
a,0.464606,0.668915,0.464606,0.668915,"{'att': 300, 'def': 24}","{'att': 192, 'def': 30}",3,4,0,1,1.0811,l,2014-09-27 19:00:00,0,0,1,0,-0.20430900000000002
h,0.307003,0.692365,0.307003,0.692365,"{'att': 149, 'def': 29}","{'att': 302, 'def': 27}",3,2,0,2,0.8633000000000001,l,2014-10-04 19:00:00,0,0,1,0,-0.385362
a,0.15312,0.814842,0.15312,0.814842,"{'att': 294, 'def': 28}","{'att': 126, 'def': 40}",0,4,1,0,0.6041,w,2014-10-18 19:00:00,1,0,0,3,-0.6617219999999999
h,0.983475,2.2563,0.983475,2.2563,"{'att': 195, 'def': 21}","{'att': 174, 'def': 24}",3,8,1,3,0.5241,l,2014-10-25 19:00:00,0,0,1,0,-1.272825
a,0.427032,0.67025,0.427032,0.67025,"{'att': 134, 'def': 19}","{'att': 312, 'def': 23}",5,0,0,1,1.0551,l,2014-11-01 19:00:00,0,0,1,0,-0.243218
h,1.50095,0.550295,1.50095,0.550295,"{'att': 158, 'def': 25}","{'att': 142, 'def': 29}",1,4,2,0,2.2099,w,2014-11-08 19:00:00,1,0,0,3,0.950655
h,0.449604,0.345597,0.449604,0.345597,"{'att': 244, 'def': 40}","{'att': 126, 'def': 25}",0,5,0,0,1.3565,d,2014-11-22 16:00:00,0,1,0,1,0.10400700000000002
a,1.13102,1.08343,1.13102,1.08343,"{'att': 315, 'def': 21}","{'att': 245, 'def': 27}",2,3,1,2,1.4063999999999999,l,2014-11-29 19:00:00,0,0,1,0,0.04759000000000002
h,1.69568,1.15876,1.69568,1.15876,"{'att': 105, 'def': 25}","{'att': 151, 'def': 18}",8,3,1,2,1.7977,l,2014-12-03 18:00:00,0,0,1,0,0.5369200000000001
a,1.38223,0.855599,1.38223,0.855599,"{'att': 285, 'def': 18}","{'att': 158, 'def': 37}",3,14,0,1,1.8637,l,2014-12-06 19:00:00,0,0,1,0,0.5266310000000001
h,1.10213,0.311319,1.10213,0.311319,"{'att': 198, 'def': 37}","{'att': 223, 'def': 12}",4,4,2,0,2.1107,w,2014-12-13 19:00:00,1,0,0,3,0.790811
a,1.17583,0.446779,1.17583,0.446779,"{'att': 228, 'def': 32}","{'att': 134, 'def': 29}",2,1,1,1,2.2695000000000003,d,2014-12-20 19:00:00,0,1,0,1,0.7290509999999999
h,1.4467,1.31274,0.686602,1.31274,"{'att': 374, 'def': 42}","{'att': 183, 'def': 23}",0,8,4,2,1.5076,w,2015-01-10 16:00:00,1,0,0,3,-0.626138
a,0.760438,0.267063,0.760438,0.267063,"{'att': 202, 'def': 26}","{'att': 105, 'def': 26}",3,5,1,1,1.9928000000000001,d,2015-01-17 19:00:00,0,1,0,1,0.49337499999999995
h,1.38665,0.961446,1.38665,0.961446,"{'att': 210, 'def': 23}","{'att': 168, 'def': 16}",1,8,0,0,1.7507000000000001,d,2015-01-24 19:00:00,0,1,0,1,0.4252039999999999
a,0.854747,2.08817,0.0946517,1.32808,"{'att': 216, 'def': 27}","{'att': 157, 'def': 24}",1,10,1,1,0.3971,d,2015-01-31 19:00:00,0,1,0,1,-1.2334283
h,1.56279,0.595647,0.802699,0.595647,"{'att': 146, 'def': 20}","{'att': 342, 'def': 21}",7,5,2,0,2.2414,w,2015-02-07 19:00:00,1,0,0,3,0.207052
a,0.639578,0.250159,0.639578,0.250159,"{'att': 258, 'def': 27}","{'att': 323, 'def': 25}",3,5,2,0,1.7649000000000001,w,2015-02-14 19:00:00,1,0,0,3,0.38941899999999996
h,0.442604,0.368923,0.442604,0.368923,"{'att': 207, 'def': 35}","{'att': 208, 'def': 28}",2,6,2,1,1.3304999999999998,w,2015-02-21 19:00:00,1,0,0,3,0.073681
a,0.408568,1.19939,0.408568,1.19939,"{'att': 262, 'def': 21}","{'att': 261, 'def': 19}",3,5,0,2,0.6592,l,2015-02-28 19:00:00,0,0,1,0,-0.7908219999999999
h,1.12393,0.711578,1.12393,0.711578,"{'att': 103, 'def': 26}","{'att': 166, 'def': 20}",1,1,2,1,1.6868999999999998,w,2015-03-07 19:00:00,1,0,0,3,0.41235200000000005
a,0.127961,4.78539,0.127961,4.0253,"{'att': 316, 'def': 21}","{'att': 231, 'def': 36}",1,18,0,3,0.0013,l,2015-03-13 19:30:00,0,0,1,0,-3.8973389999999997
h,0.698853,1.08129,0.698853,1.08129,"{'att': 218, 'def': 32}","{'att': 196, 'def': 22}",4,4,0,0,0.9872000000000001,d,2015-03-21 19:00:00,0,1,0,1,-0.38243700000000014
a,0.227001,2.6221,0.227001,1.10191,"{'att': 178, 'def': 37}","{'att': 255, 'def': 26}",5,3,1,3,0.0525,l,2015-04-04 19:00:00,0,0,1,0,-0.8749089999999999
a,0.293852,1.52986,0.293852,1.52986,"{'att': 243, 'def': 17}","{'att': 167, 'def': 30}",1,7,0,2,0.3546,l,2015-04-15 17:30:00,0,0,1,0,-1.236008
h,0.590394,1.89032,0.590394,1.89032,"{'att': 109, 'def': 24}","{'att': 229, 'def': 31}",3,3,1,2,0.2906,l,2015-04-18 19:00:00,0,0,1,0,-1.2999260000000001
a,1.35755,1.49347,1.35755,1.49347,"{'att': 243, 'def': 19}","{'att': 209, 'def': 22}",3,1,2,1,1.1923,w,2015-04-25 19:00:00,1,0,0,3,-0.13592000000000004
h,1.46257,0.301232,1.46257,0.301232,"{'att': 269, 'def': 39}","{'att': 290, 'def': 19}",5,4,1,0,2.4095,w,2015-05-02 19:00:00,1,0,0,3,1.161338
a,0.265662,3.09687,0.265662,2.33678,"{'att': 336, 'def': 18}","{'att': 195, 'def': 16}",4,13,1,0,0.0345,w,2015-05-09 19:00:00,1,0,0,3,-2.0711180000000002
h,0.406616,0.53817,0.406616,0.53817,"{'att': 157, 'def': 27}","{'att': 298, 'def': 18}",1,2,1,1,1.1264,d,2015-05-16 20:00:00,0,1,0,1,-0.13155400000000006
a,0.216127,1.07865,0.216127,1.07865,"{'att': 354, 'def': 38}","{'att': 199, 'def': 24}",3,5,0,3,0.5022,l,2015-05-23 20:00:00,0,0,1,0,-0.8625230000000002
