h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.79874,0.460955,0.79874,0.460955,"{'att': 147, 'def': 25}","{'att': 227, 'def': 26}",1,6,1,2,1.7466999999999997,l,2015-08-08 23:00:00,0,0,1,0,0.337785
h,0.718904,0.161006,0.718904,0.161006,"{'att': 218, 'def': 23}","{'att': 236, 'def': 34}",4,3,1,0,1.8926,w,2015-08-15 22:00:00,1,0,0,3,0.557898
a,0.42381,0.730806,0.42381,0.730806,"{'att': 347, 'def': 23}","{'att': 138, 'def': 23}",2,10,2,1,0.9993,w,2015-08-22 19:00:00,1,0,0,3,-0.30699599999999994
h,1.91483,1.40577,1.01331,1.40577,"{'att': 207, 'def': 23}","{'att': 215, 'def': 35}",5,3,3,1,1.7843,w,2015-08-29 22:00:00,1,0,0,3,-0.39246000000000003
a,2.24932,0.585464,2.24932,0.585464,"{'att': 189, 'def': 31}","{'att': 275, 'def': 24}",5,2,2,0,2.5776,w,2015-09-13 19:00:00,1,0,0,3,1.663856
h,2.13208,1.03901,1.37198,1.03901,"{'att': 169, 'def': 29}","{'att': 177, 'def': 37}",6,4,1,1,2.3481,d,2015-09-18 22:30:00,0,1,0,1,0.33297
a,1.6963,0.502333,1.6963,0.502333,"{'att': 225, 'def': 23}","{'att': 235, 'def': 22}",10,1,1,1,2.3377,d,2015-09-23 21:00:00,0,1,0,1,1.1939669999999998
h,1.24575,0.964618,1.24575,0.964618,"{'att': 149, 'def': 29}","{'att': 244, 'def': 20}",4,4,1,1,1.5702,d,2015-09-26 22:00:00,0,1,0,1,0.28113199999999994
a,1.53435,1.46766,0.774251,1.46766,"{'att': 251, 'def': 13}","{'att': 240, 'def': 26}",4,4,1,1,1.4206,d,2015-10-04 16:00:00,0,1,0,1,-0.6934089999999999
h,0.745276,2.09843,0.745276,2.09843,"{'att': 413, 'def': 43}","{'att': 223, 'def': 14}",4,3,1,4,0.3714,l,2015-10-18 23:00:00,0,0,1,0,-1.353154
a,0.926945,1.26587,0.926945,1.26587,"{'att': 259, 'def': 33}","{'att': 363, 'def': 26}",4,9,1,1,1.0306,d,2015-10-24 19:00:00,0,1,0,1,-0.33892500000000003
h,0.185016,0.699325,0.185016,0.699325,"{'att': 438, 'def': 43}","{'att': 242, 'def': 36}",1,12,0,1,0.7306,l,2015-10-30 23:30:00,0,0,1,0,-0.5143089999999999
a,0.803349,1.61712,0.803349,0.85702,"{'att': 287, 'def': 33}","{'att': 352, 'def': 23}",2,5,2,0,0.6785,w,2015-11-06 23:30:00,1,0,0,3,-0.053671000000000024
h,1.60804,2.03833,0.84795,2.03833,"{'att': 248, 'def': 27}","{'att': 237, 'def': 20}",4,7,2,2,1.0074,d,2015-11-22 20:00:00,0,1,0,1,-1.1903800000000002
a,1.04313,1.15581,1.04313,1.15581,"{'att': 239, 'def': 25}","{'att': 275, 'def': 34}",4,1,2,2,1.2350999999999999,d,2015-11-28 23:00:00,0,1,0,1,-0.11268000000000011
h,1.06062,0.823838,1.06062,0.823838,"{'att': 261, 'def': 36}","{'att': 267, 'def': 32}",4,4,0,1,1.5552,l,2015-12-04 00:00:00,0,0,1,0,0.23678199999999994
a,0.765019,1.47089,0.765019,0.710795,"{'att': 248, 'def': 19}","{'att': 233, 'def': 36}",6,5,1,1,0.6967000000000001,d,2015-12-07 00:00:00,0,1,0,1,0.05422400000000005
