h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.879179,0.49342,0.879179,0.49342,"{'att': 224, 'def': 29}","{'att': 249, 'def': 26}",4,5,1,0,1.7046,w,2016-08-13 22:00:00,1,0,0,3,0.385759
a,1.46843,1.58901,1.46843,1.58901,"{'att': 290, 'def': 28}","{'att': 178, 'def': 32}",1,5,1,3,1.3004,l,2016-08-21 19:00:00,0,0,1,0,-0.12058000000000013
h,0.999105,1.0107,0.999105,1.0107,"{'att': 302, 'def': 35}","{'att': 207, 'def': 25}",3,1,1,1,1.3382,d,2016-08-27 22:00:00,0,1,0,1,-0.011594999999999911
a,0.161811,0.703262,0.161811,0.703262,"{'att': 194, 'def': 25}","{'att': 178, 'def': 25}",2,7,1,1,0.6886,d,2016-09-10 22:00:00,0,1,0,1,-0.541451
h,2.32844,1.08766,1.56834,1.08766,"{'att': 374, 'def': 52}","{'att': 251, 'def': 16}",5,4,1,1,2.3510999999999997,d,2016-09-18 17:00:00,0,1,0,1,0.48068
a,0.510154,2.33108,0.510154,1.57099,"{'att': 420, 'def': 17}","{'att': 207, 'def': 32}",0,8,1,5,0.2118,l,2016-09-21 21:00:00,0,0,1,0,-1.0608360000000001
h,1.55117,1.09238,1.55117,0.332284,"{'att': 90, 'def': 30}","{'att': 264, 'def': 30}",11,0,0,1,1.6966,l,2016-09-24 22:00:00,0,0,1,0,1.218886
a,1.40043,0.539549,1.40043,0.539549,"{'att': 328, 'def': 24}","{'att': 215, 'def': 19}",4,3,3,3,2.0624,d,2016-10-01 22:00:00,0,1,0,1,0.8608810000000001
h,1.31867,1.30379,1.31867,1.30379,"{'att': 203, 'def': 19}","{'att': 245, 'def': 18}",2,6,3,2,1.3275000000000001,w,2016-10-15 22:00:00,1,0,0,3,0.014880000000000004
a,1.21149,2.8994,0.451394,2.13931,"{'att': 317, 'def': 18}","{'att': 188, 'def': 20}",2,6,2,6,0.3211,l,2016-10-21 22:45:00,0,0,1,0,-1.687916
a,1.3536,1.51804,1.3536,1.51804,"{'att': 320, 'def': 21}","{'att': 219, 'def': 24}",3,1,2,2,1.2303,d,2016-10-29 22:00:00,0,1,0,1,-0.16444000000000014
h,1.74085,1.46558,1.74085,1.46558,"{'att': 453, 'def': 21}","{'att': 147, 'def': 20}",8,4,3,1,1.6042999999999998,w,2016-11-04 23:45:00,1,0,0,3,0.2752699999999999
a,1.42011,0.701853,1.42011,0.701853,"{'att': 201, 'def': 15}","{'att': 236, 'def': 25}",4,4,1,1,1.9916,d,2016-11-19 23:00:00,0,1,0,1,0.718257
h,0.642833,0.3552,0.642833,0.3552,"{'att': 214, 'def': 13}","{'att': 290, 'def': 28}",5,0,0,0,1.5688,d,2016-11-26 23:00:00,0,1,0,1,0.28763299999999997
a,0.338433,0.829543,0.338433,0.829543,"{'att': 163, 'def': 28}","{'att': 201, 'def': 28}",3,2,0,1,0.646,l,2016-11-30 22:00:00,0,0,1,0,-0.49111000000000005
h,0.537489,1.2177,0.537489,1.2177,"{'att': 489, 'def': 23}","{'att': 143, 'def': 31}",2,7,3,0,0.7312000000000001,w,2016-12-03 20:00:00,1,0,0,3,-0.680211
a,1.33351,1.71742,1.33351,1.71742,"{'att': 277, 'def': 29}","{'att': 318, 'def': 24}",6,6,1,2,1.0371000000000001,l,2016-12-10 23:00:00,0,0,1,0,-0.38391
h,2.31433,0.52356,2.31433,0.52356,"{'att': 386, 'def': 23}","{'att': 207, 'def': 28}",6,4,4,0,2.5548,w,2016-12-17 23:00:00,1,0,0,3,1.79077
a,1.3653,0.920305,1.3653,0.16021,"{'att': 278, 'def': 21}","{'att': 288, 'def': 23}",8,1,0,1,1.6871,l,2016-12-21 23:50:00,0,0,1,0,1.20509
