h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.31924,1.46179,0.31924,1.46179,"{'att': 246, 'def': 21}","{'att': 252, 'def': 23}",2,4,0,1,0.3702,l,2017-08-05 19:00:00,0,0,1,0,-1.14255
h,0.75531,1.14769,0.75531,1.14769,"{'att': 220, 'def': 27}","{'att': 173, 'def': 25}",1,2,0,1,0.9391,l,2017-08-12 19:00:00,0,0,1,0,-0.39238000000000006
a,1.82943,0.511679,1.82943,0.511679,"{'att': 308, 'def': 34}","{'att': 137, 'def': 19}",3,6,2,0,2.5088,w,2017-08-20 14:00:00,1,0,0,3,1.317751
h,1.71638,0.834878,1.71638,0.834878,"{'att': 185, 'def': 17}","{'att': 254, 'def': 21}",6,2,1,0,2.0300000000000002,w,2017-08-26 19:00:00,1,0,0,3,0.881502
h,1.67506,0.51478,0.914961,0.51478,"{'att': 235, 'def': 33}","{'att': 228, 'def': 23}",1,3,2,1,2.3886,w,2017-09-09 19:00:00,1,0,0,3,0.400181
a,0.277685,0.464665,0.277685,0.464665,"{'att': 200, 'def': 19}","{'att': 303, 'def': 26}",2,6,0,1,1.009,l,2017-09-16 19:00:00,0,0,1,0,-0.18697999999999998
h,1.76038,0.0263448,1.00028,0.0263448,"{'att': 171, 'def': 23}","{'att': 203, 'def': 21}",4,3,1,0,2.8194,w,2017-09-23 19:00:00,1,0,0,3,0.9739352000000001
a,1.40792,0.698792,1.40792,0.698792,"{'att': 293, 'def': 37}","{'att': 166, 'def': 28}",4,4,1,0,1.9705,w,2017-09-30 19:00:00,1,0,0,3,0.7091280000000001
h,1.31459,2.02926,1.31459,2.02926,"{'att': 184, 'def': 22}","{'att': 147, 'def': 30}",4,3,0,2,0.8458000000000001,l,2017-10-14 19:00:00,0,0,1,0,-0.7146699999999999
a,0.382019,2.02602,0.382019,1.26593,"{'att': 162, 'def': 32}","{'att': 190, 'def': 34}",3,2,0,2,0.2283,l,2017-10-21 16:00:00,0,0,1,0,-0.883911
h,0.58564,1.13546,0.58564,1.13546,"{'att': 175, 'def': 26}","{'att': 204, 'def': 16}",3,3,1,0,0.8073999999999999,w,2017-10-28 19:00:00,1,0,0,3,-0.5498199999999999
a,1.02028,4.03445,1.02028,4.03445,"{'att': 328, 'def': 32}","{'att': 104, 'def': 23}",3,8,0,5,0.1088,l,2017-11-05 16:00:00,0,0,1,0,-3.0141699999999996
h,2.16318,1.55288,1.40309,1.55288,"{'att': 397, 'def': 26}","{'att': 151, 'def': 20}",6,2,1,1,1.8347,d,2017-11-19 14:00:00,0,1,0,1,-0.1497900000000001
h,1.03943,1.22029,1.03943,1.22029,"{'att': 262, 'def': 18}","{'att': 172, 'def': 28}",4,5,1,0,1.1703999999999999,w,2017-11-25 19:00:00,1,0,0,3,-0.18086000000000002
a,2.23402,0.223173,2.23402,0.223173,"{'att': 270, 'def': 30}","{'att': 153, 'def': 25}",5,5,0,0,2.7525,d,2017-11-28 18:00:00,0,1,0,1,2.010847
h,0.986845,1.98069,0.986845,1.98069,"{'att': 246, 'def': 38}","{'att': 167, 'def': 27}",5,4,1,2,0.6601,l,2017-12-03 16:00:00,0,0,1,0,-0.9938450000000001
a,1.05035,1.72943,1.05035,0.96933,"{'att': 149, 'def': 21}","{'att': 184, 'def': 38}",5,4,0,2,0.8146,l,2017-12-09 19:00:00,0,0,1,0,0.08101999999999987
h,0.820219,0.233712,0.820219,0.233712,"{'att': 266, 'def': 36}","{'att': 198, 'def': 34}",3,0,0,0,1.9348,d,2017-12-16 19:00:00,0,1,0,1,0.586507
a,1.01868,2.4519,0.258584,2.4519,"{'att': 398, 'def': 25}","{'att': 153, 'def': 23}",1,22,1,3,0.4727,l,2017-12-20 19:50:00,0,0,1,0,-2.1933160000000003
h,1.48076,1.2005,1.48076,1.2005,"{'att': 301, 'def': 22}","{'att': 161, 'def': 13}",4,3,0,1,1.6168999999999998,l,2018-01-13 19:00:00,0,0,1,0,0.2802600000000002
a,0.949262,0.550902,0.189167,0.550902,"{'att': 197, 'def': 33}","{'att': 298, 'def': 29}",0,6,2,0,1.8454,w,2018-01-16 18:00:00,1,0,0,3,-0.36173500000000003
h,0.152123,2.29378,0.152123,1.53368,"{'att': 347, 'def': 35}","{'att': 183, 'def': 33}",1,3,0,2,0.0794,l,2018-01-19 19:45:00,0,0,1,0,-1.381557
a,1.38281,0.476107,1.38281,0.476107,"{'att': 325, 'def': 24}","{'att': 193, 'def': 22}",3,3,1,2,2.2433000000000005,l,2018-01-27 19:00:00,0,0,1,0,0.906703
h,1.88955,0.696733,1.12945,0.696733,"{'att': 221, 'def': 23}","{'att': 244, 'def': 22}",6,8,3,2,2.3207000000000004,w,2018-02-04 16:00:00,1,0,0,3,0.432717
a,0.959241,0.284691,0.959241,0.284691,"{'att': 408, 'def': 32}","{'att': 173, 'def': 19}",4,4,0,0,1.9983999999999997,d,2018-02-10 19:00:00,0,1,0,1,0.67455
h,3.33664,1.38594,1.81645,1.38594,"{'att': 165, 'def': 14}","{'att': 280, 'def': 13}",4,5,2,2,2.5709000000000004,d,2018-02-17 19:00:00,0,1,0,1,0.43050999999999995
a,0.61071,1.53459,0.61071,0.774491,"{'att': 196, 'def': 39}","{'att': 216, 'def': 33}",3,9,0,2,0.5678000000000001,l,2018-02-24 19:00:00,0,0,1,0,-0.16378100000000007
h,1.08261,0.866851,1.08261,0.866851,"{'att': 349, 'def': 19}","{'att': 143, 'def': 27}",3,4,2,0,1.5707,w,2018-03-04 14:00:00,1,0,0,3,0.21575900000000003
a,0.245834,1.66731,0.245834,1.66731,"{'att': 403, 'def': 29}","{'att': 188, 'def': 24}",1,7,0,1,0.322,l,2018-03-11 16:00:00,0,0,1,0,-1.4214760000000002
a,0.569241,1.73862,0.569241,1.73862,"{'att': 170, 'def': 26}","{'att': 295, 'def': 20}",5,5,0,3,0.46430000000000005,l,2018-03-17 19:00:00,0,0,1,0,-1.1693790000000002
h,1.19265,2.18236,1.19265,2.18236,"{'att': 286, 'def': 37}","{'att': 281, 'def': 27}",4,6,1,3,0.6513,l,2018-04-01 16:00:00,0,0,1,0,-0.9897100000000001
a,1.46645,1.65174,1.46645,1.65174,"{'att': 174, 'def': 40}","{'att': 187, 'def': 18}",6,7,0,3,1.2163,l,2018-04-07 18:00:00,0,0,1,0,-0.18528999999999995
h,0.259281,0.489412,0.259281,0.489412,"{'att': 155, 'def': 30}","{'att': 330, 'def': 25}",1,1,0,0,0.9421,d,2018-04-14 18:00:00,0,1,0,1,-0.23013100000000003
a,0.471832,0.892067,0.471832,0.892067,"{'att': 275, 'def': 31}","{'att': 227, 'def': 18}",1,11,1,1,0.9213,d,2018-04-21 18:00:00,0,1,0,1,-0.4202350000000001
a,0.570932,1.16671,0.570932,1.16671,"{'att': 171, 'def': 28}","{'att': 307, 'def': 25}",2,4,1,3,0.7605999999999999,l,2018-04-28 18:00:00,0,0,1,0,-0.5957779999999999
h,1.05186,1.21667,1.05186,1.21667,"{'att': 204, 'def': 17}","{'att': 186, 'def': 21}",2,2,1,2,1.1874,l,2018-05-06 16:00:00,0,0,1,0,-0.1648099999999999
a,0.703403,2.23423,0.703403,1.47413,"{'att': 394, 'def': 20}","{'att': 193, 'def': 16}",3,10,1,4,0.3674,l,2018-05-12 20:00:00,0,0,1,0,-0.7707269999999999
h,0.442461,1.0188,0.442461,1.0188,"{'att': 538, 'def': 26}","{'att': 114, 'def': 18}",3,9,0,0,0.7315,d,2018-05-19 19:00:00,0,1,0,1,-0.5763389999999999
