h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.8413,1.22055,2.8413,1.22055,"{'att': 255, 'def': 25}","{'att': 115, 'def': 22}",5,11,3,1,2.5103,w,2018-08-11 18:00:00,1,0,0,3,1.62075
h,1.62023,0.580405,0.860131,0.580405,"{'att': 210, 'def': 18}","{'att': 203, 'def': 22}",3,5,0,0,2.2874000000000003,d,2018-08-18 21:00:00,0,1,0,1,0.27972600000000003
a,0.557262,2.22891,0.557262,0.68403,"{'att': 206, 'def': 25}","{'att': 254, 'def': 23}",4,4,1,2,0.2184,l,2018-08-26 18:00:00,0,0,1,0,-0.126768
h,1.85881,1.82074,1.85881,1.82074,"{'att': 246, 'def': 32}","{'att': 204, 'def': 22}",2,2,2,3,1.4212999999999998,l,2018-09-02 19:00:00,0,0,1,0,0.03807000000000005
a,0.411114,1.04734,0.411114,1.04734,"{'att': 268, 'def': 31}","{'att': 176, 'def': 25}",4,5,1,1,0.7292000000000001,d,2018-09-15 18:00:00,0,1,0,1,-0.636226
h,1.71296,0.776658,1.71296,0.776658,"{'att': 166, 'def': 22}","{'att': 273, 'def': 18}",2,1,1,1,2.1270000000000002,d,2018-09-21 18:45:00,0,1,0,1,0.9363020000000001
h,0.64811,0.353164,0.64811,0.353164,"{'att': 148, 'def': 25}","{'att': 337, 'def': 17}",3,0,0,1,1.6387,l,2018-09-25 17:00:00,0,0,1,0,0.294946
a,1.85855,2.03551,1.85855,2.03551,"{'att': 255, 'def': 25}","{'att': 285, 'def': 20}",5,8,0,2,1.2603000000000002,l,2018-09-28 18:45:00,0,0,1,0,-0.17696
h,0.390296,1.01659,0.390296,1.01659,"{'att': 280, 'def': 22}","{'att': 239, 'def': 23}",6,3,1,2,0.6853,l,2018-10-07 15:00:00,0,0,1,0,-0.6262940000000001
a,1.35931,0.819667,0.599343,0.819667,"{'att': 229, 'def': 13}","{'att': 284, 'def': 23}",4,1,1,2,1.8430000000000002,l,2018-10-20 18:00:00,0,0,1,0,-0.22032400000000008
h,1.31423,0.476065,1.31423,0.476065,"{'att': 310, 'def': 26}","{'att': 238, 'def': 22}",7,3,2,2,2.0909999999999997,d,2018-10-27 18:00:00,0,1,0,1,0.838165
a,1.02637,1.10683,1.02637,1.10683,"{'att': 108, 'def': 23}","{'att': 395, 'def': 24}",1,6,0,1,1.311,l,2018-11-03 19:00:00,0,0,1,0,-0.08045999999999998
h,1.15132,3.96363,1.15132,3.20367,"{'att': 367, 'def': 27}","{'att': 166, 'def': 30}",3,14,0,4,0.0984,l,2018-11-11 20:00:00,0,0,1,0,-2.0523499999999997
a,0.845589,0.789079,0.845589,0.789079,"{'att': 239, 'def': 30}","{'att': 356, 'def': 30}",5,2,1,0,1.3866,w,2018-11-24 19:00:00,1,0,0,3,0.05651000000000006
h,0.730635,1.38205,0.730635,1.38205,"{'att': 250, 'def': 8}","{'att': 249, 'def': 22}",2,2,1,2,0.7696000000000001,l,2018-12-01 19:00:00,0,0,1,0,-0.651415
a,1.77175,0.710707,0.251556,0.710707,"{'att': 277, 'def': 19}","{'att': 216, 'def': 28}",5,4,2,0,2.346,w,2018-12-04 18:00:00,1,0,0,3,-0.459151
a,0.0994342,2.3216,0.0994342,2.3216,"{'att': 430, 'def': 12}","{'att': 157, 'def': 23}",0,14,0,3,0.07519999999999999,l,2018-12-16 12:00:00,0,0,1,0,-2.2221658
h,0.516533,1.05145,0.516533,1.05145,"{'att': 153, 'def': 33}","{'att': 295, 'def': 33}",6,4,0,2,0.7662,l,2018-12-22 19:00:00,0,0,1,0,-0.534917
a,0.845128,1.56381,0.845128,1.56381,"{'att': 345, 'def': 20}","{'att': 272, 'def': 34}",5,6,1,1,0.7405,d,2019-01-13 20:00:00,0,1,0,1,-0.7186819999999999
