h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.934842,1.37217,0.934842,0.61208,"{'att': 264, 'def': 20}","{'att': 203, 'def': 17}",2,5,2,1,0.9373,w,2018-08-11 21:00:00,1,0,0,3,0.322762
a,0.329551,0.626045,0.329551,0.626045,"{'att': 294, 'def': 10}","{'att': 272, 'def': 21}",1,8,1,1,0.9360999999999999,d,2018-08-19 16:00:00,0,1,0,1,-0.296494
a,0.245117,0.417545,0.245117,0.417545,"{'att': 246, 'def': 26}","{'att': 375, 'def': 32}",0,2,0,0,1.0352,d,2018-08-25 21:00:00,0,1,0,1,-0.172428
h,0.737428,0.325126,0.737428,0.325126,"{'att': 155, 'def': 26}","{'att': 268, 'def': 13}",6,3,0,0,1.6759000000000002,d,2018-09-02 13:00:00,0,1,0,1,0.41230199999999995
a,0.8923,2.6433,0.8923,1.8832,"{'att': 391, 'def': 21}","{'att': 213, 'def': 23}",2,17,0,4,0.2995,l,2018-09-14 18:45:00,0,0,1,0,-0.9909
h,3.12231,0.307587,2.36222,0.307587,"{'att': 179, 'def': 21}","{'att': 205, 'def': 31}",10,3,2,1,2.9404,w,2018-09-22 18:00:00,1,0,0,3,2.0546330000000004
a,2.23179,1.09674,2.23179,1.09674,"{'att': 246, 'def': 17}","{'att': 190, 'def': 16}",6,4,3,2,2.2402,w,2018-09-25 19:00:00,1,0,0,3,1.1350500000000001
h,2.03551,1.85855,2.03551,1.85855,"{'att': 285, 'def': 20}","{'att': 255, 'def': 25}",8,5,2,0,1.4904000000000002,w,2018-09-28 18:45:00,1,0,0,3,0.17696
a,1.33367,0.792513,0.573572,0.792513,"{'att': 201, 'def': 22}","{'att': 303, 'def': 13}",4,3,1,3,1.9053,l,2018-10-06 15:00:00,0,0,1,0,-0.21894100000000005
h,1.76728,2.01595,1.00719,1.25586,"{'att': 272, 'def': 26}","{'att': 310, 'def': 28}",4,1,1,1,1.15,d,2018-10-21 15:00:00,0,1,0,1,-0.24866999999999995
a,1.21742,1.32474,1.21742,1.32474,"{'att': 224, 'def': 22}","{'att': 221, 'def': 20}",6,3,1,1,1.2349,d,2018-10-26 18:45:00,0,1,0,1,-0.10732000000000008
h,2.07401,1.65241,2.07401,1.65241,"{'att': 172, 'def': 24}","{'att': 349, 'def': 19}",11,5,4,3,1.6735,w,2018-11-04 16:00:00,1,0,0,3,0.4216
h,1.30361,0.7083,1.30361,0.7083,"{'att': 151, 'def': 23}","{'att': 284, 'def': 39}",2,4,2,0,1.8840000000000003,w,2018-11-10 19:00:00,1,0,0,3,0.5953099999999999
a,1.31216,0.649858,1.31216,0.649858,"{'att': 272, 'def': 31}","{'att': 178, 'def': 21}",4,2,0,1,1.9468999999999999,l,2018-11-23 19:45:00,0,0,1,0,0.662302
