h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.874557,1.2983,0.874557,1.2983,"{'att': 200, 'def': 41}","{'att': 364, 'def': 23}",4,6,0,2,1.0087000000000002,l,2019-08-10 16:30:00,0,0,1,0,-0.423743
a,1.34033,0.333103,0.580233,0.333103,"{'att': 254, 'def': 20}","{'att': 240, 'def': 24}",2,3,0,0,2.379,d,2019-08-17 16:30:00,0,1,0,1,0.24713000000000002
a,1.647,1.73926,0.886905,0.979162,"{'att': 383, 'def': 30}","{'att': 200, 'def': 25}",2,4,2,1,1.2579,w,2019-08-28 20:00:00,1,0,0,3,-0.09225699999999992
h,0.845557,0.524356,0.845557,0.524356,"{'att': 276, 'def': 31}","{'att': 290, 'def': 36}",9,6,1,0,1.6473,w,2019-09-01 20:00:00,1,0,0,3,0.32120099999999996
a,1.73874,2.47739,1.73874,1.71736,"{'att': 231, 'def': 25}","{'att': 331, 'def': 19}",4,3,4,3,0.8142,w,2019-09-15 19:00:00,1,0,0,3,0.021379999999999955
h,1.08408,0.10429,1.08408,0.10429,"{'att': 195, 'def': 24}","{'att': 247, 'def': 23}",9,2,1,1,2.2319999999999998,d,2019-09-21 15:30:00,0,1,0,1,0.9797899999999999
a,1.31656,1.74443,1.31656,1.74443,"{'att': 237, 'def': 40}","{'att': 336, 'def': 27}",5,3,0,0,1.0609000000000002,d,2019-09-24 17:00:00,0,1,0,1,-0.42787
h,0.674547,0.682156,0.674547,0.682156,"{'att': 257, 'def': 35}","{'att': 274, 'def': 27}",6,6,1,1,1.3130000000000002,d,2019-09-29 19:00:00,0,1,0,1,-0.007608999999999977
a,0.437853,2.90722,0.437853,2.14713,"{'att': 123, 'def': 30}","{'att': 334, 'def': 25}",4,1,1,3,0.09920000000000001,l,2019-10-04 19:45:00,0,0,1,0,-1.7092770000000002
h,1.5975,0.32374,0.837407,0.32374,"{'att': 302, 'def': 21}","{'att': 304, 'def': 24}",3,4,2,0,2.5275,w,2019-10-20 20:00:00,1,0,0,3,0.513667
a,0.544773,3.22926,0.544773,3.22926,"{'att': 481, 'def': 29}","{'att': 209, 'def': 27}",4,11,0,4,0.0656,l,2019-10-27 20:00:00,0,0,1,0,-2.684487
h,0.658517,0.699055,0.658517,0.699055,"{'att': 289, 'def': 27}","{'att': 177, 'def': 22}",8,4,2,1,1.2294,w,2019-11-02 16:30:00,1,0,0,3,-0.04053799999999996
h,1.16011,1.09866,0.400012,1.09866,"{'att': 276, 'def': 27}","{'att': 138, 'def': 15}",4,2,2,1,1.4040000000000001,w,2019-11-10 20:00:00,1,0,0,3,-0.6986479999999999
a,1.96185,0.896004,1.96185,0.896004,"{'att': 125, 'def': 36}","{'att': 387, 'def': 25}",10,1,2,0,2.2578000000000005,w,2019-11-24 20:00:00,1,0,0,3,1.065846
h,4.52731,0.692625,4.52731,0.692625,"{'att': 221, 'def': 31}","{'att': 298, 'def': 19}",10,1,2,1,2.9307000000000003,w,2019-11-29 19:00:00,1,0,0,3,3.834685
a,2.09565,0.782831,1.33556,0.782831,"{'att': 391, 'def': 28}","{'att': 224, 'def': 18}",1,5,2,0,2.4109,w,2019-12-03 18:00:00,1,0,0,3,0.552729
h,2.04801,0.15818,2.04801,0.15818,"{'att': 326, 'def': 35}","{'att': 256, 'def': 20}",9,2,3,1,2.7336,w,2019-12-08 20:00:00,1,0,0,3,1.8898300000000001
a,1.69227,1.01835,1.69227,0.258259,"{'att': 151, 'def': 37}","{'att': 325, 'def': 16}",7,0,1,1,1.8842999999999999,d,2019-12-14 16:30:00,0,1,0,1,1.434011
h,1.97361,1.14972,1.97361,1.14972,"{'att': 207, 'def': 19}","{'att': 323, 'def': 20}",7,3,3,1,2.027,w,2019-12-21 19:45:00,1,0,0,3,0.82389
a,0.831327,0.494628,0.831327,0.494628,"{'att': 226, 'def': 31}","{'att': 182, 'def': 28}",0,1,1,0,1.7138999999999998,w,2020-01-10 19:45:00,1,0,0,3,0.336699
h,0.342074,0.162533,0.342074,0.162533,"{'att': 220, 'def': 37}","{'att': 414, 'def': 24}",7,3,0,0,1.4291,d,2020-01-25 16:30:00,0,1,0,1,0.17954099999999998
a,0.413632,1.15176,0.413632,1.15176,"{'att': 233, 'def': 29}","{'att': 184, 'def': 27}",3,1,0,0,0.6302000000000001,d,2020-02-02 20:00:00,0,1,0,1,-0.7381279999999999
a,0.531558,0.453576,0.531558,0.453576,"{'att': 264, 'def': 28}","{'att': 340, 'def': 29}",0,1,2,0,1.3753,w,2020-02-05 20:15:00,1,0,0,3,0.077982
