h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,3.61599,0.305387,2.8559,0.305387,"{'att': 138, 'def': 34}","{'att': 475, 'def': 9}",12,3,3,0,2.9539999999999997,w,2019-08-11 20:00:00,1,0,0,3,2.550513
a,0.844939,1.18588,0.844939,1.18588,"{'att': 230, 'def': 28}","{'att': 360, 'def': 19}",5,5,1,2,1.0390000000000001,l,2019-08-18 20:00:00,0,0,1,0,-0.34094100000000005
h,4.70776,0.699812,3.94766,0.699812,"{'att': 151, 'def': 34}","{'att': 331, 'def': 12}",12,0,4,0,2.9701000000000004,w,2019-08-25 20:00:00,1,0,0,3,3.247848
a,2.01186,0.360572,1.25176,0.360572,"{'att': 151, 'def': 32}","{'att': 495, 'def': 27}",5,1,2,0,2.6536,w,2019-08-30 19:45:00,1,0,0,3,0.891188
h,0.839304,0.561424,0.839304,0.561424,"{'att': 232, 'def': 35}","{'att': 304, 'def': 16}",13,2,1,0,1.5546,w,2019-09-14 15:30:00,1,0,0,3,0.27788
a,1.25713,0.373068,1.25713,0.373068,"{'att': 284, 'def': 36}","{'att': 365, 'def': 17}",15,1,1,0,2.1076,w,2019-09-22 19:00:00,1,0,0,3,0.8840620000000001
h,0.530839,1.17459,0.530839,1.17459,"{'att': 147, 'def': 24}","{'att': 425, 'def': 21}",4,2,0,2,0.7562,l,2019-09-25 19:00:00,0,0,1,0,-0.6437510000000001
a,2.83454,0.104666,2.83454,0.104666,"{'att': 232, 'def': 39}","{'att': 365, 'def': 15}",22,0,1,0,2.9262,w,2019-09-28 15:30:00,1,0,0,3,2.729874
h,3.35081,0.488442,3.35081,0.488442,"{'att': 187, 'def': 24}","{'att': 572, 'def': 16}",17,4,4,0,2.8919,w,2019-10-05 16:30:00,1,0,0,3,2.862368
a,3.38134,0.730506,3.38134,0.730506,"{'att': 235, 'def': 31}","{'att': 347, 'def': 26}",12,5,4,1,2.8522999999999996,w,2019-10-18 19:45:00,1,0,0,3,2.6508339999999997
h,3.22926,0.544773,3.22926,0.544773,"{'att': 209, 'def': 27}","{'att': 481, 'def': 29}",11,4,4,0,2.8961,w,2019-10-27 20:00:00,1,0,0,3,2.684487
a,3.04569,0.822624,3.04569,0.822624,"{'att': 172, 'def': 16}","{'att': 398, 'def': 21}",13,6,1,2,2.6799,l,2019-11-01 19:45:00,0,0,1,0,2.223066
a,2.54466,1.13488,2.54466,1.13488,"{'att': 244, 'def': 26}","{'att': 373, 'def': 37}",11,7,2,1,2.3274,w,2019-11-09 16:30:00,1,0,0,3,1.4097799999999998
h,2.68119,0.747212,2.68119,0.747212,"{'att': 275, 'def': 18}","{'att': 485, 'def': 29}",13,4,2,0,2.6116,w,2019-11-22 19:45:00,1,0,0,3,1.933978
h,2.04225,0.471802,1.28216,0.471802,"{'att': 209, 'def': 30}","{'att': 477, 'def': 35}",8,4,2,0,2.5912999999999995,w,2019-12-04 20:05:00,1,0,0,3,0.8103579999999999
a,0.782463,0.447142,0.782463,0.447142,"{'att': 95, 'def': 24}","{'att': 285, 'def': 28}",7,3,3,1,1.6144,w,2019-12-07 16:30:00,1,0,0,3,0.33532100000000004
a,3.60638,0.96128,2.84635,0.96128,"{'att': 176, 'def': 34}","{'att': 396, 'def': 19}",17,2,4,0,2.7754999999999996,w,2019-12-15 20:00:00,1,0,0,3,1.8850700000000002
h,4.8635,0.350562,4.8635,0.350562,"{'att': 202, 'def': 35}","{'att': 475, 'def': 17}",19,3,4,1,2.9822,w,2019-12-21 19:45:00,1,0,0,3,4.512938
h,2.76333,1.91876,2.00324,1.91876,"{'att': 219, 'def': 32}","{'att': 388, 'def': 18}",15,9,3,3,1.951,d,2020-01-12 20:00:00,0,1,0,1,0.08447999999999989
a,3.55816,1.13704,2.79806,1.13704,"{'att': 240, 'def': 13}","{'att': 366, 'def': 27}",7,6,4,1,2.7428,w,2020-01-15 20:00:00,1,0,0,3,1.66102
a,2.0343,0.384687,1.2742,0.384687,"{'att': 173, 'def': 16}","{'att': 339, 'def': 36}",11,8,2,0,2.6277,w,2020-01-26 20:00:00,1,0,0,3,0.889513
h,2.89333,0.163578,2.89333,0.163578,"{'att': 179, 'def': 31}","{'att': 279, 'def': 11}",19,2,5,0,2.8862,w,2020-02-01 16:30:00,1,0,0,3,2.7297520000000004
a,3.65633,2.78308,3.65633,2.78308,"{'att': 201, 'def': 35}","{'att': 449, 'def': 12}",15,7,2,1,1.8898000000000001,w,2020-02-04 20:05:00,1,0,0,3,0.8732500000000001
h,1.7391,0.874372,1.7391,0.874372,"{'att': 188, 'def': 29}","{'att': 490, 'def': 23}",8,2,4,2,2.0221,w,2020-02-09 20:05:00,1,0,0,3,0.864728
a,3.45174,1.51396,3.45174,1.51396,"{'att': 152, 'def': 31}","{'att': 503, 'def': 36}",7,6,4,4,2.5208,d,2020-02-15 16:30:00,0,1,0,1,1.93778
h,5.58145,1.89123,5.58145,1.89123,"{'att': 133, 'def': 29}","{'att': 372, 'def': 34}",15,2,4,3,2.8791,w,2020-02-23 20:00:00,1,0,0,3,3.69022
h,4.57141,0.303667,4.57141,0.303667,"{'att': 226, 'def': 24}","{'att': 545, 'def': 16}",11,2,4,0,2.976,w,2020-02-29 16:30:00,1,0,0,3,4.267743
