h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.491784,1.78715,0.491784,1.78715,"{'att': 398, 'def': 30}","{'att': 143, 'def': 28}",2,7,1,2,0.4501,l,2020-08-29 15:00:00,0,0,1,0,-1.295366
h,1.69934,0.376694,1.69934,0.376694,"{'att': 292, 'def': 25}","{'att': 138, 'def': 19}",8,0,3,1,2.4123,w,2020-09-12 15:00:00,1,0,0,3,1.3226460000000002
h,1.75168,2.17049,0.991589,1.4104,"{'att': 244, 'def': 22}","{'att': 236, 'def': 27}",3,10,2,1,1.0406,w,2020-09-15 19:00:00,1,0,0,3,-0.41881100000000004
h,1.94396,0.772287,1.94396,0.772287,"{'att': 359, 'def': 20}","{'att': 309, 'def': 18}",4,5,4,1,2.2489999999999997,w,2020-09-20 13:00:00,1,0,0,3,1.171673
a,2.31217,1.60909,1.55207,1.60909,"{'att': 168, 'def': 19}","{'att': 261, 'def': 27}",6,7,2,2,1.8849,d,2020-09-27 13:00:00,0,1,0,1,-0.05701999999999985
h,0.686408,0.588829,0.686408,0.588829,"{'att': 204, 'def': 19}","{'att': 219, 'def': 28}",6,4,0,1,1.377,l,2020-10-04 11:00:00,0,0,1,0,0.09757899999999997
a,0.109095,1.80187,0.109095,1.04178,"{'att': 287, 'def': 8}","{'att': 64, 'def': 27}",0,19,1,1,0.1331,d,2020-10-18 13:00:00,0,1,0,1,-0.932685
h,0.13909,4.33321,0.13909,2.81302,"{'att': 411, 'def': 8}","{'att': 208, 'def': 16}",0,15,0,4,0.0025,l,2020-10-25 14:00:00,0,0,1,0,-2.67393
a,0.937369,0.484542,0.937369,0.484542,"{'att': 328, 'def': 26}","{'att': 231, 'def': 27}",7,5,1,0,1.7674,w,2020-11-01 12:00:00,1,0,0,3,0.45282700000000004
a,1.59436,0.474622,1.59436,0.474622,"{'att': 350, 'def': 13}","{'att': 293, 'def': 17}",3,4,2,0,2.3149999999999995,w,2020-11-07 16:00:00,1,0,0,3,1.119738
h,2.65546,3.39205,2.65546,1.87186,"{'att': 209, 'def': 16}","{'att': 321, 'def': 19}",7,11,4,3,0.9577,w,2020-11-22 14:00:00,1,0,0,3,0.7836000000000001
a,1.47115,0.343499,0.711117,0.343499,"{'att': 204, 'def': 23}","{'att': 301, 'def': 18}",3,6,1,0,2.4353,w,2020-11-29 14:00:00,1,0,0,3,0.367618
h,1.98123,2.12699,1.98123,2.12699,"{'att': 446, 'def': 21}","{'att': 202, 'def': 33}",3,7,1,3,1.2217,l,2020-12-05 20:00:00,0,0,1,0,-0.1457600000000001
a,1.61719,1.38862,1.61719,0.628522,"{'att': 305, 'def': 16}","{'att': 209, 'def': 23}",1,9,3,2,1.5585,w,2020-12-12 20:00:00,1,0,0,3,0.9886679999999999
h,0.892487,1.63826,0.892487,0.878163,"{'att': 244, 'def': 21}","{'att': 313, 'def': 8}",6,3,0,2,0.714,l,2020-12-16 18:00:00,0,0,1,0,0.014324000000000003
a,0.522177,2.16892,0.522177,2.16892,"{'att': 339, 'def': 13}","{'att': 279, 'def': 16}",0,5,2,2,0.3245,d,2020-12-20 12:00:00,0,1,0,1,-1.6467429999999998
h,1.19046,1.70435,1.19046,0.944256,"{'att': 280, 'def': 14}","{'att': 239, 'def': 20}",7,5,2,3,0.9015,l,2020-12-23 20:00:00,0,0,1,0,0.2462040000000001
a,1.17896,2.52375,1.17896,2.52375,"{'att': 343, 'def': 21}","{'att': 260, 'def': 19}",5,10,1,3,0.5301,l,2021-01-06 20:00:00,0,0,1,0,-1.3447900000000002
h,0.905512,1.31067,0.905512,1.31067,"{'att': 281, 'def': 24}","{'att': 250, 'def': 25}",4,1,1,1,0.9999,d,2021-01-09 20:00:00,0,1,0,1,-0.405158
h,0.55197,2.88799,0.55197,2.1279,"{'att': 223, 'def': 26}","{'att': 253, 'def': 36}",4,12,2,3,0.1346,l,2021-01-15 20:00:00,0,0,1,0,-1.57593
a,0.15807,4.90921,0.15807,4.90921,"{'att': 299, 'def': 8}","{'att': 114, 'def': 28}",1,22,0,4,0.0048000000000000004,l,2021-01-22 20:00:00,0,0,1,0,-4.7511399999999995
h,1.03811,1.07049,1.03811,1.07049,"{'att': 191, 'def': 28}","{'att': 213, 'def': 17}",4,3,1,2,1.2866000000000002,l,2021-01-30 16:00:00,0,0,1,0,-0.03237999999999985
a,1.02749,0.902049,1.02749,0.902049,"{'att': 239, 'def': 31}","{'att': 271, 'def': 23}",2,3,1,1,1.4389,d,2021-02-03 18:00:00,0,1,0,1,0.12544100000000002
h,5.60551,1.31726,5.60551,0.557169,"{'att': 217, 'def': 21}","{'att': 273, 'def': 17}",6,2,4,2,2.9662,w,2021-02-07 14:00:00,1,0,0,3,5.048341
a,1.75721,3.94358,1.75721,3.94358,"{'att': 259, 'def': 16}","{'att': 216, 'def': 23}",2,16,2,1,0.2574,w,2021-02-13 20:00:00,1,0,0,3,-2.18637
h,2.86812,1.42102,2.10802,1.42102,"{'att': 369, 'def': 13}","{'att': 184, 'def': 15}",3,8,2,1,2.3807,w,2021-02-21 12:00:00,1,0,0,3,0.6869999999999998
a,0.322556,0.338427,0.322556,0.338427,"{'att': 302, 'def': 19}","{'att': 185, 'def': 20}",3,7,0,0,1.1878,d,2021-02-28 14:00:00,0,1,0,1,-0.01587099999999997
h,0.6465,2.0525,0.6465,1.2924,"{'att': 267, 'def': 28}","{'att': 298, 'def': 23}",3,6,1,1,0.3776,d,2021-03-03 20:00:00,0,1,0,1,-0.6459
a,1.56372,1.83162,1.56372,1.83162,"{'att': 131, 'def': 30}","{'att': 216, 'def': 15}",4,6,1,1,1.1179999999999999,d,2021-03-14 12:00:00,0,1,0,1,-0.2679
h,2.24117,1.39846,2.24117,1.39846,"{'att': 308, 'def': 20}","{'att': 214, 'def': 17}",10,9,3,1,1.9265999999999999,w,2021-03-21 14:00:00,1,0,0,3,0.8427099999999998
a,1.75167,0.995445,1.75167,0.995445,"{'att': 403, 'def': 25}","{'att': 195, 'def': 25}",3,3,1,1,1.9937,d,2021-04-04 11:00:00,0,1,0,1,0.756225
h,2.15762,1.94159,2.15762,1.94159,"{'att': 279, 'def': 18}","{'att': 166, 'def': 21}",5,4,3,3,1.5076,d,2021-04-10 19:00:00,0,1,0,1,0.21603000000000017
a,0.914792,1.22671,0.914792,1.22671,"{'att': 315, 'def': 20}","{'att': 211, 'def': 23}",1,9,1,1,1.085,d,2021-04-16 19:00:00,0,1,0,1,-0.3119179999999999
a,1.73033,2.37673,1.73033,2.37673,"{'att': 349, 'def': 30}","{'att': 175, 'def': 15}",7,6,1,3,0.9615,l,2021-04-25 11:00:00,0,0,1,0,-0.6463999999999999
h,1.01968,2.26191,1.01968,2.26191,"{'att': 276, 'def': 27}","{'att': 222, 'def': 18}",5,8,1,2,0.5108,l,2021-05-02 15:05:00,0,0,1,0,-1.24223
a,0.716886,1.9728,0.716886,1.9728,"{'att': 248, 'def': 17}","{'att': 185, 'def': 19}",1,9,3,2,0.37470000000000003,w,2021-05-09 13:00:00,1,0,0,3,-1.2559140000000002
h,0.408081,1.96696,0.408081,1.96696,"{'att': 244, 'def': 22}","{'att': 211, 'def': 19}",2,13,0,0,0.3258,d,2021-05-16 19:00:00,0,1,0,1,-1.5588790000000001
a,1.70751,1.41119,0.947419,1.41119,"{'att': 142, 'def': 17}","{'att': 235, 'def': 19}",3,17,2,1,1.6221999999999999,w,2021-05-23 19:00:00,1,0,0,3,-0.46377099999999993
