h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.180464,3.03614,0.180464,2.27604,"{'att': 218, 'def': 30}","{'att': 360, 'def': 29}",3,5,2,1,0.020300000000000002,w,2020-08-23 15:00:00,1,0,0,3,-2.095576
a,1.20894,0.227899,0.448847,0.227899,"{'att': 268, 'def': 21}","{'att': 407, 'def': 25}",1,4,2,0,2.4486000000000003,w,2020-08-29 19:00:00,1,0,0,3,0.220948
a,0.376694,1.69934,0.376694,1.69934,"{'att': 138, 'def': 19}","{'att': 292, 'def': 25}",0,8,1,3,0.3861,l,2020-09-12 15:00:00,0,0,1,0,-1.3226460000000002
h,0.930504,3.32755,0.930504,2.56746,"{'att': 327, 'def': 13}","{'att': 363, 'def': 24}",6,11,0,3,0.132,l,2020-09-20 11:00:00,0,0,1,0,-1.636956
a,0.645309,1.17944,0.645309,1.17944,"{'att': 318, 'def': 31}","{'att': 372, 'def': 21}",9,5,0,0,0.8726,d,2020-09-27 11:00:00,0,1,0,1,-0.534131
h,1.9654,1.13528,1.9654,0.37518,"{'att': 151, 'def': 42}","{'att': 458, 'def': 14}",11,3,2,1,1.9977000000000003,w,2020-10-03 19:00:00,1,0,0,3,1.59022
a,2.52438,0.714171,2.52438,0.714171,"{'att': 275, 'def': 21}","{'att': 350, 'def': 40}",5,2,3,1,2.694,w,2020-10-18 15:00:00,1,0,0,3,1.810209
h,0.866315,0.890546,0.866315,0.890546,"{'att': 303, 'def': 23}","{'att': 393, 'def': 29}",3,5,1,1,1.3105,d,2020-10-25 16:00:00,0,1,0,1,-0.024231000000000003
a,2.78036,0.395203,2.02027,0.395203,"{'att': 279, 'def': 20}","{'att': 306, 'def': 39}",6,7,3,0,2.8888999999999996,w,2020-11-01 14:00:00,1,0,0,3,1.625067
h,0.782745,1.87829,0.782745,1.87829,"{'att': 214, 'def': 21}","{'att': 398, 'def': 30}",1,8,1,2,0.5564,l,2020-11-08 16:00:00,0,0,1,0,-1.095545
h,2.40463,0.980084,1.64454,0.980084,"{'att': 211, 'def': 30}","{'att': 390, 'def': 25}",13,4,1,3,2.3876,l,2020-11-29 16:00:00,0,0,1,0,0.6644559999999999
a,0.570809,0.511453,0.570809,0.511453,"{'att': 173, 'def': 26}","{'att': 410, 'def': 32}",2,3,0,0,1.3353,d,2020-12-06 16:00:00,0,1,0,1,0.059355999999999964
h,0.791546,1.2598,0.791546,1.2598,"{'att': 278, 'def': 33}","{'att': 327, 'def': 20}",7,3,0,1,0.9556,l,2020-12-13 12:00:00,0,0,1,0,-0.46825400000000006
a,1.97897,0.994031,1.97897,0.994031,"{'att': 220, 'def': 20}","{'att': 356, 'def': 34}",9,9,2,0,2.1359999999999997,w,2020-12-16 18:00:00,1,0,0,3,0.9849389999999999
h,0.761993,3.1134,0.761993,2.35337,"{'att': 322, 'def': 26}","{'att': 374, 'def': 25}",8,7,1,4,0.1263,l,2020-12-19 20:00:00,0,0,1,0,-1.591377
h,0.656687,2.13449,0.656687,1.3744,"{'att': 358, 'def': 14}","{'att': 292, 'def': 28}",3,11,2,2,0.29269999999999996,d,2020-12-23 18:00:00,0,1,0,1,-0.717713
a,1.37393,1.13297,1.37393,1.13297,"{'att': 239, 'def': 22}","{'att': 348, 'def': 16}",8,6,0,2,1.5494999999999999,l,2021-01-06 18:00:00,0,0,1,0,0.24096000000000006
a,1.48081,1.25558,0.720714,1.25558,"{'att': 211, 'def': 24}","{'att': 316, 'def': 27}",6,1,1,1,1.5352999999999999,d,2021-01-09 20:00:00,0,1,0,1,-0.534866
h,0.469882,3.61303,0.469882,3.61303,"{'att': 293, 'def': 20}","{'att': 280, 'def': 15}",5,4,0,3,0.0461,l,2021-01-17 14:00:00,0,0,1,0,-3.143148
a,0.547266,1.18896,0.547266,1.18896,"{'att': 294, 'def': 26}","{'att': 240, 'def': 24}",4,3,1,0,0.7249000000000001,w,2021-01-23 16:00:00,1,0,0,3,-0.641694
h,0.435831,1.58746,0.435831,1.58746,"{'att': 317, 'def': 17}","{'att': 306, 'def': 29}",5,8,0,1,0.4437,l,2021-01-31 12:00:00,0,0,1,0,-1.151629
a,0.426701,2.7347,0.426701,1.97467,"{'att': 199, 'def': 24}","{'att': 371, 'def': 31}",3,11,1,2,0.0733,l,2021-02-03 20:00:00,0,0,1,0,-1.547969
h,1.30901,0.620413,1.30901,0.620413,"{'att': 271, 'def': 24}","{'att': 328, 'def': 25}",7,4,3,0,1.9455,w,2021-02-07 14:00:00,1,0,0,3,0.688597
a,1.0503,2.47313,1.0503,2.47313,"{'att': 337, 'def': 25}","{'att': 320, 'def': 31}",6,9,1,2,0.4184,l,2021-02-13 16:00:00,0,0,1,0,-1.4228299999999998
a,1.2083,0.648327,1.2083,0.648327,"{'att': 246, 'def': 24}","{'att': 363, 'def': 20}",5,5,2,3,1.8946,l,2021-02-17 20:00:00,0,0,1,0,0.5599729999999999
h,1.04755,1.43338,0.287451,1.43338,"{'att': 177, 'def': 43}","{'att': 354, 'def': 26}",0,2,1,2,0.9594,l,2021-02-21 14:00:00,0,0,1,0,-1.1459290000000002
a,1.6621,0.752041,0.902204,0.752041,"{'att': 289, 'def': 14}","{'att': 170, 'def': 31}",8,5,2,1,2.1617,w,2021-02-26 20:00:00,1,0,0,3,0.15016300000000005
h,1.50673,2.37864,1.50673,2.37864,"{'att': 284, 'def': 34}","{'att': 346, 'def': 18}",11,8,2,1,0.7482,w,2021-03-03 18:00:00,1,0,0,3,-0.87191
a,0.511554,2.3105,0.511554,2.3105,"{'att': 311, 'def': 24}","{'att': 364, 'def': 26}",2,4,1,1,0.20779999999999998,d,2021-03-14 14:00:00,0,1,0,1,-1.7989460000000004
h,2.7496,0.30434,2.7496,0.30434,"{'att': 303, 'def': 18}","{'att': 204, 'def': 27}",11,1,3,0,2.8587000000000002,w,2021-03-20 20:00:00,1,0,0,3,2.44526
a,2.37312,1.36882,1.61316,1.36882,"{'att': 189, 'def': 17}","{'att': 268, 'def': 28}",10,4,2,1,2.1675,w,2021-04-04 13:00:00,1,0,0,3,0.24434
h,0.515644,0.451514,0.515644,0.451514,"{'att': 252, 'def': 24}","{'att': 326, 'def': 26}",5,3,0,0,1.3222,d,2021-04-11 13:00:00,0,1,0,1,0.06412999999999996
a,0.718471,1.41735,0.718471,0.657254,"{'att': 236, 'def': 26}","{'att': 326, 'def': 19}",5,1,0,2,0.6823999999999999,l,2021-04-18 13:00:00,0,0,1,0,0.061216999999999966
h,2.37673,1.73033,2.37673,1.73033,"{'att': 175, 'def': 15}","{'att': 349, 'def': 30}",6,7,3,1,1.8059999999999998,w,2021-04-25 11:00:00,1,0,0,3,0.6463999999999999
a,0.0,0.684625,0.0,0.684625,"{'att': 395, 'def': 20}","{'att': 376, 'def': 23}",1,7,0,2,0.4786,l,2021-05-01 19:00:00,0,0,1,0,-0.684625
h,2.95697,1.02622,2.95697,1.02622,"{'att': 206, 'def': 20}","{'att': 369, 'def': 12}",14,5,3,2,2.6123000000000003,w,2021-05-09 13:00:00,1,0,0,3,1.9307500000000002
h,0.74817,2.26561,0.74817,2.26561,"{'att': 150, 'def': 23}","{'att': 468, 'def': 14}",0,1,0,2,0.2753,l,2021-05-16 19:00:00,0,0,1,0,-1.5174400000000001
a,1.47366,1.32809,1.47366,1.32809,"{'att': 274, 'def': 17}","{'att': 300, 'def': 20}",6,12,3,2,1.5035,w,2021-05-23 19:00:00,1,0,0,3,0.14556999999999998
