h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.326826,3.07214,0.326826,2.31211,"{'att': 261, 'def': 15}","{'att': 251, 'def': 35}",4,2,1,3,0.04870000000000001,l,2020-08-23 13:00:00,0,0,1,0,-1.985284
h,0.227899,1.20894,0.227899,0.448847,"{'att': 407, 'def': 25}","{'att': 268, 'def': 21}",4,1,0,2,0.3312,l,2020-08-29 19:00:00,0,0,1,0,-0.220948
a,1.30205,1.76107,1.30205,1.00098,"{'att': 209, 'def': 23}","{'att': 196, 'def': 20}",4,2,0,2,0.8869,l,2020-09-12 19:00:00,0,0,1,0,0.30106999999999995
h,2.38097,0.487834,2.38097,0.487834,"{'att': 269, 'def': 20}","{'att': 343, 'def': 17}",10,5,1,0,2.6767,w,2020-09-20 13:00:00,1,0,0,3,1.8931360000000002
a,1.40652,1.56306,0.64642,1.56306,"{'att': 322, 'def': 20}","{'att': 209, 'def': 23}",3,6,2,3,1.2474,l,2020-09-27 13:00:00,0,0,1,0,-0.9166399999999999
h,0.844783,1.95685,0.844783,1.95685,"{'att': 344, 'def': 29}","{'att': 235, 'def': 23}",10,8,0,3,0.5178,l,2020-10-04 13:00:00,0,0,1,0,-1.1120670000000001
h,1.92587,4.16498,1.92587,4.16498,"{'att': 204, 'def': 28}","{'att': 196, 'def': 16}",6,8,2,3,0.251,l,2020-10-18 11:00:00,0,0,1,0,-2.23911
a,1.29304,0.732823,0.532947,0.732823,"{'att': 363, 'def': 14}","{'att': 191, 'def': 18}",3,10,3,0,1.9262000000000001,w,2020-10-25 14:00:00,1,0,0,3,-0.19987600000000005
a,1.42258,0.911301,0.66249,0.911301,"{'att': 273, 'def': 16}","{'att': 261, 'def': 29}",4,6,1,2,1.8578000000000001,l,2020-11-01 14:00:00,0,0,1,0,-0.248811
h,0.324201,0.0420124,0.324201,0.0420124,"{'att': 302, 'def': 30}","{'att': 264, 'def': 36}",4,2,0,1,1.5038,l,2020-11-06 20:00:00,0,0,1,0,0.2821886
a,3.39205,2.65546,1.87186,2.65546,"{'att': 321, 'def': 19}","{'att': 209, 'def': 16}",11,7,3,4,1.8493000000000002,l,2020-11-22 14:00:00,0,0,1,0,-0.7836000000000001
h,0.802873,1.99479,0.802873,1.99479,"{'att': 312, 'def': 13}","{'att': 139, 'def': 25}",4,10,1,1,0.4951,d,2020-11-27 20:00:00,0,1,0,1,-1.1919170000000001
a,3.19753,0.633507,1.67734,0.633507,"{'att': 351, 'def': 21}","{'att': 201, 'def': 22}",6,3,4,0,2.8743,w,2020-12-06 14:00:00,1,0,0,3,1.043833
h,0.788845,1.71894,0.788845,0.198811,"{'att': 221, 'def': 27}","{'att': 283, 'def': 22}",7,0,2,2,0.5456000000000001,d,2020-12-13 14:00:00,0,1,0,1,0.5900340000000001
a,0.510882,0.215122,0.510882,0.215122,"{'att': 328, 'def': 23}","{'att': 234, 'def': 21}",2,5,2,0,1.5974999999999997,w,2020-12-16 18:00:00,1,0,0,3,0.2957599999999999
h,1.0111,1.30968,1.0111,1.30968,"{'att': 252, 'def': 23}","{'att': 271, 'def': 19}",1,8,0,2,1.0985,l,2020-12-20 14:00:00,0,0,1,0,-0.29857999999999985
a,0.417249,3.11615,0.417249,3.11615,"{'att': 421, 'def': 16}","{'att': 234, 'def': 24}",1,7,0,4,0.06559999999999999,l,2020-12-23 20:00:00,0,0,1,0,-2.698901
