h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.01966,1.17521,1.01966,1.17521,"{'att': 480, 'def': 16}","{'att': 158, 'def': 19}",5,7,1,1,1.2262,d,2021-08-07 15:00:00,0,1,0,1,-0.15555000000000008
h,2.2991,1.32152,2.2991,1.32152,"{'att': 363, 'def': 18}","{'att': 161, 'def': 26}",2,8,1,1,2.1254,d,2021-08-15 13:00:00,0,1,0,1,0.9775800000000001
h,1.24868,1.51499,1.24868,1.51499,"{'att': 485, 'def': 14}","{'att': 145, 'def': 18}",5,14,2,4,1.1475,l,2021-08-20 19:00:00,0,0,1,0,-0.26631000000000005
a,0.592574,1.22705,0.592574,1.22705,"{'att': 271, 'def': 21}","{'att': 281, 'def': 21}",9,7,1,3,0.6694,l,2021-08-29 13:00:00,0,0,1,0,-0.6344759999999999
h,1.47981,0.998328,0.719713,0.238233,"{'att': 345, 'def': 34}","{'att': 280, 'def': 21}",5,1,1,1,1.7799,d,2021-09-12 13:00:00,0,1,0,1,0.48148
a,0.657165,0.792314,0.657165,0.792314,"{'att': 430, 'def': 38}","{'att': 247, 'def': 13}",8,2,1,1,1.2018,d,2021-09-19 13:00:00,0,1,0,1,-0.13514899999999996
a,0.563562,1.66414,0.563562,1.66414,"{'att': 193, 'def': 12}","{'att': 311, 'def': 23}",2,6,1,3,0.4826,l,2021-09-22 17:00:00,0,0,1,0,-1.100578
h,1.66801,0.668594,0.907917,0.668594,"{'att': 111, 'def': 21}","{'att': 271, 'def': 24}",3,7,1,2,2.2793,l,2021-09-26 13:00:00,0,0,1,0,0.23932299999999995
a,0.31524,4.36782,0.31524,4.36782,"{'att': 510, 'def': 18}","{'att': 183, 'def': 19}",12,13,1,2,0.0070999999999999995,l,2021-10-02 19:00:00,0,0,1,0,-4.05258
h,0.508125,1.03949,0.508125,1.03949,"{'att': 207, 'def': 29}","{'att': 230, 'def': 21}",7,1,1,1,0.8645,d,2021-10-17 13:00:00,0,1,0,1,-0.531365
a,1.14162,1.6786,1.14162,1.6786,"{'att': 334, 'def': 19}","{'att': 160, 'def': 21}",4,9,1,1,0.9436,d,2021-10-23 19:00:00,0,1,0,1,-0.53698
h,1.77116,0.507286,1.77116,0.507286,"{'att': 422, 'def': 17}","{'att': 116, 'def': 31}",2,2,2,0,2.5296,w,2021-10-31 16:00:00,1,0,0,3,1.263874
a,2.34992,1.16964,1.58983,1.16964,"{'att': 200, 'def': 21}","{'att': 261, 'def': 6}",4,4,2,1,2.3869000000000002,w,2021-11-07 14:00:00,1,0,0,3,0.42019000000000006
h,1.44486,1.7144,1.44486,1.7144,"{'att': 367, 'def': 15}","{'att': 200, 'def': 21}",7,7,4,0,1.1474,w,2021-11-21 12:00:00,1,0,0,3,-0.2695399999999999
