h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.618173,1.48651,0.618173,1.48651,"{'att': 334, 'def': 5}","{'att': 280, 'def': 26}",6,12,1,2,0.6406,l,2021-08-07 19:00:00,0,0,1,0,-0.868337
a,0.696005,1.44309,0.696005,1.44309,"{'att': 422, 'def': 13}","{'att': 264, 'def': 20}",1,7,0,2,0.7673,l,2021-08-15 13:00:00,0,0,1,0,-0.747085
a,1.14502,2.95463,1.14502,2.95463,"{'att': 325, 'def': 20}","{'att': 232, 'def': 31}",1,9,1,1,0.3389,d,2021-08-22 13:00:00,0,1,0,1,-1.80961
h,0.589287,1.74073,0.589287,1.74073,"{'att': 293, 'def': 35}","{'att': 241, 'def': 32}",4,6,1,2,0.4454,l,2021-08-29 11:00:00,0,0,1,0,-1.151443
a,0.86724,0.781252,0.86724,0.781252,"{'att': 388, 'def': 23}","{'att': 213, 'def': 32}",3,4,2,0,1.4068,w,2021-09-12 13:00:00,1,0,0,3,0.08598800000000006
h,0.489047,0.249763,0.489047,0.249763,"{'att': 327, 'def': 23}","{'att': 223, 'def': 29}",3,7,1,1,1.4924,d,2021-09-19 13:00:00,0,1,0,1,0.239284
a,0.943884,2.47231,0.943884,2.47231,"{'att': 438, 'def': 20}","{'att': 170, 'def': 16}",5,16,1,3,0.434,l,2021-09-22 19:00:00,0,0,1,0,-1.5284259999999998
h,1.25966,1.28496,1.25966,0.524863,"{'att': 362, 'def': 23}","{'att': 214, 'def': 24}",5,2,1,1,1.3017,d,2021-09-26 13:00:00,0,1,0,1,0.734797
a,1.64687,1.71042,1.64687,0.95032,"{'att': 271, 'def': 23}","{'att': 204, 'def': 34}",9,4,0,2,1.2431999999999999,l,2021-10-03 13:00:00,0,0,1,0,0.69655
h,1.42208,0.513333,1.42208,0.513333,"{'att': 354, 'def': 20}","{'att': 181, 'def': 30}",5,5,1,0,2.1594999999999995,w,2021-10-17 11:00:00,1,0,0,3,0.908747
a,0.675059,1.02175,0.675059,1.02175,"{'att': 248, 'def': 22}","{'att': 230, 'def': 25}",3,4,2,1,1.0045000000000002,w,2021-10-24 13:00:00,1,0,0,3,-0.34669099999999997
h,1.80006,1.51345,1.80006,1.51345,"{'att': 262, 'def': 16}","{'att': 152, 'def': 24}",8,11,2,2,1.5911,d,2021-10-31 14:00:00,0,1,0,1,0.28661000000000003
a,0.537488,3.16809,0.537488,3.16809,"{'att': 393, 'def': 15}","{'att': 263, 'def': 34}",1,9,0,4,0.1111,l,2021-11-05 20:00:00,0,0,1,0,-2.6306019999999997
h,1.19094,1.24032,1.19094,1.24032,"{'att': 262, 'def': 18}","{'att': 238, 'def': 22}",2,3,0,1,1.2886,l,2021-11-21 14:00:00,0,0,1,0,-0.04937999999999998
a,0.145868,1.15323,0.145868,1.15323,"{'att': 269, 'def': 25}","{'att': 251, 'def': 24}",1,4,0,1,0.4212,l,2021-11-28 19:45:00,0,0,1,0,-1.007362
h,1.12178,0.433668,1.12178,0.433668,"{'att': 249, 'def': 24}","{'att': 298, 'def': 22}",4,3,2,0,1.9859,w,2021-12-01 18:00:00,1,0,0,3,0.6881120000000001
a,0.28995,1.79406,0.28995,1.79406,"{'att': 187, 'def': 26}","{'att': 272, 'def': 27}",5,7,1,2,0.2491,l,2021-12-04 18:00:00,0,0,1,0,-1.50411
h,1.26919,1.13993,1.26919,1.13993,"{'att': 160, 'def': 22}","{'att': 275, 'def': 17}",8,4,1,2,1.4128999999999998,l,2021-12-12 14:00:00,0,0,1,0,0.12925999999999993
h,1.05921,0.661085,1.05921,0.661085,"{'att': 159, 'def': 25}","{'att': 364, 'def': 10}",6,1,1,1,1.7201,d,2021-12-22 19:45:00,0,1,0,1,0.39812499999999995
h,0.485256,3.02674,0.485256,2.26678,"{'att': 455, 'def': 25}","{'att': 281, 'def': 31}",3,19,0,1,0.1003,l,2022-01-16 16:05:00,0,0,1,0,-1.7815239999999997
a,0.548481,0.575051,0.548481,0.575051,"{'att': 328, 'def': 21}","{'att': 274, 'def': 22}",6,4,1,0,1.2583,w,2022-01-19 20:00:00,1,0,0,3,-0.026569999999999983
a,1.63676,2.29724,1.63676,0.777251,"{'att': 264, 'def': 29}","{'att': 295, 'def': 24}",4,5,1,2,0.8321000000000001,l,2022-01-23 14:00:00,0,0,1,0,0.859509
h,0.435111,0.566752,0.435111,0.566752,"{'att': 372, 'def': 12}","{'att': 263, 'def': 21}",4,3,0,0,1.0836000000000001,d,2022-02-06 14:00:00,0,1,0,1,-0.131641
a,0.79069,2.76844,0.79069,2.76844,"{'att': 282, 'def': 14}","{'att': 231, 'def': 34}",0,12,1,5,0.22660000000000002,l,2022-02-13 14:00:00,0,0,1,0,-1.97775
a,0.762222,3.26228,0.762222,2.50219,"{'att': 344, 'def': 23}","{'att': 185, 'def': 23}",0,11,1,4,0.07289999999999999,l,2022-02-20 14:00:00,0,0,1,0,-1.7399680000000002
h,2.00647,1.01636,2.00647,0.256262,"{'att': 412, 'def': 25}","{'att': 259, 'def': 17}",5,2,1,1,2.2113,d,2022-02-27 16:05:00,0,1,0,1,1.7502080000000002
a,2.3042,0.884355,0.784009,0.884355,"{'att': 331, 'def': 21}","{'att': 168, 'def': 36}",2,9,2,0,2.488,w,2022-03-06 14:00:00,1,0,0,3,-0.10034600000000005
h,1.18612,0.490874,1.18612,0.490874,"{'att': 309, 'def': 22}","{'att': 233, 'def': 25}",3,5,1,0,2.016,w,2022-03-12 20:00:00,1,0,0,3,0.695246
a,1.06117,1.21267,1.06117,0.452579,"{'att': 353, 'def': 14}","{'att': 181, 'def': 28}",4,6,1,1,1.1444,d,2022-03-18 20:00:00,0,1,0,1,0.6085909999999999
h,1.17209,0.480462,1.17209,0.480462,"{'att': 221, 'def': 20}","{'att': 277, 'def': 23}",1,7,1,0,2.0135,w,2022-04-03 13:00:00,1,0,0,3,0.6916280000000001
a,0.96754,0.441913,0.96754,0.441913,"{'att': 305, 'def': 14}","{'att': 246, 'def': 32}",5,15,1,2,1.8865,l,2022-04-10 13:00:00,0,0,1,0,0.525627
h,1.3267,1.83132,0.566602,1.07122,"{'att': 328, 'def': 27}","{'att': 179, 'def': 29}",4,8,1,1,0.9153,d,2022-04-17 13:00:00,0,1,0,1,-0.504618
h,0.996134,0.411065,0.996134,0.411065,"{'att': 288, 'def': 27}","{'att': 227, 'def': 22}",6,5,0,1,1.8584,l,2022-04-20 17:00:00,0,0,1,0,0.585069
a,0.465645,2.36176,0.465645,2.36176,"{'att': 329, 'def': 21}","{'att': 170, 'def': 33}",2,13,0,1,0.2289,l,2022-04-24 13:00:00,0,0,1,0,-1.896115
h,2.99625,0.598432,0.715966,0.598432,"{'att': 346, 'def': 18}","{'att': 176, 'def': 23}",2,5,3,0,2.8659000000000003,w,2022-05-01 11:00:00,1,0,0,3,0.11753400000000003
a,1.95545,2.00221,1.19535,1.24211,"{'att': 362, 'def': 22}","{'att': 203, 'def': 24}",3,10,2,2,1.3786,d,2022-05-08 18:45:00,0,1,0,1,-0.046760000000000135
h,0.198308,0.85636,0.198308,0.85636,"{'att': 387, 'def': 18}","{'att': 309, 'def': 24}",3,3,1,3,0.6455,l,2022-05-14 19:00:00,0,0,1,0,-0.658052
a,0.597609,1.14699,0.597609,1.14699,"{'att': 332, 'def': 21}","{'att': 254, 'def': 31}",4,8,1,1,0.8523000000000001,d,2022-05-21 19:00:00,0,1,0,1,-0.549381
