h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.01129,2.03815,1.24999,1.27685,"{'att': 272, 'def': 23}","{'att': 240, 'def': 35}",5,15,3,1,1.3373,w,2014-08-31 17:00:00,1,0,0,3,-0.026860000000000106
a,3.77794,1.43019,3.01664,1.43019,"{'att': 248, 'def': 17}","{'att': 300, 'def': 26}",2,8,5,4,2.7525000000000004,w,2014-09-14 19:45:00,1,0,0,3,1.5864500000000001
h,0.281427,1.44109,0.281427,1.44109,"{'att': 310, 'def': 29}","{'att': 214, 'def': 30}",4,11,0,1,0.3653,l,2014-09-20 19:45:00,0,0,1,0,-1.159663
a,0.58264,2.03406,0.58264,2.03406,"{'att': 203, 'def': 41}","{'att': 271, 'def': 28}",4,8,2,2,0.3677,d,2014-09-23 19:45:00,0,1,0,1,-1.4514200000000002
a,0.876708,1.13049,0.876708,1.13049,"{'att': 177, 'def': 23}","{'att': 252, 'def': 22}",5,1,1,1,1.0364,d,2014-09-28 14:00:00,0,1,0,1,-0.25378199999999995
h,1.60095,0.552252,1.60095,0.552252,"{'att': 113, 'def': 24}","{'att': 291, 'def': 42}",6,3,2,0,2.1869,w,2014-10-04 19:45:00,1,0,0,3,1.0486980000000001
a,2.17899,1.52745,2.17899,1.52745,"{'att': 245, 'def': 26}","{'att': 246, 'def': 23}",5,4,3,1,1.9176,w,2014-10-19 14:00:00,1,0,0,3,0.6515400000000002
h,0.857287,0.359683,0.857287,0.359683,"{'att': 280, 'def': 24}","{'att': 261, 'def': 32}",4,5,1,1,1.8144,d,2014-10-26 19:45:00,0,1,0,1,0.49760400000000005
a,0.499723,1.92852,0.499723,1.92852,"{'att': 230, 'def': 25}","{'att': 298, 'def': 25}",8,12,1,1,0.37550000000000006,d,2014-10-29 19:45:00,0,1,0,1,-1.428797
h,1.12159,1.65067,1.12159,1.65067,"{'att': 161, 'def': 27}","{'att': 351, 'def': 25}",4,2,0,2,0.9358,l,2014-11-02 19:45:00,0,0,1,0,-0.52908
a,1.08993,2.20963,0.328629,2.20963,"{'att': 211, 'def': 24}","{'att': 247, 'def': 18}",6,6,2,2,0.4699,d,2014-11-08 19:45:00,0,1,0,1,-1.8810010000000001
h,0.834114,0.75884,0.834114,0.75884,"{'att': 288, 'def': 29}","{'att': 215, 'def': 26}",4,4,1,1,1.3707,d,2014-11-23 19:45:00,0,1,0,1,0.07527400000000006
h,2.4423,0.252527,1.68109,0.252527,"{'att': 214, 'def': 17}","{'att': 332, 'def': 14}",7,2,2,0,2.8489,w,2014-11-30 14:00:00,1,0,0,3,1.428563
a,1.74981,0.900312,1.74981,0.900312,"{'att': 186, 'def': 19}","{'att': 229, 'def': 25}",5,8,0,1,2.0033,l,2014-12-07 14:00:00,0,0,1,0,0.8494980000000001
h,1.44635,1.10808,1.44635,1.10808,"{'att': 257, 'def': 16}","{'att': 288, 'def': 24}",3,6,2,0,1.6383,w,2014-12-14 19:45:00,1,0,0,3,0.33827000000000007
a,0.225749,1.05507,0.225749,1.05507,"{'att': 241, 'def': 26}","{'att': 173, 'def': 35}",3,12,0,0,0.5092,d,2014-12-20 19:45:00,0,1,0,1,-0.829321
h,0.880654,0.626451,0.880654,0.626451,"{'att': 146, 'def': 33}","{'att': 279, 'def': 23}",4,4,1,2,1.6003,l,2015-01-06 14:00:00,0,0,1,0,0.25420300000000007
a,1.03898,2.8576,0.277679,2.8576,"{'att': 284, 'def': 22}","{'att': 145, 'def': 28}",0,11,1,1,0.30269999999999997,d,2015-01-10 19:45:00,0,1,0,1,-2.579921
h,0.657125,0.927306,0.657125,0.927306,"{'att': 135, 'def': 20}","{'att': 273, 'def': 21}",6,8,0,1,1.0574999999999999,l,2015-01-18 14:00:00,0,0,1,0,-0.270181
a,0.104831,2.62355,0.104831,2.62355,"{'att': 263, 'def': 24}","{'att': 254, 'def': 38}",1,10,1,3,0.07669999999999999,l,2015-01-24 19:45:00,0,0,1,0,-2.518719
h,2.0486,1.38244,1.2873,1.38244,"{'att': 217, 'def': 34}","{'att': 294, 'def': 28}",10,5,3,1,1.8459999999999999,w,2015-02-01 19:45:00,1,0,0,3,-0.09513999999999978
a,0.324559,1.99657,0.324559,1.99657,"{'att': 297, 'def': 28}","{'att': 239, 'def': 29}",7,6,1,3,0.2527,l,2015-02-07 19:45:00,0,0,1,0,-1.672011
h,0.905576,1.07186,0.905576,1.07186,"{'att': 323, 'def': 24}","{'att': 230, 'def': 32}",3,4,1,1,1.2474,d,2015-02-15 11:30:00,0,1,0,1,-0.166284
h,1.25473,0.494932,0.493431,0.494932,"{'att': 181, 'def': 29}","{'att': 270, 'def': 34}",7,9,2,0,2.1479,w,2015-02-22 14:00:00,1,0,0,3,-0.0015009999999999746
a,0.961368,0.512856,0.961368,0.512856,"{'att': 183, 'def': 26}","{'att': 315, 'def': 34}",2,4,0,0,1.8015,d,2015-02-28 19:45:00,0,1,0,1,0.448512
h,2.17254,1.55229,1.41128,0.790989,"{'att': 146, 'def': 12}","{'att': 253, 'def': 22}",9,7,2,2,1.8577,d,2015-03-07 19:45:00,0,1,0,1,0.620291
a,0.790418,1.7668,0.790418,1.7668,"{'att': 262, 'def': 23}","{'att': 245, 'def': 22}",3,4,1,2,0.6173,l,2015-03-16 18:00:00,0,0,1,0,-0.976382
h,2.32036,1.08885,1.55906,1.08885,"{'att': 171, 'def': 26}","{'att': 210, 'def': 26}",6,8,3,1,2.3417000000000003,w,2015-03-21 19:45:00,1,0,0,3,0.4702099999999998
a,1.72116,1.82986,1.72116,1.0686,"{'att': 216, 'def': 24}","{'att': 191, 'def': 21}",3,2,2,1,1.2306,w,2015-04-04 14:00:00,1,0,0,3,0.65256
h,1.23075,0.557741,1.23075,0.557741,"{'att': 235, 'def': 32}","{'att': 300, 'def': 26}",8,3,1,1,1.8996999999999997,d,2015-04-12 19:45:00,0,1,0,1,0.673009
a,0.171709,1.49986,0.171709,1.49986,"{'att': 333, 'def': 27}","{'att': 262, 'def': 34}",0,8,0,0,0.2605,d,2015-04-19 19:45:00,0,1,0,1,-1.328151
a,0.52334,1.42973,0.52334,1.42973,"{'att': 137, 'def': 17}","{'att': 245, 'def': 41}",1,3,1,2,0.5608,l,2015-04-25 17:00:00,0,0,1,0,-0.9063899999999999
h,0.96641,3.01431,0.96641,2.25301,"{'att': 163, 'def': 22}","{'att': 307, 'def': 26}",7,9,1,3,0.2218,l,2015-04-29 19:45:00,0,0,1,0,-1.2866000000000002
a,0.112051,3.13346,0.112051,2.37217,"{'att': 298, 'def': 11}","{'att': 147, 'def': 32}",0,26,0,3,0.010799999999999999,l,2015-05-03 19:45:00,0,0,1,0,-2.260119
h,2.40295,1.47723,2.40295,0.715933,"{'att': 297, 'def': 19}","{'att': 187, 'def': 20}",2,7,2,1,2.1168,w,2015-05-09 19:45:00,1,0,0,3,1.687017
a,0.727682,1.4837,0.727682,1.4837,"{'att': 257, 'def': 27}","{'att': 299, 'def': 27}",1,8,2,3,0.6863000000000001,l,2015-05-17 11:30:00,0,0,1,0,-0.756018
h,1.92705,1.01795,1.16575,1.01795,"{'att': 274, 'def': 16}","{'att': 324, 'def': 18}",4,4,3,0,2.0972000000000004,w,2015-05-24 19:45:00,1,0,0,3,0.14780000000000015
a,2.25291,1.26851,1.49161,1.26851,"{'att': 184, 'def': 26}","{'att': 286, 'def': 32}",5,6,3,1,2.1681,w,2015-05-30 19:45:00,1,0,0,3,0.22310000000000008
