h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.31374,1.09973,1.31374,0.338427,"{'att': 204, 'def': 23}","{'att': 241, 'def': 18}",5,5,0,0,1.5054,d,2014-08-31 19:45:00,0,1,0,1,0.9753129999999999
h,3.96571,0.483421,3.96571,0.483421,"{'att': 164, 'def': 35}","{'att': 339, 'def': 34}",6,4,7,0,2.9571,w,2014-09-14 14:00:00,1,0,0,3,3.482289
a,0.477134,0.584764,0.477134,0.584764,"{'att': 142, 'def': 13}","{'att': 340, 'def': 18}",2,2,1,1,1.1735,d,2014-09-21 19:45:00,0,1,0,1,-0.10762999999999995
h,1.81087,0.421513,1.04957,0.421513,"{'att': 267, 'def': 22}","{'att': 217, 'def': 23}",4,4,2,0,2.5046,w,2014-09-24 19:45:00,1,0,0,3,0.6280569999999999
h,1.30307,3.32315,1.30307,2.56185,"{'att': 278, 'def': 28}","{'att': 233, 'def': 22}",9,11,1,4,0.313,l,2014-09-28 14:00:00,0,0,1,0,-1.2587800000000002
a,0.617229,2.12016,0.617229,2.12016,"{'att': 224, 'def': 28}","{'att': 277, 'def': 24}",7,3,0,3,0.2845,l,2014-10-05 19:45:00,0,0,1,0,-1.5029309999999998
h,1.55031,1.09733,1.55031,1.09733,"{'att': 209, 'def': 23}","{'att': 261, 'def': 25}",6,4,2,2,1.7434999999999998,d,2014-10-19 19:45:00,0,1,0,1,0.45298000000000016
a,2.06734,0.645724,1.30604,0.645724,"{'att': 147, 'def': 26}","{'att': 339, 'def': 31}",4,3,1,0,2.4828,w,2014-10-26 17:00:00,1,0,0,3,0.6603160000000001
h,2.31775,0.529139,1.55645,0.529139,"{'att': 181, 'def': 27}","{'att': 325, 'def': 32}",10,2,1,0,2.629,w,2014-10-29 19:45:00,1,0,0,3,1.0273109999999999
a,0.525,1.67779,0.525,1.67779,"{'att': 106, 'def': 27}","{'att': 317, 'def': 9}",13,5,0,2,0.38580000000000003,l,2014-11-01 19:45:00,0,0,1,0,-1.15279
h,2.06381,2.15466,2.06381,1.36668,"{'att': 151, 'def': 17}","{'att': 222, 'def': 16}",8,9,2,2,1.2916,d,2014-11-09 19:45:00,0,1,0,1,0.6971300000000002
a,0.75884,0.834114,0.75884,0.834114,"{'att': 215, 'def': 26}","{'att': 288, 'def': 29}",4,4,1,1,1.2699,d,2014-11-23 19:45:00,0,1,0,1,-0.07527400000000006
a,0.722743,1.97997,0.722743,1.97997,"{'att': 242, 'def': 29}","{'att': 233, 'def': 25}",4,6,2,4,0.49040000000000006,l,2014-11-30 19:45:00,0,0,1,0,-1.2572269999999999
h,1.36914,1.49489,1.36914,1.49489,"{'att': 117, 'def': 31}","{'att': 246, 'def': 28}",11,3,1,2,1.2606,l,2014-12-07 19:45:00,0,0,1,0,-0.12575000000000003
a,1.3205,0.826912,1.3205,0.826912,"{'att': 86, 'def': 34}","{'att': 274, 'def': 22}",5,3,2,0,1.7697,w,2014-12-15 20:00:00,1,0,0,3,0.493588
h,1.06596,0.262502,1.06596,0.262502,"{'att': 204, 'def': 32}","{'att': 365, 'def': 24}",10,3,2,2,2.1805,d,2014-12-21 19:45:00,0,1,0,1,0.803458
a,1.06956,1.64258,1.06956,1.64258,"{'att': 262, 'def': 33}","{'att': 223, 'def': 41}",4,11,1,1,0.8246,d,2015-01-06 20:00:00,0,1,0,1,-0.5730199999999999
h,2.42963,1.6443,2.42963,1.6443,"{'att': 217, 'def': 34}","{'att': 379, 'def': 29}",6,2,3,1,1.9668999999999999,w,2015-01-11 11:30:00,1,0,0,3,0.7853299999999999
a,0.956836,0.752011,0.956836,0.752011,"{'att': 270, 'def': 35}","{'att': 182, 'def': 32}",3,9,0,0,1.5763,d,2015-01-17 17:00:00,0,1,0,1,0.20482500000000003
h,0.47051,1.07197,0.47051,1.07197,"{'att': 159, 'def': 35}","{'att': 314, 'def': 16}",6,7,0,1,0.7159,l,2015-01-25 14:00:00,0,0,1,0,-0.6014600000000001
a,1.30376,1.32624,1.30376,0.564983,"{'att': 99, 'def': 25}","{'att': 256, 'def': 38}",6,3,1,3,1.3231000000000002,l,2015-02-01 11:30:00,0,0,1,0,0.738777
h,0.855097,1.03268,0.855097,1.03268,"{'att': 222, 'def': 45}","{'att': 230, 'def': 25}",7,4,3,0,1.1105,w,2015-02-08 19:45:00,1,0,0,3,-0.17758300000000005
a,1.96151,0.73064,1.20021,0.73064,"{'att': 140, 'def': 24}","{'att': 349, 'def': 16}",7,4,4,1,2.3602,w,2015-02-15 14:00:00,1,0,0,3,0.46957000000000004
a,2.42218,1.35194,2.42218,1.35194,"{'att': 169, 'def': 46}","{'att': 309, 'def': 34}",9,5,2,1,2.1226,w,2015-02-23 20:00:00,1,0,0,3,1.07024
h,0.61408,0.687722,0.61408,0.687722,"{'att': 212, 'def': 29}","{'att': 371, 'def': 18}",11,2,0,1,1.2046000000000001,l,2015-03-01 17:00:00,0,0,1,0,-0.0736420000000001
a,1.48015,1.46206,0.718854,1.46206,"{'att': 149, 'def': 26}","{'att': 343, 'def': 34}",6,5,2,2,1.3799000000000001,d,2015-03-08 19:45:00,0,1,0,1,-0.7432059999999999
h,1.24118,0.306265,1.24118,0.306265,"{'att': 138, 'def': 26}","{'att': 375, 'def': 31}",11,4,1,1,2.1875,d,2015-03-15 19:45:00,0,1,0,1,0.9349149999999999
a,0.404639,1.4172,0.404639,1.4172,"{'att': 109, 'def': 34}","{'att': 310, 'def': 15}",11,5,0,1,0.48019999999999996,l,2015-03-22 19:45:00,0,0,1,0,-1.012561
h,1.05665,0.542964,1.05665,0.542964,"{'att': 170, 'def': 34}","{'att': 376, 'def': 17}",9,4,1,1,1.8001,d,2015-04-04 14:00:00,0,1,0,1,0.5136860000000001
a,2.38387,1.46945,2.38387,0.708156,"{'att': 171, 'def': 27}","{'att': 343, 'def': 26}",3,6,3,0,2.0763,w,2015-04-11 19:45:00,1,0,0,3,1.675714
h,1.49986,0.171709,1.49986,0.171709,"{'att': 262, 'def': 34}","{'att': 333, 'def': 27}",8,0,0,0,2.5528,d,2015-04-19 19:45:00,0,1,0,1,1.328151
h,1.31242,0.47498,1.31242,0.47498,"{'att': 227, 'def': 35}","{'att': 216, 'def': 27}",7,4,2,1,2.1019,w,2015-04-25 19:45:00,1,0,0,3,0.83744
a,2.26596,0.593611,1.50466,0.593611,"{'att': 131, 'def': 34}","{'att': 328, 'def': 22}",17,2,2,1,2.5791999999999997,w,2015-04-28 19:45:00,1,0,0,3,0.9110490000000001
h,0.895308,0.859563,0.895308,0.859563,"{'att': 115, 'def': 22}","{'att': 336, 'def': 15}",10,1,0,0,1.3372000000000002,d,2015-05-03 14:00:00,0,1,0,1,0.03574500000000003
a,2.23366,1.30251,1.47237,1.30251,"{'att': 143, 'def': 22}","{'att': 377, 'def': 19}",5,6,2,1,2.0547,w,2015-05-10 19:45:00,1,0,0,3,0.1698599999999999
h,1.95157,1.81655,1.95157,1.05525,"{'att': 188, 'def': 32}","{'att': 317, 'def': 12}",16,2,1,2,1.4544,l,2015-05-16 17:00:00,0,0,1,0,0.89632
a,2.04042,2.08755,2.04042,2.08755,"{'att': 130, 'def': 19}","{'att': 178, 'def': 25}",4,8,2,3,1.3437,l,2015-05-23 19:45:00,0,0,1,0,-0.04712999999999967
h,3.0703,2.04109,3.0703,2.04109,"{'att': 239, 'def': 37}","{'att': 328, 'def': 28}",23,6,4,3,2.001,w,2015-05-31 19:45:00,1,0,0,3,1.02921
