h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.934821,1.04646,0.934821,1.04646,"{'att': 176, 'def': 18}","{'att': 313, 'def': 63}",2,4,0,1,1.2547000000000001,l,2016-08-21 22:45:00,0,0,1,0,-0.11163899999999993
a,1.18302,0.912097,1.18302,0.912097,"{'att': 145, 'def': 29}","{'att': 281, 'def': 34}",2,3,0,2,1.5825,l,2016-08-28 22:45:00,0,0,1,0,0.2709229999999999
h,0.636904,0.521587,0.636904,0.521587,"{'att': 225, 'def': 32}","{'att': 254, 'def': 24}",2,4,2,1,1.3903999999999999,w,2016-09-12 22:45:00,1,0,0,3,0.115317
a,0.184549,0.718392,0.184549,0.718392,"{'att': 207, 'def': 20}","{'att': 289, 'def': 39}",4,5,0,0,0.6757,d,2016-09-18 17:00:00,0,1,0,1,-0.5338430000000001
h,0.437207,1.89478,0.437207,1.89478,"{'att': 249, 'def': 26}","{'att': 313, 'def': 29}",4,5,0,2,0.3306,l,2016-09-21 22:45:00,0,0,1,0,-1.457573
a,1.03563,1.91368,1.03563,1.91368,"{'att': 184, 'def': 20}","{'att': 272, 'def': 30}",5,13,0,2,0.7148,l,2016-09-25 17:00:00,0,0,1,0,-0.87805
h,0.310516,4.15533,0.310516,4.15533,"{'att': 316, 'def': 36}","{'att': 195, 'def': 40}",2,6,0,3,0.0146,l,2016-10-02 14:30:00,0,0,1,0,-3.8448140000000004
a,0.0947143,0.287766,0.0947143,0.287766,"{'att': 196, 'def': 29}","{'att': 318, 'def': 27}",6,7,0,0,0.8995,d,2016-10-16 17:00:00,0,1,0,1,-0.19305170000000002
h,0.445783,1.014,0.445783,1.014,"{'att': 199, 'def': 32}","{'att': 228, 'def': 39}",2,3,0,0,0.7707999999999999,d,2016-10-23 17:00:00,0,1,0,1,-0.568217
a,0.29497,3.89995,0.29497,3.89995,"{'att': 351, 'def': 14}","{'att': 218, 'def': 37}",5,7,0,2,0.0161,l,2016-10-26 22:45:00,0,0,1,0,-3.60498
h,0.326558,1.44104,0.326558,1.44104,"{'att': 294, 'def': 28}","{'att': 155, 'def': 30}",4,15,0,0,0.4716,d,2016-10-30 18:00:00,0,1,0,1,-1.1144820000000002
a,2.50908,2.53565,2.50908,2.53565,"{'att': 266, 'def': 25}","{'att': 247, 'def': 39}",9,13,4,0,1.3751,w,2016-11-06 15:30:00,1,0,0,3,-0.026569999999999983
h,0.773104,3.89131,0.773104,3.13001,"{'att': 315, 'def': 32}","{'att': 283, 'def': 24}",8,4,0,4,0.07819999999999999,l,2016-11-20 18:00:00,0,0,1,0,-2.356906
h,1.52699,0.781264,1.52699,0.781264,"{'att': 423, 'def': 29}","{'att': 224, 'def': 21}",11,7,1,4,1.9837000000000002,l,2016-11-26 23:45:00,0,0,1,0,0.7457260000000001
a,1.20881,2.75094,1.20881,1.22834,"{'att': 180, 'def': 29}","{'att': 311, 'def': 37}",13,4,0,3,0.3268,l,2016-12-04 18:00:00,0,0,1,0,-0.019530000000000047
a,0.0997513,1.3582,0.0997513,1.3582,"{'att': 225, 'def': 22}","{'att': 249, 'def': 46}",0,5,0,0,0.31479999999999997,d,2016-12-11 18:00:00,0,1,0,1,-1.2584487
h,0.784596,1.43479,0.784596,0.663934,"{'att': 291, 'def': 34}","{'att': 195, 'def': 28}",3,6,2,0,0.7012,w,2016-12-17 18:00:00,1,0,0,3,0.12066199999999994
a,0.108162,3.38037,0.108162,3.38037,"{'att': 306, 'def': 16}","{'att': 182, 'def': 37}",1,13,1,2,0.0242,l,2016-12-20 23:45:00,0,0,1,0,-3.272208
h,0.901728,0.516544,0.140509,0.516544,"{'att': 217, 'def': 22}","{'att': 273, 'def': 32}",1,10,1,0,1.8437,w,2017-01-07 21:00:00,1,0,0,3,-0.376035
a,1.32527,1.14331,0.478457,1.14331,"{'att': 188, 'def': 20}","{'att': 170, 'def': 27}",5,6,0,0,1.5192,d,2017-01-15 18:00:00,0,1,0,1,-0.664853
h,0.315683,0.938473,0.315683,0.938473,"{'att': 210, 'def': 21}","{'att': 278, 'def': 36}",3,6,1,0,0.6641,w,2017-01-22 17:00:00,1,0,0,3,-0.62279
a,0.208541,2.47879,0.208541,1.71749,"{'att': 165, 'def': 22}","{'att': 329, 'def': 31}",5,7,1,4,0.0833,l,2017-01-29 14:00:00,0,0,1,0,-1.5089489999999999
h,1.95329,1.93049,1.95329,1.16919,"{'att': 214, 'def': 22}","{'att': 170, 'def': 29}",3,3,1,1,1.3624,d,2017-02-05 14:00:00,0,1,0,1,0.7841
a,0.435897,3.08595,0.435897,3.08595,"{'att': 225, 'def': 22}","{'att': 275, 'def': 34}",4,14,0,2,0.058399999999999994,l,2017-02-12 14:00:00,0,0,1,0,-2.6500529999999998
h,0.271107,1.63167,0.271107,1.63167,"{'att': 253, 'def': 21}","{'att': 283, 'def': 33}",2,13,1,2,0.3288,l,2017-02-18 19:45:00,0,0,1,0,-1.360563
a,0.206008,2.36639,0.206008,2.36639,"{'att': 346, 'def': 31}","{'att': 305, 'def': 19}",2,14,0,2,0.11679999999999999,l,2017-02-25 19:45:00,0,0,1,0,-2.160382
h,0.396952,0.620617,0.396952,0.620617,"{'att': 185, 'def': 19}","{'att': 306, 'def': 23}",8,3,0,2,1.0430000000000001,l,2017-03-05 14:00:00,0,0,1,0,-0.22366499999999995
a,0.526966,2.37494,0.526966,2.37494,"{'att': 273, 'def': 27}","{'att': 272, 'def': 24}",5,3,0,4,0.1411,l,2017-03-12 14:00:00,0,0,1,0,-1.847974
h,1.3559,2.03736,0.594602,0.504887,"{'att': 394, 'def': 33}","{'att': 225, 'def': 20}",4,5,2,3,0.758,l,2017-03-19 11:30:00,0,0,1,0,0.08971499999999999
a,0.50901,1.32527,0.50901,1.32527,"{'att': 283, 'def': 16}","{'att': 224, 'def': 33}",5,7,0,2,0.66,l,2017-04-01 19:45:00,0,0,1,0,-0.81626
h,0.957,1.9265,0.957,1.9265,"{'att': 152, 'def': 34}","{'att': 248, 'def': 22}",6,12,1,1,0.618,d,2017-04-08 14:00:00,0,1,0,1,-0.9695000000000001
a,2.07354,1.18615,1.31224,1.18615,"{'att': 327, 'def': 20}","{'att': 166, 'def': 21}",4,7,2,1,2.1017,w,2017-04-15 14:00:00,1,0,0,3,0.12609000000000004
a,1.84101,2.44994,1.84101,1.68864,"{'att': 276, 'def': 21}","{'att': 158, 'def': 26}",4,12,2,1,1.0082,w,2017-04-23 14:00:00,1,0,0,3,0.15237000000000012
h,2.32036,1.89742,1.55907,1.89742,"{'att': 171, 'def': 34}","{'att': 284, 'def': 24}",8,4,1,3,1.6542000000000001,l,2017-04-30 14:00:00,0,0,1,0,-0.33835000000000015
h,2.15034,0.128693,2.15034,0.128693,"{'att': 318, 'def': 44}","{'att': 202, 'def': 29}",7,1,3,1,2.8139,w,2017-05-07 14:00:00,1,0,0,3,2.0216469999999997
a,1.76599,2.54479,1.00469,2.54479,"{'att': 261, 'def': 37}","{'att': 250, 'def': 23}",5,12,2,3,0.8237000000000001,l,2017-05-14 14:00:00,0,0,1,0,-1.5400999999999998
