h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.05409,2.84573,1.05409,2.84573,"{'att': 402, 'def': 22}","{'att': 198, 'def': 30}",3,11,1,2,0.2611,l,2017-08-20 19:45:00,0,0,1,0,-1.7916400000000001
h,0.798588,1.79492,0.798588,1.79492,"{'att': 270, 'def': 30}","{'att': 220, 'def': 19}",11,1,0,1,0.5646,l,2017-08-26 17:00:00,0,0,1,0,-0.9963320000000001
h,1.20053,0.999531,1.20053,0.999531,"{'att': 298, 'def': 25}","{'att': 138, 'def': 24}",4,10,0,1,1.5228000000000002,l,2017-09-10 17:00:00,0,0,1,0,0.20099900000000015
a,0.211585,5.46073,0.211585,3.93814,"{'att': 569, 'def': 7}","{'att': 245, 'def': 31}",1,13,0,6,0.0018,l,2017-09-17 14:00:00,0,0,1,0,-3.7265550000000003
h,0.717607,2.23834,0.717607,2.23834,"{'att': 350, 'def': 18}","{'att': 219, 'def': 36}",5,10,0,4,0.35019999999999996,l,2017-09-20 17:00:00,0,0,1,0,-1.520733
a,1.97551,1.48495,1.21421,1.48495,"{'att': 189, 'def': 20}","{'att': 224, 'def': 31}",3,4,0,2,1.7546999999999997,l,2017-09-24 14:00:00,0,0,1,0,-0.27074
h,1.28824,1.95792,1.28824,1.95792,"{'att': 331, 'def': 16}","{'att': 226, 'def': 20}",2,11,1,2,0.9188,l,2017-10-01 14:00:00,0,0,1,0,-0.66968
a,0.262024,1.23201,0.262024,1.23201,"{'att': 273, 'def': 20}","{'att': 229, 'def': 30}",3,3,0,1,0.46299999999999997,l,2017-10-16 19:45:00,0,0,1,0,-0.969986
h,0.182665,2.49371,0.182665,1.73241,"{'att': 269, 'def': 32}","{'att': 277, 'def': 30}",1,9,0,3,0.0685,l,2017-10-22 14:00:00,0,0,1,0,-1.549745
a,1.30579,1.89299,0.544493,1.13169,"{'att': 216, 'def': 22}","{'att': 388, 'def': 34}",1,2,1,2,0.8728,l,2017-10-25 19:45:00,0,0,1,0,-0.5871970000000001
h,0.603107,2.92387,0.603107,2.92387,"{'att': 338, 'def': 17}","{'att': 309, 'def': 23}",3,11,1,5,0.1049,l,2017-10-29 11:30:00,0,0,1,0,-2.320763
a,0.114939,3.09066,0.114939,3.09066,"{'att': 295, 'def': 11}","{'att': 204, 'def': 22}",0,10,1,2,0.045700000000000005,l,2017-11-05 14:00:00,0,0,1,0,-2.975721
h,1.11066,2.70254,1.11066,1.94124,"{'att': 199, 'def': 23}","{'att': 245, 'def': 19}",4,3,1,2,0.3764,l,2017-11-19 14:00:00,0,0,1,0,-0.8305800000000001
a,0.501253,1.56055,0.501253,1.56055,"{'att': 258, 'def': 16}","{'att': 112, 'def': 23}",2,16,0,1,0.5337000000000001,l,2017-11-27 19:45:00,0,0,1,0,-1.0592970000000002
h,1.20398,1.74779,1.20398,1.74779,"{'att': 252, 'def': 16}","{'att': 210, 'def': 16}",11,9,2,2,0.903,d,2017-12-03 11:30:00,0,1,0,1,-0.5438099999999999
a,1.52222,0.455472,1.52222,0.455472,"{'att': 290, 'def': 21}","{'att': 270, 'def': 29}",8,3,0,2,2.2681000000000004,l,2017-12-10 14:00:00,0,0,1,0,1.066748
h,1.08334,2.32753,1.08334,2.32753,"{'att': 252, 'def': 23}","{'att': 262, 'def': 26}",5,11,1,2,0.4808,l,2017-12-17 17:00:00,0,0,1,0,-1.24419
a,0.861192,3.28348,0.861192,2.52222,"{'att': 213, 'def': 22}","{'att': 146, 'def': 22}",4,13,0,1,0.1499,l,2017-12-23 14:00:00,0,0,1,0,-1.661028
h,0.992802,0.938785,0.992802,0.938785,"{'att': 297, 'def': 21}","{'att': 166, 'def': 31}",2,9,1,0,1.3841,w,2017-12-30 14:00:00,1,0,0,3,0.05401699999999998
h,1.64696,1.02149,1.64696,1.02149,"{'att': 204, 'def': 18}","{'att': 214, 'def': 27}",5,6,3,2,1.8323,w,2018-01-06 14:00:00,1,0,0,3,0.62547
a,0.691554,2.22876,0.691554,2.22876,"{'att': 213, 'def': 20}","{'att': 305, 'def': 34}",2,4,0,3,0.2599,l,2018-01-21 14:00:00,0,0,1,0,-1.5372059999999999
a,0.241133,2.29504,0.241133,2.29504,"{'att': 389, 'def': 20}","{'att': 236, 'def': 21}",1,4,0,3,0.1369,l,2018-01-28 14:00:00,0,0,1,0,-2.053907
h,1.06833,2.23408,1.06833,2.23408,"{'att': 468, 'def': 21}","{'att': 327, 'def': 34}",3,14,0,2,0.5741,l,2018-02-04 19:45:00,0,0,1,0,-1.16575
a,0.711119,2.51785,0.711119,1.75655,"{'att': 291, 'def': 15}","{'att': 259, 'def': 32}",7,4,2,5,0.2453,l,2018-02-11 19:45:00,0,0,1,0,-1.0454310000000002
h,1.29928,2.14309,1.29928,2.14309,"{'att': 131, 'def': 26}","{'att': 279, 'def': 29}",2,5,3,2,0.7115,w,2018-02-18 14:00:00,1,0,0,3,-0.84381
a,0.397877,0.8584,0.397877,0.8584,"{'att': 334, 'def': 25}","{'att': 310, 'def': 38}",3,5,0,2,0.8229,l,2018-02-24 19:45:00,0,0,1,0,-0.46052300000000007
a,1.20938,1.72033,1.20938,1.72033,"{'att': 185, 'def': 15}","{'att': 331, 'def': 31}",5,8,0,1,0.9813,l,2018-03-11 11:30:00,0,0,1,0,-0.51095
h,1.7768,1.76932,1.7768,1.00802,"{'att': 190, 'def': 19}","{'att': 313, 'def': 29}",4,10,1,2,1.3592999999999997,l,2018-03-18 14:00:00,0,0,1,0,0.76878
a,0.256318,3.7189,0.256318,2.9576,"{'att': 239, 'def': 10}","{'att': 152, 'def': 29}",3,13,2,6,0.0308,l,2018-03-31 14:00:00,0,0,1,0,-2.701282
h,2.85956,0.331417,2.85956,0.331417,"{'att': 139, 'def': 24}","{'att': 316, 'def': 27}",9,3,3,0,2.8482,w,2018-04-04 16:00:00,1,0,0,3,2.528143
h,1.87275,2.4609,1.87275,0.938386,"{'att': 357, 'def': 14}","{'att': 240, 'def': 25}",1,3,2,4,0.9032,l,2018-04-07 13:00:00,0,0,1,0,0.9343639999999999
a,1.46303,1.34736,1.46303,1.34736,"{'att': 159, 'def': 30}","{'att': 389, 'def': 33}",4,8,2,2,1.4729,d,2018-04-15 13:00:00,0,1,0,1,0.11567000000000016
h,0.744028,3.74372,0.744028,2.98259,"{'att': 182, 'def': 20}","{'att': 279, 'def': 39}",2,10,0,3,0.07550000000000001,l,2018-04-18 16:00:00,0,0,1,0,-2.238562
a,0.449416,1.07233,0.449416,1.07233,"{'att': 304, 'def': 8}","{'att': 218, 'def': 35}",1,9,1,0,0.7901,w,2018-04-21 18:45:00,1,0,0,3,-0.622914
h,1.67032,2.76558,0.909017,2.76558,"{'att': 246, 'def': 18}","{'att': 205, 'def': 35}",4,7,3,3,0.6138999999999999,d,2018-04-29 13:00:00,0,1,0,1,-1.856563
a,0.345937,1.83046,0.345937,1.06916,"{'att': 108, 'def': 26}","{'att': 352, 'def': 19}",4,2,0,2,0.21459999999999999,l,2018-05-06 14:00:00,0,0,1,0,-0.7232230000000002
h,1.85241,1.07966,1.85241,1.07966,"{'att': 225, 'def': 36}","{'att': 340, 'def': 26}",7,4,1,0,2.0027999999999997,w,2018-05-12 17:00:00,1,0,0,3,0.7727499999999998
a,0.663029,0.744593,0.663029,0.744593,"{'att': 96, 'def': 20}","{'att': 454, 'def': 31}",4,1,0,1,1.1914,l,2018-05-20 14:00:00,0,0,1,0,-0.08156399999999997
