h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.625722,0.757926,0.625722,0.757926,"{'att': 251, 'def': 11}","{'att': 270, 'def': 39}",2,6,0,0,1.1805,d,2017-08-20 19:45:00,0,1,0,1,-0.132204
h,1.63964,1.11091,1.63964,0.34961,"{'att': 253, 'def': 20}","{'att': 250, 'def': 23}",6,3,3,2,1.7997,w,2017-08-27 19:45:00,1,0,0,3,1.29003
a,0.375089,2.08048,0.375089,1.31918,"{'att': 327, 'def': 12}","{'att': 259, 'def': 27}",4,10,0,2,0.22870000000000001,l,2017-09-10 11:30:00,0,0,1,0,-0.944091
h,0.551736,1.09462,0.551736,1.09462,"{'att': 245, 'def': 21}","{'att': 226, 'def': 24}",9,7,0,2,0.8428000000000001,l,2017-09-17 14:00:00,0,0,1,0,-0.5428839999999999
a,0.158147,2.13498,0.158147,0.612387,"{'att': 314, 'def': 15}","{'att': 225, 'def': 34}",1,3,0,2,0.08109999999999999,l,2017-09-20 19:45:00,0,0,1,0,-0.45424
h,0.263465,1.90566,0.263465,1.90566,"{'att': 302, 'def': 14}","{'att': 311, 'def': 26}",2,8,2,3,0.2442,l,2017-09-23 17:00:00,0,0,1,0,-1.6421949999999998
h,2.51356,0.539744,2.51356,0.539744,"{'att': 145, 'def': 26}","{'att': 290, 'def': 24}",11,4,1,1,2.8246,d,2017-10-01 14:00:00,0,1,0,1,1.973816
a,0.382431,1.93187,0.382431,1.93187,"{'att': 225, 'def': 24}","{'att': 253, 'def': 26}",3,6,1,2,0.2117,l,2017-10-15 14:00:00,0,0,1,0,-1.549439
h,0.481741,2.52212,0.481741,1.76082,"{'att': 169, 'def': 16}","{'att': 186, 'def': 21}",5,10,0,1,0.1565,l,2017-10-22 14:00:00,0,0,1,0,-1.279079
a,0.910025,1.25151,0.910025,1.25151,"{'att': 426, 'def': 17}","{'att': 187, 'def': 23}",1,9,1,4,1.0822,l,2017-10-25 19:45:00,0,0,1,0,-0.3414849999999999
h,0.334111,1.32901,0.334111,1.32901,"{'att': 309, 'def': 13}","{'att': 131, 'def': 24}",4,5,1,0,0.42819999999999997,w,2017-10-29 14:00:00,1,0,0,3,-0.994899
a,0.898073,0.823876,0.898073,0.823876,"{'att': 280, 'def': 25}","{'att': 198, 'def': 10}",4,5,1,1,1.3979,d,2017-11-05 17:00:00,0,1,0,1,0.07419699999999996
h,1.06473,1.22467,1.06473,1.22467,"{'att': 315, 'def': 12}","{'att': 117, 'def': 35}",3,5,1,1,1.2042000000000002,d,2017-11-19 14:00:00,0,1,0,1,-0.15993999999999997
a,0.857429,1.69642,0.857429,1.69642,"{'att': 279, 'def': 21}","{'att': 191, 'def': 34}",3,5,1,2,0.7369,l,2017-11-25 17:00:00,0,0,1,0,-0.838991
a,1.32164,4.70632,0.424881,4.70632,"{'att': 379, 'def': 12}","{'att': 107, 'def': 24}",0,15,1,3,0.060200000000000004,l,2017-12-01 17:30:00,0,0,1,0,-4.281439
h,2.09068,2.31724,1.32938,1.55594,"{'att': 181, 'def': 17}","{'att': 240, 'def': 17}",6,3,2,2,1.1801,d,2017-12-10 14:00:00,0,1,0,1,-0.2265600000000001
a,2.32753,1.08334,2.32753,1.08334,"{'att': 262, 'def': 26}","{'att': 252, 'def': 23}",11,5,2,1,2.3261,w,2017-12-17 17:00:00,1,0,0,3,1.24419
h,1.27858,1.23896,0.517277,1.23896,"{'att': 192, 'def': 24}","{'att': 149, 'def': 24}",6,7,2,2,1.375,d,2017-12-23 14:00:00,0,1,0,1,-0.7216830000000001
a,0.568105,2.56298,0.568105,1.80172,"{'att': 272, 'def': 17}","{'att': 164, 'def': 27}",4,14,0,2,0.19870000000000002,l,2017-12-30 14:00:00,0,0,1,0,-1.233615
h,2.23468,2.24817,1.47343,2.24817,"{'att': 230, 'def': 28}","{'att': 263, 'def': 22}",6,9,2,5,1.3534000000000002,l,2018-01-06 14:00:00,0,0,1,0,-0.77474
a,1.10894,0.39374,1.10894,0.39374,"{'att': 223, 'def': 29}","{'att': 224, 'def': 24}",2,7,1,1,2.1215,d,2018-01-21 14:00:00,0,1,0,1,0.7152000000000001
h,1.27704,0.59501,1.27704,0.59501,"{'att': 291, 'def': 23}","{'att': 229, 'def': 36}",3,10,1,1,1.9887,d,2018-01-28 14:00:00,0,1,0,1,0.6820299999999999
a,0.716004,1.66604,0.716004,1.66604,"{'att': 211, 'def': 21}","{'att': 214, 'def': 35}",0,8,0,2,0.5489999999999999,l,2018-02-04 14:00:00,0,0,1,0,-0.950036
h,0.482498,2.74648,0.482498,2.74648,"{'att': 367, 'def': 20}","{'att': 218, 'def': 24}",4,8,0,4,0.0776,l,2018-02-10 14:00:00,0,0,1,0,-2.263982
a,0.0688846,2.05059,0.0688846,2.05059,"{'att': 433, 'def': 18}","{'att': 243, 'def': 18}",2,7,0,1,0.1273,l,2018-02-18 14:00:00,0,0,1,0,-1.9817054
a,1.32153,1.23464,1.32153,1.23464,"{'att': 264, 'def': 23}","{'att': 173, 'def': 23}",4,8,3,2,1.4159000000000002,w,2018-02-25 11:30:00,1,0,0,3,0.08689000000000013
