h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.40451,1.20466,0.643213,1.20466,"{'att': 341, 'def': 24}","{'att': 210, 'def': 26}",5,7,1,0,1.5219,w,2018-08-19 21:30:00,1,0,0,3,-0.561447
a,1.78519,1.52233,1.02389,1.52233,"{'att': 175, 'def': 18}","{'att': 335, 'def': 30}",10,4,2,2,1.5801,d,2018-08-26 21:30:00,0,1,0,1,-0.49844
h,2.05648,1.88827,2.05648,1.88827,"{'att': 252, 'def': 24}","{'att': 228, 'def': 33}",3,5,5,3,1.5071,w,2018-09-02 18:30:00,1,0,0,3,0.1682100000000002
a,0.740742,2.8507,0.740742,2.8507,"{'att': 224, 'def': 27}","{'att': 322, 'def': 26}",1,9,1,2,0.1829,l,2018-09-16 13:00:00,0,0,1,0,-2.109958
h,2.09666,1.03797,2.09666,1.03797,"{'att': 196, 'def': 22}","{'att': 382, 'def': 18}",9,10,3,1,2.194,w,2018-09-21 18:30:00,1,0,0,3,1.05869
a,2.08628,1.02425,2.08628,1.02425,"{'att': 305, 'def': 17}","{'att': 251, 'def': 29}",5,1,2,0,2.2889999999999997,w,2018-09-27 17:00:00,1,0,0,3,1.0620299999999998
h,0.704744,1.30599,0.704744,1.30599,"{'att': 199, 'def': 20}","{'att': 342, 'def': 21}",8,4,1,4,0.8159000000000001,l,2018-09-30 18:30:00,0,0,1,0,-0.601246
a,0.926808,1.76818,0.926808,1.76818,"{'att': 342, 'def': 25}","{'att': 435, 'def': 30}",3,6,0,2,0.7589,l,2018-10-07 16:00:00,0,0,1,0,-0.8413720000000001
a,0.642053,1.2844,0.642053,1.2844,"{'att': 284, 'def': 26}","{'att': 261, 'def': 44}",5,8,0,0,0.7804,d,2018-10-22 18:30:00,0,1,0,1,-0.642347
h,1.93718,1.50755,1.17588,1.50755,"{'att': 97, 'def': 24}","{'att': 339, 'def': 25}",9,4,2,2,1.7312,d,2018-10-28 10:30:00,0,1,0,1,-0.3316699999999999
a,1.14513,0.53547,1.14513,0.53547,"{'att': 314, 'def': 23}","{'att': 237, 'def': 30}",4,7,2,0,1.9253999999999998,w,2018-11-04 14:00:00,1,0,0,3,0.60966
h,0.542118,1.48988,0.542118,1.48988,"{'att': 207, 'def': 28}","{'att': 345, 'def': 32}",3,8,1,1,0.45730000000000004,d,2018-11-11 17:00:00,0,1,0,1,-0.9477620000000001
a,1.51949,2.2135,0.758189,2.2135,"{'att': 88, 'def': 19}","{'att': 339, 'def': 28}",2,1,1,2,0.7395,l,2018-11-25 11:30:00,0,0,1,0,-1.4553109999999998
h,1.83072,0.143306,1.83072,0.143306,"{'att': 176, 'def': 29}","{'att': 331, 'def': 21}",13,0,0,0,2.675,d,2018-12-02 14:00:00,0,1,0,1,1.687414
h,1.09546,2.20116,1.09546,2.20116,"{'att': 192, 'def': 21}","{'att': 222, 'def': 19}",7,6,3,3,0.5953,d,2018-12-09 11:30:00,0,1,0,1,-1.1056999999999997
