h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.109745,2.11,0.109745,1.3487,"{'att': 271, 'def': 17}","{'att': 76, 'def': 17}",0,14,1,1,0.09179999999999999,d,2019-08-25 19:45:00,0,1,0,1,-1.238955
a,1.824,0.994717,1.824,0.994717,"{'att': 241, 'def': 19}","{'att': 275, 'def': 20}",14,9,1,0,2.0012999999999996,w,2019-09-01 19:45:00,1,0,0,3,0.8292830000000001
h,0.465316,1.47177,0.465316,0.710513,"{'att': 283, 'def': 24}","{'att': 132, 'def': 31}",2,11,0,1,0.46099999999999997,l,2019-09-15 18:45:00,0,0,1,0,-0.24519699999999994
a,1.8415,1.86372,1.02083,1.10242,"{'att': 309, 'def': 31}","{'att': 173, 'def': 18}",7,10,1,2,1.3927,l,2019-09-21 16:00:00,0,0,1,0,-0.08159000000000005
h,0.973188,0.814274,0.973188,0.814274,"{'att': 182, 'def': 18}","{'att': 281, 'def': 27}",6,3,0,0,1.4533,d,2019-09-24 17:00:00,0,1,0,1,0.158914
a,2.19656,2.14031,2.19656,2.14031,"{'att': 157, 'def': 18}","{'att': 238, 'def': 36}",8,7,1,1,1.4177,d,2019-09-29 16:00:00,0,1,0,1,0.05624999999999991
h,0.667382,0.727876,0.667382,0.727876,"{'att': 186, 'def': 32}","{'att': 149, 'def': 22}",6,5,2,0,1.2808,w,2019-10-05 17:00:00,1,0,0,3,-0.06049399999999994
a,1.73959,2.28168,1.73959,2.28168,"{'att': 264, 'def': 30}","{'att': 207, 'def': 19}",4,7,0,2,0.9617,l,2019-10-19 17:00:00,0,0,1,0,-0.5420900000000002
h,0.782917,1.05439,0.782917,1.05439,"{'att': 159, 'def': 18}","{'att': 208, 'def': 21}",7,6,0,1,1.0994,l,2019-10-25 19:45:00,0,0,1,0,-0.27147299999999996
a,0.372338,1.17096,0.372338,1.17096,"{'att': 213, 'def': 24}","{'att': 228, 'def': 19}",4,5,1,0,0.6459,w,2019-10-29 18:00:00,1,0,0,3,-0.7986219999999999
h,1.14031,0.975463,1.14031,0.975463,"{'att': 188, 'def': 24}","{'att': 228, 'def': 20}",5,11,2,1,1.4935,w,2019-11-03 14:00:00,1,0,0,3,0.16484699999999997
a,1.27413,2.24655,0.512834,2.24655,"{'att': 245, 'def': 18}","{'att': 185, 'def': 23}",3,12,1,2,0.7543,l,2019-11-09 17:00:00,0,0,1,0,-1.733716
