h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.14756,1.35384,2.14756,1.35384,"{'att': 197, 'def': 27}","{'att': 209, 'def': 36}",5,5,0,1,1.9524,l,2020-09-27 13:00:00,0,0,1,0,0.79372
h,1.86648,0.812849,1.86648,0.812849,"{'att': 325, 'def': 23}","{'att': 233, 'def': 18}",11,0,0,2,2.2124,l,2020-09-30 16:00:00,0,0,1,0,1.0536309999999998
h,1.66689,0.762958,1.66689,0.762958,"{'att': 290, 'def': 18}","{'att': 251, 'def': 31}",2,4,0,1,2.1145,l,2020-10-03 18:45:00,0,0,1,0,0.903932
h,1.71631,0.96514,1.71631,0.96514,"{'att': 329, 'def': 29}","{'att': 196, 'def': 18}",9,3,3,2,1.9542,w,2020-10-18 16:00:00,1,0,0,3,0.75117
a,2.6861,1.20434,2.6861,1.20434,"{'att': 192, 'def': 30}","{'att': 248, 'def': 20}",8,5,2,3,2.4718999999999998,l,2020-10-25 17:00:00,0,0,1,0,1.4817600000000002
h,0.956217,1.02378,0.194919,1.02378,"{'att': 341, 'def': 24}","{'att': 194, 'def': 23}",4,9,1,2,1.2977,l,2020-11-01 11:30:00,0,0,1,0,-0.8288609999999998
a,0.0917939,0.0834694,0.0917939,0.0834694,"{'att': 333, 'def': 18}","{'att': 216, 'def': 20}",2,2,0,0,1.0911,d,2020-11-06 19:45:00,0,1,0,1,0.008324499999999999
h,0.413067,0.731116,0.413067,0.731116,"{'att': 252, 'def': 29}","{'att': 255, 'def': 27}",5,11,1,0,0.9370999999999999,w,2020-11-22 17:00:00,1,0,0,3,-0.31804899999999997
a,1.42863,1.22788,1.42863,0.466584,"{'att': 275, 'def': 12}","{'att': 255, 'def': 30}",3,6,3,1,1.5222,w,2020-11-29 11:30:00,1,0,0,3,0.9620460000000001
a,1.47406,1.07631,1.47406,1.07631,"{'att': 329, 'def': 31}","{'att': 204, 'def': 26}",8,4,3,2,1.6931,w,2020-12-12 17:00:00,1,0,0,3,0.3977499999999998
h,1.10391,0.123143,1.10391,0.123143,"{'att': 249, 'def': 28}","{'att': 217, 'def': 22}",7,0,0,0,2.2971,d,2020-12-15 17:30:00,0,1,0,1,0.9807669999999999
a,1.43641,0.628497,1.43641,0.628497,"{'att': 287, 'def': 21}","{'att': 254, 'def': 25}",13,12,1,1,2.0318,d,2020-12-20 14:00:00,0,1,0,1,0.807913
h,2.4683,0.338064,2.4683,0.338064,"{'att': 177, 'def': 43}","{'att': 250, 'def': 15}",8,3,0,2,2.7758,l,2020-12-23 19:45:00,0,0,1,0,2.130236
a,1.75781,3.54071,1.75781,3.54071,"{'att': 423, 'def': 8}","{'att': 228, 'def': 36}",2,8,1,4,0.43620000000000003,l,2021-01-03 19:45:00,0,0,1,0,-1.7828999999999997
a,1.70449,1.30678,1.70449,1.30678,"{'att': 172, 'def': 15}","{'att': 211, 'def': 21}",9,5,2,2,1.6892,d,2021-01-06 14:00:00,0,1,0,1,0.39771
h,2.22446,1.7625,2.22446,1.00121,"{'att': 393, 'def': 19}","{'att': 238, 'def': 13}",6,4,1,2,1.6762,l,2021-01-10 14:00:00,0,0,1,0,1.2232500000000002
a,2.78281,1.50541,2.78281,0.744114,"{'att': 263, 'def': 18}","{'att': 207, 'def': 24}",5,7,1,2,2.3566000000000003,l,2021-01-16 19:45:00,0,0,1,0,2.038696
h,0.418061,1.28447,0.418061,1.28447,"{'att': 248, 'def': 14}","{'att': 148, 'def': 29}",0,11,1,1,0.5512999999999999,d,2021-01-20 16:00:00,0,1,0,1,-0.866409
h,0.210828,0.725987,0.210828,0.725987,"{'att': 350, 'def': 14}","{'att': 240, 'def': 30}",3,11,0,0,0.717,d,2021-01-23 17:00:00,0,1,0,1,-0.515159
