Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2004-2005,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,26.0,37.0,37.0,3285.0,36.5,25.0,0.68,109.0,84.0,77.1,25.0,8.0,3.0,19.0,51.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Juventus,Antonio Chimenti,it ITA,GK,34.0,2.0,1.0,135.0,1.5,2.0,1.33,5.0,3.0,60.0,1.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Juventus,Squad Total,,,28.0,38.0,38.0,3420.0,,27.0,0.71,114.0,87.0,76.3,26.0,8.0,4.0,19.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Juventus,Opponent Total,,,27.2,38.0,38.0,,,,,,,,4.0,8.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Milan,Dida,br BRA,GK,30.0,36.0,36.0,3157.0,35.1,25.0,0.71,134.0,109.0,81.3,22.0,8.0,5.0,16.0,44.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Milan,Christian Abbiati,it ITA,GK,27.0,3.0,2.0,263.0,2.9,3.0,1.03,9.0,6.0,66.7,1.0,2.0,0.0,1.0,50.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Milan,Squad Total,,,29.5,38.0,38.0,3420.0,,28.0,0.74,143.0,115.0,80.4,23.0,10.0,5.0,17.0,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Milan,Opponent Total,,,27.1,38.0,38.0,,,,,,,,5.0,10.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Inter,Francesco Toldo,it ITA,GK,32.0,30.0,30.0,2659.0,29.5,28.0,0.95,113.0,85.0,75.2,16.0,12.0,2.0,13.0,43.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Inter,Alberto Fontana,it ITA,GK,37.0,5.0,5.0,450.0,5.0,6.0,1.2,20.0,14.0,70.0,1.0,4.0,0.0,1.0,20.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Inter,Fabián Carini,uy URU,GK,24.0,4.0,3.0,310.0,3.4,3.0,0.87,12.0,9.0,75.0,1.0,2.0,0.0,2.0,66.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Inter,Squad Total,,,28.4,38.0,38.0,3419.0,,37.0,0.97,145.0,108.0,74.5,18.0,18.0,2.0,16.0,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Inter,Opponent Total,,,27.1,38.0,38.0,,,,,,,,2.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Udinese,Morgan De Sanctis,it ITA,GK,27.0,36.0,36.0,3177.0,35.3,38.0,1.08,144.0,106.0,73.6,17.0,9.0,10.0,13.0,36.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Udinese,Samir Handanović,si SVN,GK,20.0,3.0,2.0,243.0,2.7,2.0,0.74,10.0,8.0,80.0,0.0,2.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Udinese,Squad Total,,,25.9,38.0,38.0,3420.0,,40.0,1.05,154.0,114.0,74.0,17.0,11.0,10.0,13.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Udinese,Opponent Total,,,27.1,38.0,38.0,,,,,,,,10.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Sampdoria,Francesco Antonioli,it ITA,GK,34.0,37.0,37.0,3268.0,36.3,26.0,0.72,168.0,142.0,84.5,17.0,9.0,10.0,18.0,48.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Sampdoria,Luigi Turci,it ITA,GK,34.0,2.0,1.0,152.0,1.7,3.0,1.78,9.0,6.0,66.7,0.0,1.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Sampdoria,Squad Total,,,28.6,38.0,38.0,3420.0,,29.0,0.76,177.0,148.0,83.6,17.0,10.0,11.0,18.0,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Sampdoria,Opponent Total,,,27.2,38.0,38.0,,,,,,,,11.0,10.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Palermo,Matteo Guardalben,it ITA,GK,30.0,37.0,37.0,3330.0,37.0,41.0,1.11,164.0,123.0,75.0,12.0,16.0,9.0,13.0,35.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Palermo,Nicola Santoni,it ITA,GK,25.0,1.0,1.0,90.0,1.0,3.0,3.0,8.0,5.0,62.5,0.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Palermo,Squad Total,,,26.7,38.0,38.0,3420.0,,44.0,1.16,172.0,128.0,74.4,12.0,17.0,9.0,13.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Palermo,Opponent Total,,,27.4,38.0,38.0,,,,,,,,9.0,17.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Messina,Marco Storari,it ITA,GK,27.0,28.0,28.0,2520.0,28.0,36.0,1.29,142.0,106.0,74.6,11.0,6.0,11.0,10.0,35.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Messina,Dimitrios Eleftheropoulos,gr GRE,GK,27.0,10.0,10.0,855.0,9.5,15.0,1.58,54.0,39.0,72.2,1.0,5.0,3.0,1.0,10.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Messina,Giuseppe Santoro,it ITA,GK,16.0,1.0,0.0,45.0,0.5,1.0,2.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Messina,Squad Total,,,26.9,38.0,38.0,3420.0,,52.0,1.37,199.0,147.0,73.9,12.0,12.0,14.0,11.0,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Messina,Opponent Total,,,27.2,38.0,38.0,,,,,,,,14.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Roma,Ivan Pelizzoli,it ITA,GK,23.0,17.0,17.0,1530.0,17.0,30.0,1.76,88.0,58.0,65.9,4.0,5.0,8.0,3.0,17.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Roma,Gianluca Curci,it ITA,GK,19.0,11.0,11.0,990.0,11.0,16.0,1.45,51.0,35.0,68.6,2.0,4.0,5.0,3.0,27.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Roma,Carlo Zotti,it ITA,GK,21.0,10.0,10.0,900.0,10.0,12.0,1.2,38.0,26.0,68.4,5.0,3.0,2.0,2.0,20.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Roma,Squad Total,,,25.2,38.0,38.0,3420.0,,58.0,1.53,177.0,119.0,67.2,11.0,12.0,15.0,8.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Roma,Opponent Total,,,27.4,38.0,38.0,,,,,,,,15.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Livorno,Marco Amelia,it ITA,GK,22.0,31.0,31.0,2746.0,30.5,50.0,1.64,146.0,96.0,65.8,10.0,10.0,11.0,8.0,25.8,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Livorno,Gianmatteo Mareggini,it ITA,GK,37.0,7.0,6.0,584.0,6.5,9.0,1.39,28.0,19.0,67.9,1.0,2.0,4.0,1.0,16.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Livorno,Luca Mazzoni,it ITA,GK,20.0,1.0,1.0,90.0,1.0,1.0,1.0,9.0,8.0,88.9,0.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Livorno,Squad Total,,,28.6,38.0,38.0,3420.0,,60.0,1.58,183.0,123.0,67.2,11.0,12.0,15.0,9.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,SeriaA,Livorno,Opponent Total,,,27.3,38.0,38.0,,,,,,,,15.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
