Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2010-2011,Bundesliga,Dortmund,Roman Weidenfeller,de GER,GK,29.0,33.0,33.0,2970.0,33.0,21.0,0.64,120.0,99.0,82.5,22.0,6.0,5.0,14.0,42.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Mitchell Langerak,au AUS,GK,21.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Squad Total,,,23.4,34.0,34.0,3060.0,,22.0,0.65,125.0,103.0,82.4,23.0,6.0,5.0,14.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Dortmund,Opponent Total,,,25.7,34.0,34.0,,,,,,,,5.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,René Adler,de GER,GK,25.0,32.0,32.0,2880.0,32.0,41.0,1.28,122.0,81.0,66.4,19.0,7.0,6.0,11.0,34.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Fabian Giefer,de GER,GK,20.0,2.0,2.0,180.0,2.0,3.0,1.5,8.0,5.0,62.5,1.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Squad Total,,,25.2,34.0,34.0,3060.0,,44.0,1.29,130.0,86.0,66.2,20.0,8.0,6.0,11.0,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Opponent Total,,,25.9,34.0,34.0,,,,,,,,6.0,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Hans-Jörg Butt,de GER,GK,36.0,23.0,22.0,2025.0,22.5,26.0,1.16,78.0,52.0,66.7,12.0,6.0,4.0,6.0,27.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Thomas Kraft,de GER,GK,22.0,12.0,12.0,1035.0,11.5,14.0,1.22,56.0,42.0,75.0,7.0,2.0,3.0,3.0,25.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Squad Total,,,26.5,34.0,34.0,3060.0,,40.0,1.18,134.0,94.0,70.1,19.0,8.0,7.0,9.0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Opponent Total,,,25.6,34.0,34.0,,,,,,,,7.0,8.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hannover 96,Florian Fromlowitz,de GER,GK,24.0,20.0,19.0,1749.0,19.4,34.0,1.75,94.0,60.0,63.8,11.0,1.0,7.0,4.0,21.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
