Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2016-2017,LaLiga,Real Madrid,Keylor Navas,cr CRC,GK,29.0,27.0,27.0,2430.0,27.0,31.0,1.15,113.0,83.0,73.5,20.0,4.0,3.0,5.0,18.5,2.0,1.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Real Madrid,Kiko Casilla,es ESP,GK,29.0,11.0,11.0,990.0,11.0,10.0,0.91,30.0,22.0,70.0,9.0,2.0,0.0,5.0,45.5,2.0,1.0,1.0,0.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Real Madrid,Squad Total,,,27.0,38.0,38.0,3420.0,38.0,41.0,1.08,143.0,105.0,72.7,29.0,6.0,3.0,10.0,26.3,4.0,2.0,1.0,1.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Real Madrid,Opponent Total,,,26.5,38.0,38.0,3420.0,38.0,106.0,2.79,254.0,156.0,60.6,3.0,6.0,29.0,0.0,0.0,8.0,6.0,2.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,24.0,36.0,36.0,3240.0,36.0,33.0,0.92,154.0,121.0,78.6,27.0,6.0,3.0,13.0,36.1,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Barcelona,Claudio Bravo,cl CHI,GK,33.0,1.0,1.0,90.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Barcelona,Jasper Cillessen,nl NED,GK,27.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Barcelona,Squad Total,,,26.9,38.0,38.0,3420.0,38.0,37.0,0.97,160.0,123.0,76.9,28.0,6.0,4.0,13.0,34.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Barcelona,Opponent Total,,,26.5,38.0,38.0,3420.0,38.0,116.0,3.05,258.0,151.0,58.1,4.0,6.0,28.0,2.0,5.3,9.0,8.0,1.0,0.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,23.0,30.0,30.0,2651.0,29.4,21.0,0.71,81.0,63.0,77.8,17.0,7.0,6.0,15.0,50.0,4.0,3.0,1.0,0.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Atlético Madrid,Miguel Ángel Moyá,es ESP,GK,32.0,9.0,8.0,769.0,8.6,6.0,0.7,30.0,24.0,80.0,6.0,2.0,0.0,5.0,62.5,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Atlético Madrid,Squad Total,,,26.9,38.0,38.0,3420.0,38.0,27.0,0.71,111.0,87.0,78.4,23.0,9.0,6.0,20.0,52.6,4.0,3.0,1.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,LaLiga,Atlético Madrid,Opponent Total,,,26.6,38.0,38.0,3420.0,38.0,70.0,1.84,191.0,125.0,64.4,6.0,9.0,23.0,8.0,21.1,7.0,2.0,2.0,3.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
