Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2016-2017,Ligue1,Monaco,Kamil Glik,pl POL,DF,28.0,36.0,6.0,25.0,12.0,48.0,0.69,0.33,0.24,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Danijel Subašić,hr CRO,GK,31.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Jemerson,br BRA,DF,23.0,34.0,2.0,15.0,3.0,20.0,0.44,0.09,0.13,0.67,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Fabinho,br BRA,MF,22.0,34.1,9.0,31.0,19.0,61.3,0.91,0.56,0.06,0.11,,7.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Bernardo Silva,pt POR,MF,21.0,30.9,8.0,60.0,21.0,35.0,1.94,0.68,0.13,0.38,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Thomas Lemar,fr FRA,MF,20.0,29.0,9.0,58.0,21.0,36.2,2.0,0.72,0.16,0.43,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Valère Germain,fr FRA,FW,26.0,24.7,10.0,67.0,31.0,46.3,2.71,1.25,0.15,0.32,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Djibril Sidibé,fr FRA,DF,24.0,25.8,2.0,23.0,7.0,30.4,0.89,0.27,0.09,0.29,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Tiemoué Bakayoko,fr FRA,MF,21.0,24.7,2.0,28.0,9.0,32.1,1.13,0.36,0.07,0.22,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Benjamin Mendy,fr FRA,DF,22.0,22.8,0.0,15.0,4.0,26.7,0.66,0.18,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
