Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2016-2017,SeriaA,Juventus,Gonzalo Higuaín,ar ARG,FW,28.0,38.0,32.0,2966.0,33.0,24.0,2.0,26.0,24.0,0.0,0.0,1.0,0.0,,,,0.73,0.06,0.79,0.73,0.79,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Sami Khedira,de GER,MF,29.0,31.0,31.0,2539.0,28.2,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,,,,0.18,0.11,0.28,0.18,0.28,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,38.0,30.0,30.0,2655.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Mario Mandžukić,hr CRO,"FW,MF",30.0,34.0,28.0,2483.0,27.6,7.0,4.0,11.0,7.0,0.0,0.0,5.0,0.0,,,,0.25,0.14,0.4,0.25,0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Leonardo Bonucci,it ITA,DF,29.0,29.0,26.0,2409.0,26.8,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,,,,0.11,0.0,0.11,0.11,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Paulo Dybala,ar ARG,"MF,FW",22.0,31.0,26.0,2140.0,23.8,11.0,7.0,18.0,8.0,3.0,3.0,2.0,0.0,,,,0.46,0.29,0.76,0.34,0.63,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Alex Sandro,br BRA,"MF,DF",25.0,27.0,25.0,2312.0,25.7,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,,,,0.12,0.16,0.27,0.12,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Miralem Pjanić,ba BIH,MF,26.0,30.0,25.0,2166.0,24.1,5.0,9.0,14.0,5.0,0.0,0.0,5.0,0.0,,,,0.21,0.37,0.58,0.21,0.58,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Stephan Lichtsteiner,ch SUI,"DF,MF",32.0,26.0,22.0,1866.0,20.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,,,,0.05,0.1,0.14,0.05,0.14,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Juventus,Juan Cuadrado,co COL,"MF,FW",28.0,30.0,21.0,2096.0,23.3,2.0,6.0,8.0,2.0,0.0,0.0,8.0,0.0,,,,0.09,0.26,0.34,0.09,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
