Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2018-2019,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,25.0,21.0,21.0,1890.0,21.0,17.0,0.81,66.0,50.0,80.3,16.0,3.0,2.0,11.0,52.4,4.0,4.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Gianluigi Buffon,it ITA,GK,40.0,17.0,17.0,1530.0,17.0,18.0,1.06,65.0,49.0,73.8,13.0,1.0,3.0,6.0,35.3,2.0,1.0,1.0,0.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Squad Total,,,26.2,38.0,38.0,3420.0,38.0,35.0,0.92,131.0,99.0,77.1,29.0,4.0,5.0,17.0,44.7,6.0,5.0,1.0,0.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Paris S-G,Opponent Total,,,25.9,38.0,38.0,3416.0,38.0,105.0,2.77,218.0,113.0,56.4,5.0,4.0,29.0,0.0,0.0,12.0,10.0,2.0,0.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lille,Mike Maignan,fr FRA,GK,23.0,38.0,38.0,3420.0,38.0,33.0,0.87,125.0,90.0,78.4,22.0,9.0,7.0,15.0,39.5,10.0,6.0,2.0,2.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lille,Squad Total,,,24.1,38.0,38.0,3420.0,38.0,33.0,0.87,125.0,90.0,78.4,22.0,9.0,7.0,15.0,39.5,10.0,6.0,2.0,2.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lille,Opponent Total,,,26.0,38.0,38.0,3420.0,38.0,68.0,1.79,192.0,125.0,70.3,7.0,9.0,22.0,8.0,21.1,13.0,11.0,1.0,1.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lyon,Anthony Lopes,pt POR,GK,27.0,34.0,34.0,3060.0,34.0,42.0,1.24,134.0,95.0,72.4,18.0,9.0,7.0,9.0,26.5,5.0,5.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lyon,Mathieu Gorgelin,fr FRA,GK,27.0,4.0,4.0,360.0,4.0,5.0,1.25,15.0,10.0,66.7,3.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lyon,Squad Total,,,24.4,38.0,38.0,3420.0,38.0,47.0,1.24,149.0,105.0,71.8,21.0,9.0,8.0,10.0,26.3,5.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Lyon,Opponent Total,,,26.2,38.0,38.0,3420.0,38.0,70.0,1.84,249.0,176.0,73.9,8.0,9.0,21.0,6.0,15.8,10.0,5.0,3.0,2.0,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Saint-Étienne,Stéphane Ruffier,fr FRA,GK,31.0,37.0,37.0,3330.0,37.0,40.0,1.08,148.0,107.0,77.7,19.0,8.0,10.0,13.0,35.1,9.0,7.0,1.0,1.0,12.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Saint-Étienne,Jessy Moulin,fr FRA,GK,32.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,5.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Saint-Étienne,Squad Total,,,27.8,38.0,38.0,3420.0,38.0,41.0,1.08,153.0,112.0,77.8,19.0,9.0,10.0,13.0,34.2,9.0,7.0,1.0,1.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Saint-Étienne,Opponent Total,,,25.7,38.0,38.0,3420.0,38.0,59.0,1.55,171.0,115.0,68.4,10.0,9.0,19.0,9.0,23.7,5.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Marseille,Steve Mandanda,fr FRA,GK,33.0,31.0,31.0,2736.0,30.4,40.0,1.32,113.0,72.0,69.9,14.0,5.0,12.0,9.0,29.0,7.0,6.0,1.0,0.0,14.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Marseille,Yohann Pelé,fr FRA,GK,35.0,9.0,7.0,680.0,7.6,12.0,1.59,25.0,12.0,68.0,4.0,2.0,1.0,3.0,42.9,5.0,4.0,1.0,0.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Marseille,Squad Total,,,26.9,38.0,38.0,3416.0,38.0,52.0,1.37,138.0,84.0,69.6,18.0,7.0,13.0,12.0,31.6,12.0,10.0,2.0,0.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Marseille,Opponent Total,,,25.9,38.0,38.0,3420.0,38.0,60.0,1.58,169.0,109.0,66.9,13.0,7.0,18.0,6.0,15.8,5.0,4.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Montpellier,Benjamin Lecomte,fr FRA,GK,27.0,37.0,37.0,3330.0,37.0,42.0,1.14,143.0,102.0,72.7,15.0,13.0,9.0,11.0,29.7,5.0,3.0,1.0,1.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Ligue1,Montpellier,Dimitry Bertaud,fr FRA,GK,20.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
