Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2019-2020,SeriaA,Juventus,Leonardo Bonucci,it ITA,DF,32.0,34.2,10.0,0.0,0.0,26.0,18.0,0.0,6.0,31.0,17.0,0.0,3.0,0.0,,133.0,61.0,50.0,55.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Cristiano Ronaldo,pt POR,FW,34.0,32.4,3.0,0.0,0.0,25.0,58.0,31.0,36.0,6.0,10.0,2.0,0.0,0.0,,68.0,36.0,33.0,52.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Wojciech Szczęsny,pl POL,GK,29.0,28.8,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,44.0,5.0,1.0,83.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Juan Cuadrado,co COL,"DF,FW",31.0,29.5,7.0,1.0,0.0,28.0,80.0,3.0,86.0,35.0,43.0,1.0,0.0,0.0,,169.0,13.0,23.0,36.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Miralem Pjanić,ba BIH,MF,29.0,25.3,10.0,0.0,0.0,39.0,24.0,0.0,82.0,32.0,21.0,1.0,0.0,0.0,,168.0,15.0,13.0,53.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Alex Sandro,br BRA,DF,28.0,26.5,4.0,0.0,0.0,42.0,45.0,0.0,67.0,47.0,26.0,1.0,1.0,0.0,,162.0,31.0,24.0,56.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Matthijs de Ligt,nl NED,DF,19.0,27.2,5.0,0.0,0.0,29.0,18.0,0.0,2.0,25.0,15.0,1.0,3.0,0.0,,146.0,71.0,39.0,64.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Rodrigo Bentancur,uy URU,MF,22.0,24.4,9.0,0.0,0.0,53.0,28.0,3.0,52.0,32.0,32.0,1.0,0.0,0.0,,159.0,33.0,26.0,55.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Paulo Dybala,ar ARG,"FW,MF",25.0,23.9,5.0,0.0,0.0,24.0,54.0,6.0,109.0,13.0,10.0,3.0,0.0,0.0,,86.0,2.0,9.0,18.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Blaise Matuidi,fr FRA,MF,32.0,24.9,2.0,0.0,0.0,40.0,26.0,3.0,40.0,22.0,27.0,0.0,0.0,0.0,,106.0,25.0,26.0,49.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Adrien Rabiot,fr FRA,MF,24.0,21.2,7.0,1.0,1.0,49.0,28.0,0.0,20.0,32.0,31.0,0.0,0.0,0.0,,115.0,23.0,13.0,63.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Gonzalo Higuaín,ar ARG,FW,31.0,20.7,2.0,0.0,0.0,18.0,16.0,12.0,11.0,6.0,7.0,0.0,0.0,0.0,,48.0,7.0,15.0,31.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Federico Bernardeschi,it ITA,"MF,FW",25.0,17.5,6.0,0.0,0.0,31.0,24.0,5.0,55.0,13.0,5.0,0.0,0.0,0.0,,61.0,4.0,2.0,66.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Danilo,br BRA,DF,28.0,16.0,4.0,1.0,1.0,20.0,14.0,2.0,29.0,26.0,20.0,0.0,1.0,0.0,,78.0,18.0,14.0,56.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Aaron Ramsey,wls WAL,MF,28.0,11.7,2.0,0.0,0.0,22.0,18.0,2.0,18.0,11.0,15.0,0.0,0.0,0.0,,62.0,12.0,7.0,63.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,41.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,1.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Sami Khedira,de GER,MF,32.0,7.6,3.0,0.0,0.0,15.0,4.0,0.0,20.0,3.0,7.0,0.0,1.0,0.0,,33.0,4.0,3.0,57.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Douglas Costa,br BRA,"FW,MF",28.0,8.9,1.0,0.0,0.0,10.0,10.0,3.0,38.0,5.0,1.0,0.0,0.0,0.0,,35.0,1.0,5.0,16.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Daniele Rugani,it ITA,DF,25.0,7.7,2.0,0.0,0.0,8.0,1.0,0.0,0.0,11.0,6.0,0.0,1.0,0.0,,28.0,32.0,18.0,64.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Mattia De Sciglio,it ITA,DF,26.0,5.2,1.0,0.0,0.0,0.0,3.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,,28.0,7.0,7.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Merih Demiral,tr TUR,DF,21.0,4.6,1.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,7.0,0.0,1.0,0.0,,14.0,20.0,5.0,80.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Giorgio Chiellini,it ITA,DF,34.0,2.2,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,8.0,4.0,3.0,57.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Emre Can,de GER,MF,25.0,3.2,2.0,0.0,0.0,10.0,5.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,,21.0,2.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Simone Muratore,it ITA,MF,21.0,1.8,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,12.0,0.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Luca Zanimacchia,it ITA,"FW,MF",21.0,1.3,0.0,0.0,0.0,0.0,3.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,,7.0,1.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Gianluca Frabotta,it ITA,DF,20.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,,4.0,3.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Marco Olivieri,it ITA,FW,20.0,0.3,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Carlo Pinsoglio,it ITA,GK,29.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Daouda Peeters,be BEL,MF,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Giacomo Vrioni,al ALB,FW,20.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Squad Total,,,28.6,38.0,87.0,3.0,2.0,508.0,486.0,73.0,698.0,370.0,318.0,10.0,12.0,0.0,,1811.0,432.0,338.0,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Juventus,Opponent Total,,,26.7,38.0,113.0,8.0,5.0,517.0,465.0,52.0,613.0,429.0,312.0,5.0,14.0,3.0,,1720.0,338.0,432.0,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Samir Handanović,si SVN,GK,35.0,35.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,36.0,6.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Romelu Lukaku,be BEL,FW,26.0,33.1,2.0,0.0,0.0,47.0,20.0,23.0,24.0,1.0,7.0,0.0,0.0,0.0,,52.0,92.0,70.0,56.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Stefan de Vrij,nl NED,DF,27.0,31.4,5.0,0.0,0.0,36.0,9.0,0.0,0.0,52.0,18.0,0.0,1.0,0.0,,174.0,62.0,44.0,58.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Marcelo Brozović,hr CRO,MF,26.0,30.0,9.0,0.0,0.0,44.0,20.0,1.0,49.0,46.0,35.0,0.0,0.0,0.0,,188.0,21.0,21.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Milan Škriniar,sk SVK,DF,24.0,29.2,9.0,1.0,1.0,52.0,27.0,0.0,0.0,28.0,20.0,1.0,0.0,1.0,,163.0,34.0,35.0,49.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Lautaro Martínez,ar ARG,FW,21.0,27.2,8.0,1.0,0.0,54.0,75.0,22.0,16.0,15.0,7.0,2.0,0.0,0.0,,76.0,35.0,71.0,33.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Antonio Candreva,it ITA,DF,32.0,22.1,5.0,0.0,0.0,15.0,20.0,13.0,178.0,14.0,6.0,1.0,0.0,0.0,,108.0,5.0,4.0,55.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Nicolò Barella,it ITA,MF,22.0,22.4,11.0,0.0,0.0,39.0,37.0,2.0,38.0,14.0,21.0,1.0,0.0,0.0,,147.0,19.0,23.0,45.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Alessandro Bastoni,it ITA,DF,20.0,21.3,9.0,1.0,1.0,37.0,28.0,0.0,20.0,26.0,17.0,0.0,1.0,0.0,,135.0,43.0,25.0,63.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Roberto Gagliardini,it ITA,MF,25.0,20.0,5.0,0.0,0.0,34.0,24.0,4.0,10.0,30.0,19.0,1.0,0.0,0.0,,71.0,27.0,14.0,65.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Diego Godín,uy URU,DF,33.0,18.1,5.0,0.0,0.0,29.0,15.0,3.0,10.0,45.0,29.0,0.0,0.0,0.0,,96.0,58.0,33.0,63.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Cristiano Biraghi,it ITA,DF,26.0,17.5,3.0,0.0,0.0,22.0,22.0,3.0,138.0,13.0,6.0,0.0,0.0,0.0,,66.0,4.0,14.0,22.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Danilo D'Ambrosio,it ITA,DF,30.0,15.6,6.0,0.0,0.0,35.0,19.0,4.0,17.0,14.0,16.0,0.0,0.0,0.0,,83.0,25.0,19.0,56.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Matías Vecino,uy URU,MF,27.0,14.2,4.0,0.0,0.0,20.0,12.0,3.0,16.0,15.0,20.0,0.0,0.0,0.0,,74.0,16.0,23.0,41.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Ashley Young,eng ENG,DF,34.0,13.2,1.0,0.0,0.0,7.0,21.0,4.0,40.0,14.0,5.0,0.0,1.0,0.0,,54.0,8.0,6.0,57.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Alexis Sánchez,cl CHI,FW,30.0,10.3,4.0,1.0,1.0,19.0,32.0,9.0,40.0,3.0,7.0,1.0,0.0,0.0,,35.0,5.0,22.0,18.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Borja Valero,es ESP,MF,34.0,10.3,4.0,0.0,0.0,12.0,14.0,1.0,3.0,8.0,7.0,0.0,0.0,0.0,,61.0,6.0,8.0,42.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Stefano Sensi,it ITA,MF,23.0,8.0,2.0,0.0,0.0,14.0,14.0,0.0,44.0,9.0,10.0,1.0,0.0,0.0,,48.0,3.0,4.0,42.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Christian Eriksen,dk DEN,MF,27.0,7.8,0.0,0.0,0.0,6.0,2.0,0.0,59.0,0.0,6.0,0.0,0.0,0.0,,47.0,3.0,4.0,42.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Kwadwo Asamoah,gh GHA,"DF,FW",30.0,7.1,1.0,0.0,0.0,6.0,6.0,2.0,18.0,9.0,8.0,0.0,0.0,0.0,,42.0,4.0,3.0,57.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Andrea Ranocchia,it ITA,DF,31.0,5.8,3.0,0.0,0.0,9.0,4.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,,28.0,29.0,11.0,72.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Victor Moses,ng NGA,DF,28.0,4.7,1.0,0.0,0.0,6.0,9.0,0.0,26.0,0.0,3.0,2.0,0.0,0.0,,27.0,2.0,1.0,66.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Valentino Lazaro,at AUT,DF,23.0,3.6,2.0,0.0,0.0,7.0,1.0,0.0,18.0,1.0,5.0,0.0,0.0,0.0,,16.0,5.0,4.0,55.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Daniele Padelli,it ITA,GK,33.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Inter,Matteo Politano,it ITA,"FW,MF",25.0,2.9,0.0,0.0,0.0,3.0,6.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,,16.0,2.0,4.0,33.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
