Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2020-2021,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,27.0,38.0,642.0,1005.0,63.9,20935.0,15888.0,87.0,87.0,100.0,230.0,233.0,98.7,322.0,679.0,47.4,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Koke,es ESP,MF,28.0,33.6,2178.0,2483.0,87.7,34388.0,10040.0,1120.0,1195.0,93.7,736.0,808.0,91.1,192.0,277.0,69.3,2.0,3.1,4.4,-1.1,38.0,219.0,35.0,3.0,250.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Marcos Llorente,es ESP,"MF,FW",25.0,32.8,1097.0,1355.0,81.0,16495.0,4008.0,585.0,656.0,89.2,349.0,420.0,83.1,83.0,120.0,69.2,11.0,5.6,5.4,5.4,44.0,80.0,37.0,12.0,140.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Stefan Savić,me MNE,DF,29.0,32.8,1487.0,1752.0,84.9,27597.0,8583.0,573.0,631.0,90.8,724.0,795.0,91.1,155.0,256.0,60.5,0.0,0.1,0.4,-0.1,2.0,100.0,5.0,1.0,103.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Mario Hermoso,es ESP,DF,25.0,28.6,1622.0,1939.0,83.7,27204.0,9650.0,806.0,873.0,92.3,640.0,750.0,85.3,137.0,236.0,58.1,1.0,0.6,1.3,0.4,10.0,137.0,18.0,2.0,172.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Luis Suárez,uy URU,FW,33.0,27.9,418.0,588.0,71.1,5622.0,896.0,234.0,308.0,76.0,90.0,130.0,69.2,35.0,47.0,74.5,3.0,3.0,2.0,0.0,27.0,23.0,22.0,1.0,46.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Ángel Correa,ar ARG,"FW,MF",25.0,26.6,690.0,898.0,76.8,8438.0,1861.0,407.0,480.0,84.8,168.0,222.0,75.7,28.0,56.0,50.0,8.0,5.7,4.8,2.3,38.0,46.0,32.0,2.0,84.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Kieran Trippier,eng ENG,DF,29.0,27.5,1406.0,1821.0,77.2,22500.0,9024.0,743.0,824.0,90.2,481.0,618.0,77.8,121.0,244.0,49.6,6.0,3.6,3.9,2.4,34.0,98.0,60.0,10.0,169.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Yannick Carrasco,be BEL,"DF,MF",26.0,24.2,743.0,1010.0,73.6,9854.0,3150.0,470.0,540.0,87.0,179.0,261.0,68.6,32.0,102.0,31.4,10.0,6.0,5.2,4.0,47.0,35.0,46.0,5.0,86.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Felipe,br BRA,DF,31.0,22.9,889.0,1054.0,84.3,16048.0,5921.0,336.0,377.0,89.1,438.0,498.0,88.0,87.0,138.0,63.0,0.0,0.3,0.5,-0.3,4.0,26.0,0.0,0.0,36.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Saúl Ñíguez,es ESP,"MF,DF",25.0,22.6,976.0,1180.0,82.7,13205.0,3413.0,575.0,655.0,87.8,292.0,357.0,81.8,42.0,64.0,65.6,1.0,1.7,1.4,-0.7,23.0,62.0,20.0,2.0,82.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,José María Giménez,uy URU,DF,25.0,19.6,974.0,1128.0,86.3,19119.0,6871.0,348.0,378.0,92.1,481.0,518.0,92.9,127.0,197.0,64.5,0.0,0.2,0.3,-0.2,4.0,39.0,2.0,0.0,59.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Thomas Lemar,fr FRA,MF,24.0,15.2,643.0,806.0,79.8,9978.0,2573.0,335.0,372.0,90.1,200.0,249.0,80.3,63.0,98.0,64.3,3.0,2.0,2.4,1.0,21.0,51.0,17.0,3.0,78.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,João Félix,pt POR,"FW,MF",20.0,17.5,567.0,689.0,82.3,7174.0,2182.0,357.0,397.0,89.9,108.0,136.0,79.4,36.0,51.0,70.6,5.0,4.3,2.6,0.7,21.0,55.0,16.0,0.0,73.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Renan Lodi,br BRA,"DF,FW",22.0,12.5,577.0,749.0,77.0,9262.0,2640.0,321.0,362.0,88.7,200.0,263.0,76.0,43.0,77.0,55.8,2.0,1.8,1.5,0.2,12.0,17.0,19.0,7.0,36.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Héctor Herrera,mx MEX,MF,30.0,7.6,594.0,666.0,89.2,9424.0,2779.0,310.0,329.0,94.2,202.0,226.0,89.4,52.0,68.0,76.5,1.0,0.7,0.6,0.3,6.0,60.0,9.0,0.0,48.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Šime Vrsaljko,hr CRO,"FW,DF",28.0,5.8,212.0,323.0,65.6,3216.0,1221.0,119.0,137.0,86.9,80.0,127.0,63.0,9.0,36.0,25.0,0.0,0.0,0.2,0.0,0.0,8.0,7.0,2.0,24.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Geoffrey Kondogbia,cf CTA,MF,27.0,6.8,329.0,389.0,84.6,5350.0,1372.0,158.0,178.0,88.8,118.0,133.0,88.7,34.0,46.0,73.9,0.0,0.4,0.3,-0.4,4.0,28.0,5.0,0.0,37.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Lucas Torreira,uy URU,MF,24.0,5.8,272.0,312.0,87.2,4093.0,1193.0,153.0,167.0,91.6,84.0,95.0,88.4,19.0,25.0,76.0,0.0,0.5,0.4,-0.5,3.0,18.0,5.0,0.0,27.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Vitolo,es ESP,"MF,FW",30.0,3.3,129.0,154.0,83.8,1458.0,377.0,91.0,104.0,87.5,20.0,23.0,87.0,4.0,9.0,44.4,0.0,0.2,0.3,-0.2,3.0,4.0,3.0,0.0,17.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Diego Costa,es ESP,FW,31.0,2.3,57.0,74.0,77.0,716.0,71.0,37.0,45.0,82.2,10.0,13.0,76.9,4.0,4.0,100.0,0.0,0.5,0.4,-0.5,4.0,1.0,6.0,0.0,6.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Thomas Partey,gh GHA,MF,27.0,2.2,197.0,223.0,88.3,3611.0,1073.0,80.0,89.0,89.9,81.0,89.0,91.0,26.0,35.0,74.3,0.0,0.0,0.2,0.0,0.0,27.0,4.0,1.0,26.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Manuel Sánchez,es ESP,DF,19.0,0.5,24.0,31.0,77.4,343.0,96.0,14.0,15.0,93.3,8.0,10.0,80.0,1.0,2.0,50.0,1.0,0.4,0.1,0.6,1.0,1.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Moussa Dembélé,fr FRA,FW,24.0,1.1,20.0,32.0,62.5,221.0,15.0,14.0,15.0,93.3,5.0,11.0,45.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Ricard,es ESP,DF,20.0,0.3,14.0,19.0,73.7,255.0,111.0,5.0,5.0,100.0,7.0,10.0,70.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Squad Total,,,27.3,38.0,16757.0,20680.0,81.0,276506.0,95008.0,8278.0,9219.0,89.8,5931.0,6995.0,84.8,1653.0,2869.0,57.6,54.0,40.6,38.8,13.4,347.0,1144.0,370.0,53.0,1604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Atlético Madrid,Opponent Total,,,27.5,38.0,15160.0,19039.0,79.6,269657.0,90693.0,6763.0,7647.0,88.4,5993.0,6942.0,86.3,1807.0,3152.0,57.3,15.0,27.7,28.9,-12.7,271.0,1175.0,243.0,77.0,1394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,28.0,38.0,1087.0,1323.0,82.2,27107.0,16751.0,175.0,175.0,100.0,665.0,675.0,98.5,245.0,468.0,52.4,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Karim Benzema,fr FRA,FW,32.0,32.2,1029.0,1235.0,83.3,13128.0,2262.0,633.0,712.0,88.9,237.0,286.0,82.9,53.0,70.0,75.7,9.0,6.4,6.1,2.6,38.0,56.0,34.0,0.0,114.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Casemiro,br BRA,MF,28.0,32.2,1630.0,1969.0,82.8,29223.0,8359.0,723.0,817.0,88.5,633.0,707.0,89.5,202.0,299.0,67.6,4.0,2.7,3.8,1.3,25.0,136.0,22.0,2.0,135.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Luka Modrić,hr CRO,MF,34.0,30.4,1979.0,2312.0,85.6,33585.0,10175.0,967.0,1049.0,92.2,655.0,746.0,87.8,243.0,325.0,74.8,3.0,4.6,5.4,-1.6,50.0,212.0,58.0,6.0,283.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Raphaël Varane,fr FRA,DF,27.0,30.2,1591.0,1778.0,89.5,32290.0,10299.0,464.0,504.0,92.1,906.0,959.0,94.5,200.0,272.0,73.5,0.0,0.3,0.3,-0.3,4.0,102.0,2.0,0.0,98.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Ferland Mendy,fr FRA,DF,25.0,24.5,1302.0,1466.0,88.8,18267.0,4613.0,781.0,820.0,95.2,386.0,443.0,87.1,68.0,92.0,73.9,0.0,0.9,2.1,-0.9,18.0,49.0,24.0,4.0,97.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Toni Kroos,de GER,MF,30.0,23.5,1934.0,2162.0,89.5,36054.0,11496.0,859.0,897.0,95.8,663.0,714.0,92.9,322.0,427.0,75.4,10.0,6.9,5.9,3.1,67.0,259.0,34.0,2.0,269.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Nacho,es ESP,DF,30.0,22.2,1124.0,1259.0,89.3,19368.0,7068.0,502.0,537.0,93.5,488.0,522.0,93.5,102.0,147.0,69.4,0.0,0.3,0.6,-0.3,4.0,76.0,4.0,2.0,72.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Vinicius Júnior,br BRA,FW,20.0,21.9,657.0,795.0,82.6,8053.0,1540.0,432.0,475.0,90.9,147.0,182.0,80.8,21.0,38.0,55.3,3.0,4.8,3.0,-1.8,33.0,15.0,29.0,3.0,54.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Real Madrid,Marco Asensio,es ESP,"FW,MF",24.0,20.8,798.0,1012.0,78.9,11651.0,2592.0,456.0,513.0,88.9,244.0,304.0,80.3,48.0,90.0,53.3,2.0,3.3,3.8,-1.3,33.0,40.0,31.0,9.0,82.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
