Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2020-2021,SeriaA,Inter,Samir Handanović,si SVN,GK,36.0,36.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Alessandro Bastoni,it ITA,DF,21.0,32.5,36.0,22.0,13.0,21.0,2.0,17.0,27.0,63.0,10.0,34.0,16.0,18.0,40.0,76.0,75.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Nicolò Barella,it ITA,MF,23.0,32.2,58.0,31.0,23.0,29.0,6.0,23.0,72.0,31.9,49.0,29.0,4.0,25.0,26.0,84.0,14.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Romelu Lukaku,be BEL,FW,27.0,32.0,11.0,1.0,1.0,6.0,4.0,6.0,14.0,42.9,8.0,11.0,1.0,10.0,3.0,14.0,34.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Milan Škriniar,sk SVK,DF,25.0,30.9,48.0,32.0,29.0,16.0,3.0,23.0,34.0,67.6,11.0,30.0,19.0,11.0,30.0,78.0,89.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Stefan de Vrij,nl NED,DF,28.0,30.4,28.0,16.0,15.0,12.0,1.0,15.0,24.0,62.5,9.0,24.0,18.0,6.0,41.0,69.0,95.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Lautaro Martínez,ar ARG,FW,22.0,28.5,25.0,12.0,5.0,11.0,9.0,7.0,24.0,29.2,17.0,31.0,1.0,30.0,27.0,52.0,16.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Achraf Hakimi,ma MAR,DF,21.0,29.6,53.0,32.0,23.0,19.0,11.0,23.0,48.0,47.9,25.0,31.0,1.0,30.0,22.0,75.0,23.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Marcelo Brozović,hr CRO,MF,27.0,28.7,54.0,29.0,23.0,24.0,7.0,20.0,61.0,32.8,41.0,43.0,17.0,26.0,40.0,94.0,38.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Ivan Perišić,hr CRO,"DF,FW",31.0,19.9,22.0,13.0,11.0,6.0,5.0,12.0,33.0,36.4,21.0,33.0,4.0,29.0,19.0,41.0,36.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Christian Eriksen,dk DEN,MF,28.0,15.4,12.0,6.0,6.0,4.0,2.0,7.0,20.0,35.0,13.0,16.0,1.0,15.0,9.0,21.0,13.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Ashley Young,eng ENG,DF,35.0,15.8,15.0,7.0,8.0,4.0,3.0,3.0,13.0,23.1,10.0,13.0,0.0,13.0,6.0,21.0,31.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Roberto Gagliardini,it ITA,MF,26.0,13.7,30.0,17.0,17.0,8.0,5.0,5.0,28.0,17.9,23.0,15.0,3.0,12.0,19.0,49.0,16.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Matteo Darmian,it ITA,DF,30.0,12.9,30.0,16.0,12.0,7.0,11.0,16.0,28.0,57.1,12.0,9.0,2.0,7.0,17.0,47.0,35.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Arturo Vidal,cl CHI,MF,33.0,12.6,27.0,14.0,8.0,13.0,6.0,12.0,41.0,29.3,29.0,23.0,3.0,20.0,29.0,56.0,11.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Alexis Sánchez,cl CHI,FW,31.0,12.7,14.0,8.0,4.0,4.0,6.0,5.0,18.0,27.8,13.0,11.0,0.0,11.0,7.0,21.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Andrea Ranocchia,it ITA,DF,32.0,7.8,13.0,10.0,6.0,6.0,1.0,7.0,8.0,87.5,1.0,5.0,3.0,2.0,12.0,25.0,19.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Danilo D'Ambrosio,it ITA,DF,31.0,7.8,15.0,9.0,6.0,7.0,2.0,6.0,15.0,40.0,9.0,9.0,7.0,2.0,4.0,19.0,15.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Stefano Sensi,it ITA,MF,24.0,6.7,9.0,6.0,3.0,5.0,1.0,4.0,11.0,36.4,7.0,6.0,1.0,5.0,7.0,16.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Aleksandar Kolarov,rs SRB,DF,34.0,4.3,4.0,4.0,0.0,4.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,7.0,11.0,8.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Matías Vecino,uy URU,MF,28.0,3.1,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,7.0,1.0,6.0,4.0,5.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Andrea Pinamonti,it ITA,FW,21.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Ionuț Radu,ro ROU,GK,23.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Radja Nainggolan,be BEL,MF,32.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Daniele Padelli,it ITA,GK,34.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Squad Total,,,27.7,38.0,506.0,286.0,214.0,206.0,86.0,213.0,527.0,40.4,314.0,383.0,102.0,281.0,371.0,877.0,582.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Inter,Opponent Total,,,26.9,38.0,455.0,264.0,238.0,164.0,53.0,193.0,453.0,42.6,260.0,414.0,126.0,288.0,414.0,869.0,693.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Gianluigi Donnarumma,it ITA,GK,21.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,23.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Franck Kessié,ci CIV,MF,23.0,35.8,53.0,30.0,28.0,19.0,6.0,20.0,38.0,52.6,18.0,47.0,15.0,32.0,46.0,99.0,51.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Theo Hernández,fr FRA,DF,22.0,32.6,48.0,29.0,22.0,21.0,5.0,19.0,38.0,50.0,19.0,29.0,6.0,23.0,34.0,82.0,64.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Davide Calabria,it ITA,DF,23.0,29.4,101.0,64.0,61.0,32.0,8.0,54.0,90.0,60.0,36.0,42.0,9.0,33.0,37.0,138.0,82.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Hakan Çalhanoğlu,tr TUR,"MF,FW",26.0,29.0,26.0,7.0,3.0,17.0,6.0,7.0,28.0,25.0,21.0,21.0,6.0,15.0,15.0,41.0,24.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Simon Kjær,dk DEN,DF,31.0,26.6,45.0,26.0,23.0,20.0,2.0,18.0,30.0,60.0,12.0,42.0,26.0,16.0,42.0,87.0,125.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Alexis Saelemaekers,be BEL,FW,21.0,22.4,43.0,26.0,20.0,18.0,5.0,19.0,60.0,31.7,41.0,29.0,1.0,28.0,25.0,68.0,6.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Rafael Leão,pt POR,FW,21.0,21.4,13.0,6.0,4.0,7.0,2.0,6.0,15.0,40.0,9.0,17.0,0.0,17.0,4.0,17.0,14.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Alessio Romagnoli,it ITA,DF,25.0,21.2,17.0,7.0,8.0,7.0,2.0,8.0,19.0,42.1,11.0,29.0,22.0,7.0,24.0,41.0,80.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Ante Rebić,hr CRO,FW,26.0,19.7,26.0,9.0,4.0,8.0,14.0,8.0,37.0,21.6,29.0,21.0,1.0,20.0,7.0,33.0,17.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Zlatan Ibrahimović,se SWE,FW,38.0,16.6,5.0,4.0,0.0,4.0,1.0,3.0,6.0,50.0,3.0,5.0,3.0,2.0,6.0,11.0,27.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Sandro Tonali,it ITA,MF,20.0,14.8,28.0,19.0,14.0,13.0,1.0,13.0,28.0,46.4,15.0,18.0,5.0,13.0,22.0,50.0,18.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Ismaël Bennacer,dz ALG,MF,22.0,14.7,39.0,18.0,17.0,21.0,1.0,15.0,32.0,46.9,17.0,10.0,1.0,9.0,20.0,59.0,12.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Fikayo Tomori,eng ENG,DF,22.0,16.3,28.0,18.0,17.0,9.0,2.0,8.0,14.0,57.1,6.0,32.0,20.0,12.0,18.0,46.0,61.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Brahim Díaz,es ESP,"MF,FW",20.0,13.6,18.0,10.0,7.0,7.0,4.0,10.0,23.0,43.5,13.0,10.0,0.0,10.0,2.0,20.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Samu Castillejo,es ESP,FW,25.0,13.1,24.0,12.0,9.0,14.0,1.0,14.0,40.0,35.0,26.0,21.0,0.0,21.0,6.0,30.0,9.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Diogo Dalot,pt POR,DF,21.0,12.1,32.0,17.0,23.0,6.0,3.0,17.0,34.0,50.0,17.0,18.0,5.0,13.0,25.0,57.0,42.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Pierre Kalulu,fr FRA,DF,20.0,8.1,18.0,14.0,11.0,6.0,1.0,10.0,14.0,71.4,4.0,9.0,3.0,6.0,19.0,37.0,20.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Matteo Gabbia,it ITA,DF,20.0,6.2,9.0,5.0,3.0,6.0,0.0,2.0,2.0,100.0,0.0,8.0,6.0,2.0,3.0,12.0,21.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Rade Krunić,ba BIH,"MF,FW",26.0,8.0,15.0,12.0,6.0,6.0,3.0,7.0,17.0,41.2,10.0,12.0,2.0,10.0,10.0,25.0,9.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Soualiho Meïté,fr FRA,MF,26.0,6.5,18.0,10.0,10.0,6.0,2.0,8.0,17.0,47.1,9.0,9.0,2.0,7.0,8.0,26.0,16.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Jens Petter Hauge,no NOR,FW,20.0,5.9,7.0,4.0,3.0,3.0,1.0,6.0,10.0,60.0,4.0,4.0,0.0,4.0,1.0,8.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Mario Mandžukić,hr CRO,FW,34.0,2.4,7.0,6.0,2.0,4.0,1.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Lorenzo Colombo,it ITA,FW,18.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Ciprian Tătărușanu,ro ROU,GK,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Mateo Musacchio,ar ARG,DF,29.0,0.4,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Daniel Maldini,it ITA,"FW,DF",18.0,0.3,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Andrea Conti,it ITA,DF,26.0,0.3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Léo Duarte,br BRA,DF,24.0,0.2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Squad Total,,,24.4,38.0,627.0,357.0,299.0,257.0,71.0,276.0,605.0,45.6,329.0,435.0,133.0,302.0,382.0,1009.0,732.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Milan,Opponent Total,,,27.4,38.0,553.0,297.0,285.0,193.0,75.0,254.0,669.0,38.0,415.0,422.0,147.0,275.0,417.0,970.0,711.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Marten de Roon,nl NED,MF,29.0,33.6,80.0,48.0,30.0,36.0,14.0,36.0,84.0,42.9,48.0,44.0,9.0,35.0,69.0,149.0,40.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Remo Freuler,ch SUI,MF,28.0,30.1,63.0,39.0,17.0,38.0,8.0,32.0,76.0,42.1,44.0,52.0,4.0,48.0,39.0,102.0,27.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Robin Gosens,de GER,DF,26.0,28.0,46.0,35.0,20.0,15.0,11.0,17.0,41.0,41.5,24.0,50.0,7.0,43.0,41.0,87.0,34.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Cristian Romero,ar ARG,DF,22.0,28.3,63.0,32.0,41.0,19.0,3.0,27.0,49.0,55.1,22.0,31.0,13.0,18.0,96.0,159.0,71.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Rafael Tolói,it ITA,DF,29.0,28.2,51.0,23.0,21.0,26.0,4.0,26.0,48.0,54.2,22.0,37.0,7.0,30.0,33.0,84.0,66.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Duván Zapata,co COL,FW,29.0,26.4,12.0,5.0,2.0,3.0,7.0,4.0,13.0,30.8,9.0,19.0,5.0,14.0,6.0,18.0,19.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,SeriaA,Atalanta,Berat Djimsiti,al ALB,DF,27.0,29.2,41.0,29.0,27.0,12.0,2.0,17.0,34.0,50.0,17.0,34.0,20.0,14.0,62.0,103.0,89.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
