Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2021-2022,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,32.0,34.0,2946.0,87.0,96.3,32.7,34.0,87.0,28.0,0.0,,0.0,2.26,92.0,36.0,56.0,1.71,-1.45,84.8,35.3,49.4,1.51,-1.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Thomas Müller,de GER,MF,31.0,32.0,2558.0,80.0,83.6,28.4,32.0,80.0,12.0,0.0,,0.0,2.31,87.0,31.0,56.0,1.97,1.25,74.9,29.8,45.1,1.59,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,35.0,28.0,2510.0,90.0,82.0,27.9,28.0,90.0,27.0,0.0,,1.0,2.5,87.0,26.0,61.0,2.19,2.35,77.2,26.7,50.5,1.81,1.45,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,26.0,28.0,2474.0,88.0,80.8,27.5,28.0,88.0,24.0,0.0,,0.0,2.21,80.0,32.0,48.0,1.75,-0.1,71.4,30.9,40.5,1.47,-0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Dayot Upamecano,fr FRA,DF,22.0,28.0,2211.0,79.0,72.3,24.6,25.0,86.0,23.0,3.0,17.0,4.0,2.39,63.0,27.0,36.0,1.47,-1.08,56.2,23.9,32.3,1.32,-0.84,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,DF",26.0,34.0,2185.0,64.0,71.4,24.3,25.0,78.0,10.0,9.0,26.0,0.0,2.26,69.0,28.0,41.0,1.69,-0.27,63.8,28.2,35.6,1.47,-0.29,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Lucas Hernández,fr FRA,DF,25.0,25.0,2030.0,81.0,66.3,22.6,25.0,81.0,14.0,0.0,,1.0,2.36,67.0,27.0,40.0,1.77,0.03,62.3,24.0,38.3,1.7,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,25.0,25.0,2076.0,83.0,67.8,23.1,24.0,86.0,18.0,1.0,22.0,3.0,2.28,57.0,25.0,32.0,1.39,-1.17,56.1,25.2,30.9,1.34,-0.65,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Leroy Sané,de GER,"FW,MF",25.0,32.0,1976.0,62.0,64.6,22.0,22.0,76.0,8.0,10.0,30.0,0.0,2.38,68.0,21.0,47.0,2.14,1.06,63.0,19.3,43.6,1.99,1.24,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,20.0,22.0,1740.0,79.0,56.9,19.3,20.0,83.0,14.0,2.0,37.0,0.0,2.32,59.0,21.0,38.0,1.97,0.47,49.9,20.3,29.6,1.53,-0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,25.0,28.0,1837.0,66.0,60.0,20.4,19.0,87.0,15.0,9.0,20.0,0.0,2.29,64.0,22.0,42.0,2.06,0.73,58.6,25.1,33.5,1.64,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
