Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,22.0,33.6,1139.0,1435.0,79.4,15413.0,2996.0,715.0,821.0,87.1,276.0,348.0,79.3,60.0,101.0,59.4,17.0,12.6,9.1,4.4,70.0,75.0,58.0,9.0,107.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Marquinhos,br BRA,DF,27.0,31.8,2241.0,2408.0,93.1,43015.0,15025.0,788.0,820.0,96.1,1190.0,1236.0,96.3,235.0,308.0,76.3,0.0,0.4,1.5,-0.4,7.0,145.0,9.0,0.0,128.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,25.0,28.6,2154.0,2254.0,95.6,35854.0,13217.0,977.0,1014.0,96.4,1018.0,1045.0,97.4,112.0,131.0,85.5,0.0,0.1,0.7,-0.1,2.0,133.0,6.0,2.0,170.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Achraf Hakimi,ma MAR,DF,22.0,27.5,1626.0,1830.0,88.9,22142.0,5722.0,991.0,1064.0,93.1,505.0,564.0,89.5,45.0,59.0,76.3,6.0,4.1,5.0,1.9,31.0,61.0,34.0,7.0,99.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Lionel Messi,ar ARG,"FW,MF",34.0,23.9,1400.0,1657.0,84.5,21648.0,7365.0,762.0,844.0,90.3,450.0,512.0,87.9,113.0,154.0,73.4,14.0,8.8,9.0,5.2,63.0,217.0,82.0,3.0,291.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,28.0,21.5,1957.0,2151.0,91.0,29628.0,8834.0,1071.0,1133.0,94.5,680.0,725.0,93.8,120.0,152.0,78.9,2.0,2.3,3.8,-0.3,31.0,193.0,42.0,1.0,193.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Danilo Pereira,pt POR,MF,29.0,22.6,1464.0,1548.0,94.6,24384.0,7069.0,658.0,686.0,95.9,658.0,685.0,96.1,96.0,111.0,86.5,0.0,0.4,0.9,-0.4,6.0,97.0,4.0,0.0,111.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Neymar,br BRA,"FW,MF",29.0,20.6,1033.0,1314.0,78.6,14291.0,4445.0,639.0,736.0,86.8,252.0,318.0,79.2,63.0,110.0,57.3,6.0,7.5,5.6,-1.5,61.0,118.0,42.0,3.0,146.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Keylor Navas,cr CRC,GK,34.0,20.6,501.0,547.0,91.6,10820.0,7312.0,139.0,140.0,99.3,268.0,270.0,99.3,92.0,134.0,68.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Ligue1,Paris S-G,Ángel Di María,ar ARG,FW,33.0,18.3,881.0,1182.0,74.5,14089.0,3752.0,473.0,548.0,86.3,277.0,365.0,75.9,84.0,157.0,53.5,7.0,7.0,7.7,0.0,54.0,69.0,43.0,14.0,112.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
