Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_h,C_h.1,C_h.2,C_h.3,B_l,B_l.1,B_l.2,U_n.5,U_n.6,U_n.7,U_n.8,U_n.9
2022-2023,Ligue1,Paris S-G,Gianluigi Donnarumma,it ITA,GK,23.0,37.9,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Lionel Messi,ar ARG,"FW,MF",35.0,31.5,26.0,18.0,1.0,13.0,12.0,11.0,27.0,40.7,16.0,11.0,0.0,11.0,2.0,28.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,23.0,31.3,10.0,4.0,0.0,5.0,5.0,5.0,16.0,31.3,11.0,5.0,0.0,5.0,5.0,15.0,6.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Sergio Ramos,es ESP,DF,36.0,30.0,34.0,26.0,14.0,18.0,2.0,23.0,44.0,52.3,21.0,29.0,13.0,16.0,34.0,68.0,93.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Marquinhos,br BRA,DF,28.0,30.2,33.0,25.0,18.0,12.0,3.0,18.0,26.0,69.2,8.0,43.0,27.0,16.0,23.0,56.0,83.0,2.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Vitinha,pt POR,MF,22.0,27.2,58.0,25.0,21.0,27.0,10.0,27.0,83.0,32.5,56.0,27.0,4.0,23.0,25.0,83.0,15.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Danilo Pereira,pt POR,"DF,MF",30.0,26.8,32.0,17.0,15.0,14.0,3.0,19.0,26.0,73.1,7.0,26.0,19.0,7.0,36.0,68.0,59.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,29.0,24.4,76.0,49.0,34.0,36.0,6.0,38.0,89.0,42.7,51.0,42.0,6.0,36.0,27.0,103.0,11.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Achraf Hakimi,ma MAR,"DF,MF",23.0,22.8,54.0,34.0,19.0,20.0,15.0,31.0,59.0,52.5,28.0,34.0,2.0,32.0,16.0,70.0,19.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Fabián Ruiz Peña,es ESP,MF,26.0,21.0,62.0,28.0,25.0,30.0,7.0,43.0,79.0,54.4,36.0,24.0,1.0,23.0,18.0,80.0,23.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",29.0,18.3,32.0,16.0,18.0,9.0,5.0,21.0,39.0,53.8,18.0,11.0,2.0,9.0,9.0,41.0,22.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Nuno Mendes,pt POR,DF,20.0,17.2,45.0,30.0,29.0,12.0,4.0,30.0,41.0,73.2,11.0,19.0,3.0,16.0,17.0,62.0,18.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",30.0,17.2,22.0,14.0,6.0,9.0,7.0,9.0,19.0,47.4,10.0,7.0,1.0,6.0,4.0,26.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Carlos Soler,es ESP,MF,25.0,13.2,20.0,12.0,6.0,10.0,4.0,10.0,19.0,52.6,9.0,12.0,4.0,8.0,4.0,24.0,6.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Hugo Ekitike,fr FRA,FW,20.0,12.8,12.0,4.0,1.0,10.0,1.0,4.0,12.0,33.3,8.0,12.0,0.0,12.0,9.0,21.0,3.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Nordi Mukiele,fr FRA,DF,24.0,12.6,31.0,23.0,16.0,6.0,9.0,19.0,29.0,65.5,10.0,22.0,9.0,13.0,14.0,45.0,16.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
