Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2022-2023,Ligue1,Paris S-G,Gianluigi Donnarumma,it ITA,GK,23.0,37.9,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,44.0,7.0,1.0,87.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Lionel Messi,ar ARG,"FW,MF",35.0,31.5,0.0,0.0,0.0,8.0,36.0,6.0,91.0,2.0,18.0,0.0,0.0,0.0,,75.0,1.0,3.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,23.0,31.3,6.0,0.0,0.0,19.0,40.0,33.0,47.0,5.0,4.0,1.0,0.0,0.0,,54.0,8.0,5.0,61.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Sergio Ramos,es ESP,DF,36.0,30.0,3.0,1.0,0.0,36.0,24.0,4.0,13.0,34.0,26.0,1.0,0.0,0.0,,173.0,55.0,34.0,61.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Marquinhos,br BRA,DF,28.0,30.2,4.0,0.0,0.0,14.0,10.0,0.0,1.0,23.0,25.0,0.0,0.0,1.0,,155.0,35.0,27.0,56.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Vitinha,pt POR,MF,22.0,27.2,3.0,0.0,0.0,31.0,19.0,0.0,13.0,25.0,25.0,0.0,0.0,0.0,,164.0,5.0,4.0,55.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Danilo Pereira,pt POR,"DF,MF",30.0,26.8,3.0,0.0,0.0,17.0,14.0,1.0,3.0,36.0,17.0,0.0,0.0,0.0,,184.0,34.0,22.0,60.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,29.0,24.4,10.0,1.0,0.0,36.0,53.0,0.0,7.0,27.0,49.0,0.0,1.0,0.0,,175.0,11.0,13.0,45.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Achraf Hakimi,ma MAR,"DF,MF",23.0,22.8,7.0,2.0,1.0,29.0,19.0,5.0,42.0,16.0,34.0,1.0,0.0,0.0,,129.0,7.0,7.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Fabián Ruiz Peña,es ESP,MF,26.0,21.0,0.0,0.0,0.0,19.0,13.0,4.0,13.0,18.0,28.0,0.0,1.0,0.0,,157.0,5.0,7.0,41.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",29.0,18.3,1.0,0.0,0.0,7.0,8.0,0.0,16.0,9.0,16.0,0.0,0.0,0.0,,86.0,6.0,10.0,37.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Nuno Mendes,pt POR,DF,20.0,17.2,2.0,0.0,0.0,25.0,34.0,5.0,30.0,17.0,30.0,0.0,0.0,0.0,,98.0,10.0,6.0,62.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",30.0,17.2,6.0,1.0,1.0,25.0,65.0,5.0,54.0,4.0,14.0,1.0,0.0,0.0,,63.0,1.0,2.0,33.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Carlos Soler,es ESP,MF,25.0,13.2,0.0,0.0,0.0,18.0,14.0,0.0,22.0,4.0,12.0,1.0,0.0,0.0,,67.0,1.0,6.0,14.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Hugo Ekitike,fr FRA,FW,20.0,12.8,0.0,0.0,0.0,15.0,13.0,7.0,2.0,9.0,4.0,0.0,0.0,0.0,,42.0,8.0,12.0,40.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Nordi Mukiele,fr FRA,DF,24.0,12.6,0.0,0.0,0.0,16.0,14.0,2.0,16.0,14.0,23.0,0.0,0.0,0.0,,61.0,21.0,10.0,67.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,26.0,8.1,3.0,0.0,0.0,22.0,9.0,1.0,0.0,13.0,8.0,0.0,1.0,0.0,,38.0,13.0,8.0,61.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Warren Zaire-Emery,fr FRA,"MF,DF",16.0,10.3,1.0,0.0,0.0,9.0,5.0,2.0,4.0,12.0,10.0,0.0,1.0,0.0,,54.0,3.0,11.0,21.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Renato Sanches,pt POR,MF,24.0,8.0,1.0,0.0,0.0,22.0,10.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,,52.0,5.0,4.0,55.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,El Chadaille Bitshiabu,fr FRA,DF,17.0,6.5,2.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,,41.0,6.0,4.0,60.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Timothee Pembele,fr FRA,DF,19.0,2.9,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,,5.0,3.0,3.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Pablo Sarabia,es ESP,"FW,MF",30.0,4.1,1.0,0.0,0.0,4.0,5.0,2.0,16.0,2.0,4.0,0.0,0.0,0.0,,16.0,0.0,2.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Ismaël Gharbi,es ESP,"MF,FW",18.0,0.6,1.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Leandro Paredes,ar ARG,MF,28.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Ilyes Housni,fr FRA,FW,17.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Alexandre Letellier,fr FRA,GK,31.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Squad Total,,,26.9,38.0,57.0,5.0,2.0,380.0,416.0,77.0,399.0,296.0,362.0,5.0,5.0,1.0,,1938.0,245.0,201.0,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Paris S-G,Opponent Total,,,26.1,38.0,50.0,4.0,0.0,442.0,358.0,56.0,520.0,437.0,486.0,3.0,7.0,3.0,,1944.0,201.0,245.0,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Lens,Brice Samba,fr FRA,GK,28.0,37.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.0,8.0,2.0,80.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Lens,Kevin Danso,at AUT,DF,23.0,35.9,7.0,1.0,0.0,39.0,57.0,2.0,0.0,33.0,19.0,1.0,2.0,0.0,,224.0,82.0,32.0,71.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Lens,Seko Fofana,ci CIV,MF,27.0,34.1,2.0,0.0,0.0,22.0,44.0,3.0,54.0,19.0,13.0,1.0,0.0,0.0,,196.0,22.0,15.0,59.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Lens,Florian Sotoca,fr FRA,"MF,FW",31.0,33.9,4.0,0.0,0.0,37.0,44.0,9.0,99.0,29.0,19.0,1.0,0.0,0.0,,124.0,56.0,45.0,55.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Ligue1,Lens,Salis Abdul Samed,gh GHA,MF,22.0,32.2,6.0,1.0,0.0,71.0,38.0,0.0,10.0,36.0,26.0,0.0,0.0,1.0,,213.0,14.0,17.0,45.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
