h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.57,1.198,2.57,1.198,"{'att': 231, 'def': 24}","{'att': 437, 'def': 20}",5,4,2,1,2.349,w,2014-08-22 19:30:00,1,0,0,3,1.372
a,1.503,1.308,1.503,1.308,"{'att': 195, 'def': 41}","{'att': 407, 'def': 23}",10,1,1,1,1.514,d,2014-08-30 17:30:00,0,1,0,1,0.195
h,1.23,0.31,1.23,0.31,"{'att': 167, 'def': 33}","{'att': 441, 'def': 26}",13,3,2,0,2.159,w,2014-09-13 14:30:00,1,0,0,3,0.92
a,1.035,0.203,1.035,0.203,"{'att': 115, 'def': 26}","{'att': 444, 'def': 47}",6,2,0,0,2.137,d,2014-09-20 14:30:00,0,1,0,1,0.832
h,3.483,0.403,3.483,0.403,"{'att': 170, 'def': 40}","{'att': 448, 'def': 10}",23,2,4,0,2.929,w,2014-09-23 19:00:00,1,0,0,3,3.08
a,3.47,0.822,3.47,0.822,"{'att': 136, 'def': 25}","{'att': 485, 'def': 11}",27,0,2,0,2.814,w,2014-09-27 14:30:00,1,0,0,3,2.648
h,2.699,0.443,2.699,0.443,"{'att': 187, 'def': 17}","{'att': 419, 'def': 8}",14,5,4,0,2.733,w,2014-10-04 14:30:00,1,0,0,3,2.256
h,2.498,0.0,1.74,0.0,"{'att': 109, 'def': 30}","{'att': 432, 'def': 15}",16,0,6,0,2.939,w,2014-10-18 14:30:00,1,0,0,3,1.74
a,1.205,0.648,1.205,0.648,"{'att': 126, 'def': 20}","{'att': 376, 'def': 14}",5,7,0,0,1.835,d,2014-10-26 16:30:00,0,1,0,1,0.556
h,2.644,0.943,1.886,0.943,"{'att': 192, 'def': 31}","{'att': 402, 'def': 30}",11,3,2,1,2.496,w,2014-11-01 17:30:00,1,0,0,3,0.943
a,3.035,0.222,3.035,0.222,"{'att': 153, 'def': 25}","{'att': 408, 'def': 49}",13,1,4,0,2.961,w,2014-11-08 14:30:00,1,0,0,3,2.812
h,2.087,1.38,2.087,1.38,"{'att': 147, 'def': 25}","{'att': 342, 'def': 38}",12,6,4,0,1.86,w,2014-11-22 14:30:00,1,0,0,3,0.706
a,1.94,0.256,1.94,0.256,"{'att': 111, 'def': 26}","{'att': 515, 'def': 25}",19,1,1,0,2.624,w,2014-11-29 14:30:00,1,0,0,3,1.684
h,0.947,0.389,0.947,0.389,"{'att': 158, 'def': 22}","{'att': 375, 'def': 32}",3,1,1,0,1.904,w,2014-12-06 17:30:00,1,0,0,3,0.558
a,2.219,0.286,2.219,0.286,"{'att': 130, 'def': 23}","{'att': 477, 'def': 32}",13,0,4,0,2.673,w,2014-12-13 14:30:00,1,0,0,3,1.933
h,2.984,0.05,2.984,0.05,"{'att': 104, 'def': 27}","{'att': 459, 'def': 5}",32,1,2,0,2.984,w,2014-12-16 19:00:00,1,0,0,3,2.934
a,0.831,0.49,0.831,0.49,"{'att': 160, 'def': 38}","{'att': 416, 'def': 22}",7,1,2,1,1.633,w,2014-12-19 19:30:00,1,0,0,3,0.341
a,1.916,2.182,1.916,2.182,"{'att': 161, 'def': 33}","{'att': 414, 'def': 30}",12,3,1,4,1.169,l,2015-01-30 19:30:00,0,0,1,0,-0.266
h,0.377,0.995,0.377,0.237,"{'att': 219, 'def': 22}","{'att': 380, 'def': 30}",5,1,1,1,0.592,d,2015-02-03 19:00:00,0,1,0,1,0.14
a,0.098,0.132,0.098,0.132,"{'att': 50, 'def': 12}","{'att': 285, 'def': 11}",1,1,2,0,1.055,w,2015-02-07 14:30:00,1,0,0,3,-0.035
h,4.179,0.231,3.421,0.231,"{'att': 179, 'def': 24}","{'att': 562, 'def': 22}",11,0,8,0,2.986,w,2015-02-14 14:30:00,1,0,0,3,3.19
a,3.128,0.38,2.37,0.38,"{'att': 138, 'def': 33}","{'att': 503, 'def': 15}",15,1,6,0,2.906,w,2015-02-21 14:30:00,1,0,0,3,1.99
h,3.923,0.494,3.923,0.494,"{'att': 110, 'def': 18}","{'att': 443, 'def': 10}",19,1,4,1,2.954,w,2015-02-27 19:30:00,1,0,0,3,3.429
a,1.336,0.206,0.578,0.206,"{'att': 86, 'def': 21}","{'att': 445, 'def': 11}",3,0,3,1,2.508,w,2015-03-07 14:30:00,1,0,0,3,0.372
a,2.184,0.29,2.184,0.29,"{'att': 104, 'def': 22}","{'att': 418, 'def': 34}",10,3,4,0,2.785,w,2015-03-14 14:30:00,1,0,0,3,1.894
h,0.707,0.604,0.707,0.604,"{'att': 237, 'def': 33}","{'att': 473, 'def': 10}",13,3,0,2,1.374,l,2015-03-22 16:30:00,0,0,1,0,0.103
a,0.759,0.519,0.759,0.519,"{'att': 259, 'def': 34}","{'att': 330, 'def': 48}",3,8,1,0,1.604,w,2015-04-04 17:30:00,1,0,0,3,0.24
h,2.152,0.244,2.152,0.244,"{'att': 281, 'def': 32}","{'att': 474, 'def': 22}",19,1,3,0,2.838,w,2015-04-11 14:30:00,1,0,0,3,1.908
a,1.525,0.669,1.525,0.669,"{'att': 176, 'def': 36}","{'att': 394, 'def': 26}",14,3,2,0,2.064,w,2015-04-18 14:30:00,1,0,0,3,0.856
h,0.897,0.952,0.897,0.952,"{'att': 87, 'def': 24}","{'att': 380, 'def': 19}",8,2,1,0,1.214,w,2015-04-25 17:30:00,1,0,0,3,-0.055
a,1.209,1.12,1.209,1.12,"{'att': 117, 'def': 24}","{'att': 329, 'def': 65}",1,8,0,2,1.466,l,2015-05-02 17:30:00,0,0,1,0,0.089
h,1.178,2.583,1.178,1.825,"{'att': 151, 'def': 31}","{'att': 392, 'def': 17}",11,5,0,1,0.457,l,2015-05-09 14:30:00,0,0,1,0,-0.647
a,1.92,0.656,1.92,0.656,"{'att': 93, 'def': 21}","{'att': 500, 'def': 20}",4,3,1,2,2.359,l,2015-05-16 14:30:00,0,0,1,0,1.264
h,2.341,0.329,1.584,0.329,"{'att': 124, 'def': 20}","{'att': 508, 'def': 19}",10,2,2,0,2.74,w,2015-05-23 14:30:00,1,0,0,3,1.255
