h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.753,1.381,1.753,1.381,"{'att': 305, 'def': 29}","{'att': 149, 'def': 43}",3,13,1,0,1.647,w,2014-08-23 14:30:00,1,0,0,3,0.372
a,1.596,1.005,1.596,1.005,"{'att': 357, 'def': 28}","{'att': 174, 'def': 35}",2,4,2,2,1.877,d,2014-08-30 14:30:00,0,1,0,1,0.591
h,0.846,1.0,0.846,1.0,"{'att': 140, 'def': 23}","{'att': 202, 'def': 33}",4,3,0,1,1.198,l,2014-09-14 14:30:00,0,0,1,0,-0.154
a,0.835,1.78,0.835,1.022,"{'att': 327, 'def': 20}","{'att': 219, 'def': 23}",2,4,2,2,0.608,d,2014-09-20 14:30:00,0,1,0,1,-0.187
h,1.451,1.098,1.451,1.098,"{'att': 242, 'def': 26}","{'att': 251, 'def': 32}",11,4,2,2,1.602,d,2014-09-23 19:00:00,0,1,0,1,0.353
a,0.233,1.093,0.233,1.093,"{'att': 328, 'def': 40}","{'att': 114, 'def': 29}",2,6,2,1,0.531,w,2014-09-28 16:30:00,1,0,0,3,-0.86
h,2.499,1.124,2.499,1.124,"{'att': 312, 'def': 23}","{'att': 321, 'def': 25}",5,4,3,2,2.296,w,2014-10-04 17:30:00,1,0,0,3,1.375
a,0.559,2.376,0.559,2.376,"{'att': 243, 'def': 28}","{'att': 274, 'def': 28}",6,7,1,3,0.231,l,2014-10-19 16:30:00,0,0,1,0,-1.817
h,2.98,3.134,2.98,3.134,"{'att': 188, 'def': 27}","{'att': 213, 'def': 30}",9,5,4,5,1.285,l,2014-10-25 14:30:00,0,0,1,0,-0.155
a,0.353,1.117,0.353,1.117,"{'att': 319, 'def': 26}","{'att': 169, 'def': 26}",5,5,0,1,0.633,l,2014-11-01 14:30:00,0,0,1,0,-0.764
h,0.222,3.035,0.222,3.035,"{'att': 408, 'def': 49}","{'att': 153, 'def': 25}",1,13,0,4,0.021,l,2014-11-08 14:30:00,0,0,1,0,-2.812
a,1.74,0.595,1.74,0.595,"{'att': 300, 'def': 32}","{'att': 200, 'def': 17}",10,11,3,1,2.255,w,2014-11-22 14:30:00,1,0,0,3,1.144
h,2.219,0.77,2.219,0.77,"{'att': 241, 'def': 29}","{'att': 208, 'def': 28}",4,9,2,0,2.42,w,2014-11-30 16:30:00,1,0,0,3,1.449
h,3.834,1.442,3.834,1.442,"{'att': 156, 'def': 33}","{'att': 186, 'def': 24}",8,7,5,2,2.701,w,2014-12-07 16:30:00,1,0,0,3,2.391
