h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.529,0.281,1.529,0.281,"{'att': 224, 'def': 34}","{'att': 132, 'def': 23}",6,2,2,0,2.513,w,2014-08-23 14:30:00,1,0,0,3,1.248
a,1.299,2.514,1.299,2.514,"{'att': 188, 'def': 41}","{'att': 176, 'def': 36}",2,5,1,1,0.545,d,2014-08-30 14:30:00,0,1,0,1,-1.215
h,1.158,1.636,1.158,1.636,"{'att': 246, 'def': 39}","{'att': 183, 'def': 15}",10,6,1,1,0.994,d,2014-09-13 14:30:00,0,1,0,1,-0.477
a,1.15,1.33,1.15,1.33,"{'att': 322, 'def': 31}","{'att': 124, 'def': 34}",5,9,2,0,1.235,w,2014-09-20 14:30:00,1,0,0,3,-0.18
h,1.815,2.449,1.815,1.691,"{'att': 148, 'def': 35}","{'att': 259, 'def': 23}",5,3,3,3,0.859,d,2014-09-23 19:00:00,0,1,0,1,0.124
a,1.087,0.614,1.087,0.614,"{'att': 332, 'def': 29}","{'att': 192, 'def': 21}",2,5,0,0,1.766,d,2014-09-26 19:30:00,0,1,0,1,0.472
h,3.229,0.847,3.229,0.847,"{'att': 358, 'def': 38}","{'att': 203, 'def': 18}",9,7,2,1,2.729,w,2014-10-04 14:30:00,1,0,0,3,2.381
a,1.559,1.824,1.559,1.824,"{'att': 279, 'def': 35}","{'att': 145, 'def': 28}",3,6,1,1,1.155,d,2014-10-19 14:30:00,0,1,0,1,-0.265
h,1.504,0.673,0.746,0.673,"{'att': 204, 'def': 40}","{'att': 235, 'def': 19}",6,4,1,0,2.124,w,2014-10-25 14:30:00,1,0,0,3,0.072
a,0.647,2.463,0.647,2.463,"{'att': 255, 'def': 31}","{'att': 322, 'def': 32}",5,10,1,3,0.263,l,2014-11-02 14:30:00,0,0,1,0,-1.816
h,1.2,1.307,1.2,1.307,"{'att': 149, 'def': 26}","{'att': 361, 'def': 15}",11,2,3,4,1.192,l,2014-11-08 14:30:00,0,0,1,0,-0.107
a,1.38,2.087,1.38,2.087,"{'att': 342, 'def': 38}","{'att': 147, 'def': 25}",6,12,0,4,0.903,l,2014-11-22 14:30:00,0,0,1,0,-0.706
h,1.996,1.811,1.996,1.811,"{'att': 295, 'def': 44}","{'att': 115, 'def': 34}",7,7,4,3,1.505,w,2014-11-29 17:30:00,1,0,0,3,0.185
a,0.203,1.581,0.203,1.581,"{'att': 230, 'def': 28}","{'att': 241, 'def': 41}",0,9,0,1,0.289,l,2014-12-05 19:30:00,0,0,1,0,-1.378
h,3.33,2.428,3.33,2.428,"{'att': 223, 'def': 36}","{'att': 168, 'def': 29}",10,12,3,2,1.987,w,2014-12-12 19:30:00,1,0,0,3,0.902
h,0.443,2.179,0.443,2.179,"{'att': 195, 'def': 45}","{'att': 114, 'def': 29}",4,13,0,1,0.246,l,2014-12-17 19:00:00,0,0,1,0,-1.736
a,3.629,0.706,2.113,0.706,"{'att': 185, 'def': 38}","{'att': 222, 'def': 33}",7,6,5,0,2.936,w,2014-12-21 14:30:00,1,0,0,3,1.407
