h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.42,0.185,2.42,0.185,"{'att': 321, 'def': 28}","{'att': 385, 'def': 19}",7,1,4,0,2.841,w,2015-08-15 20:30:00,1,0,0,3,2.235
a,3.634,0.051,2.876,0.051,"{'att': 122, 'def': 28}","{'att': 297, 'def': 32}",15,1,4,0,2.978,w,2015-08-23 17:30:00,1,0,0,3,2.825
h,3.732,0.634,3.732,0.634,"{'att': 184, 'def': 34}","{'att': 307, 'def': 21}",10,1,3,1,2.926,w,2015-08-30 17:30:00,1,0,0,3,3.099
a,2.169,0.583,0.654,0.583,"{'att': 120, 'def': 20}","{'att': 323, 'def': 12}",18,1,4,2,2.619,w,2015-09-12 17:30:00,1,0,0,3,0.071
h,4.082,0.928,3.324,0.928,"{'att': 214, 'def': 37}","{'att': 309, 'def': 37}",14,5,3,0,2.886,w,2015-09-20 19:30:00,1,0,0,3,2.396
a,1.64,1.187,1.64,1.187,"{'att': 121, 'def': 25}","{'att': 420, 'def': 27}",11,4,1,1,1.723,d,2015-09-23 22:00:00,0,1,0,1,0.453
h,1.971,0.509,1.971,0.509,"{'att': 96, 'def': 26}","{'att': 368, 'def': 29}",17,1,2,2,2.516,d,2015-09-27 19:30:00,0,1,0,1,1.462
a,1.105,3.722,1.105,2.964,"{'att': 371, 'def': 28}","{'att': 264, 'def': 31}",3,11,1,5,0.116,l,2015-10-04 19:30:00,0,0,1,0,-1.859
a,3.642,1.552,2.865,1.552,"{'att': 307, 'def': 35}","{'att': 219, 'def': 41}",12,9,2,0,2.605,w,2015-10-16 22:30:00,1,0,0,3,1.314
h,4.211,0.294,4.211,0.294,"{'att': 218, 'def': 22}","{'att': 331, 'def': 30}",18,3,5,1,2.991,w,2015-10-25 18:30:00,1,0,0,3,3.917
a,3.359,0.983,3.359,0.983,"{'att': 149, 'def': 36}","{'att': 525, 'def': 25}",12,5,3,1,2.781,w,2015-10-31 18:30:00,1,0,0,3,2.376
h,2.148,1.371,2.148,1.371,"{'att': 259, 'def': 25}","{'att': 374, 'def': 22}",12,3,3,2,1.954,w,2015-11-08 18:30:00,1,0,0,3,0.776
a,2.314,1.471,2.314,0.714,"{'att': 125, 'def': 28}","{'att': 379, 'def': 32}",10,2,1,3,1.984,l,2015-11-20 23:45:00,0,0,1,0,1.6
h,2.124,0.701,2.124,0.701,"{'att': 145, 'def': 23}","{'att': 481, 'def': 28}",6,5,4,1,2.38,w,2015-11-29 18:30:00,1,0,0,3,1.424
a,2.589,1.786,2.589,1.028,"{'att': 271, 'def': 25}","{'att': 211, 'def': 17}",5,5,2,1,2.002,w,2015-12-05 21:30:00,1,0,0,3,1.56
h,6.029,0.133,5.272,0.133,"{'att': 163, 'def': 21}","{'att': 328, 'def': 9}",22,0,4,1,3.0,w,2015-12-13 20:30:00,1,0,0,3,5.139
a,0.751,0.77,0.751,0.77,"{'att': 122, 'def': 23}","{'att': 380, 'def': 25}",9,6,1,2,1.28,l,2015-12-19 18:30:00,0,0,1,0,-0.019
a,2.604,0.97,2.604,0.97,"{'att': 287, 'def': 35}","{'att': 260, 'def': 28}",13,9,3,1,2.48,w,2016-01-23 21:30:00,1,0,0,3,1.634
h,2.195,0.145,2.195,0.145,"{'att': 103, 'def': 30}","{'att': 292, 'def': 37}",5,1,2,0,2.824,w,2016-01-30 18:30:00,1,0,0,3,2.049
a,0.391,0.881,0.391,0.881,"{'att': 185, 'def': 34}","{'att': 400, 'def': 17}",7,3,0,0,0.817,d,2016-02-06 18:30:00,0,1,0,1,-0.49
h,1.239,0.212,1.239,0.212,"{'att': 184, 'def': 39}","{'att': 537, 'def': 9}",5,2,1,0,2.34,w,2016-02-13 18:30:00,1,0,0,3,1.027
a,1.258,0.788,1.258,0.788,"{'att': 209, 'def': 28}","{'att': 241, 'def': 39}",5,8,1,0,1.806,w,2016-02-21 18:30:00,1,0,0,3,0.47
h,2.474,0.881,2.474,0.881,"{'att': 139, 'def': 21}","{'att': 503, 'def': 22}",13,6,3,1,2.442,w,2016-02-28 20:30:00,1,0,0,3,1.593
a,3.362,0.422,3.362,0.422,"{'att': 100, 'def': 26}","{'att': 385, 'def': 31}",13,4,2,0,2.904,w,2016-03-02 23:00:00,1,0,0,3,2.94
h,0.75,1.15,0.75,1.15,"{'att': 438, 'def': 17}","{'att': 242, 'def': 36}",6,4,0,0,1.008,d,2016-03-05 21:30:00,0,1,0,1,-0.4
h,3.954,0.137,3.954,0.137,"{'att': 215, 'def': 16}","{'att': 461, 'def': 30}",16,0,2,0,2.978,w,2016-03-13 20:30:00,1,0,0,3,3.818
a,1.525,1.018,1.525,1.018,"{'att': 143, 'def': 13}","{'att': 633, 'def': 25}",13,4,3,1,1.774,w,2016-03-20 20:30:00,1,0,0,3,0.508
h,2.843,0.436,2.843,0.436,"{'att': 155, 'def': 31}","{'att': 422, 'def': 20}",14,4,3,2,2.779,w,2016-04-02 20:30:00,1,0,0,3,2.407
a,1.698,1.233,1.698,0.475,"{'att': 258, 'def': 23}","{'att': 188, 'def': 35}",9,6,2,2,1.721,d,2016-04-10 17:30:00,0,1,0,1,1.223
h,1.908,0.617,1.908,0.617,"{'att': 191, 'def': 25}","{'att': 392, 'def': 26}",11,2,3,0,2.429,w,2016-04-17 17:30:00,1,0,0,3,1.291
a,3.535,0.479,3.535,0.479,"{'att': 261, 'def': 22}","{'att': 367, 'def': 55}",14,3,3,0,2.907,w,2016-04-23 17:30:00,1,0,0,3,3.056
h,3.137,0.643,3.137,0.643,"{'att': 241, 'def': 33}","{'att': 445, 'def': 25}",20,1,5,1,2.775,w,2016-04-30 17:30:00,1,0,0,3,2.494
a,1.467,0.697,1.467,0.697,"{'att': 46, 'def': 19}","{'att': 457, 'def': 12}",11,3,0,1,2.03,l,2016-05-07 17:30:00,0,0,1,0,0.77
h,1.15,1.609,1.15,1.609,"{'att': 86, 'def': 23}","{'att': 477, 'def': 7}",11,3,2,2,0.979,d,2016-05-14 17:30:00,0,1,0,1,-0.458
