h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.453,0.711,0.453,0.711,"{'att': 297, 'def': 30}","{'att': 241, 'def': 14}",4,2,0,2,1.04,l,2016-08-27 17:30:00,0,0,1,0,-0.258
a,1.66,1.629,1.66,0.872,"{'att': 203, 'def': 37}","{'att': 198, 'def': 26}",4,7,2,1,1.372,w,2016-09-11 17:30:00,1,0,0,3,0.788
h,0.829,1.544,0.829,1.544,"{'att': 181, 'def': 34}","{'att': 224, 'def': 24}",2,3,1,3,0.716,l,2016-09-18 17:30:00,0,0,1,0,-0.715
a,0.231,2.034,0.231,1.276,"{'att': 408, 'def': 30}","{'att': 118, 'def': 25}",0,15,0,0,0.155,d,2016-09-21 22:00:00,0,1,0,1,-1.045
h,1.955,0.13,1.955,0.13,"{'att': 115, 'def': 23}","{'att': 386, 'def': 22}",8,3,1,0,2.686,w,2016-09-24 17:30:00,1,0,0,3,1.825
a,0.314,1.043,0.314,1.043,"{'att': 324, 'def': 33}","{'att': 265, 'def': 38}",2,7,1,2,0.661,l,2016-09-30 22:30:00,0,0,1,0,-0.729
h,0.414,0.734,0.414,0.734,"{'att': 255, 'def': 33}","{'att': 241, 'def': 27}",2,3,1,1,0.972,d,2016-10-15 17:30:00,0,1,0,1,-0.319
a,1.23,1.531,1.23,1.531,"{'att': 317, 'def': 21}","{'att': 256, 'def': 19}",4,9,1,2,1.045,l,2016-10-22 17:30:00,0,0,1,0,-0.301
h,0.725,3.473,0.725,3.473,"{'att': 506, 'def': 25}","{'att': 162, 'def': 26}",3,11,1,3,0.091,l,2016-10-29 17:30:00,0,0,1,0,-2.748
a,1.158,0.587,1.158,0.587,"{'att': 164, 'def': 16}","{'att': 203, 'def': 23}",4,5,2,0,1.9,w,2016-11-05 18:30:00,1,0,0,3,0.571
h,1.1,1.422,1.1,1.422,"{'att': 358, 'def': 20}","{'att': 207, 'def': 21}",2,2,0,0,1.052,d,2016-11-19 18:30:00,0,1,0,1,-0.321
a,0.508,1.387,0.508,1.387,"{'att': 376, 'def': 23}","{'att': 153, 'def': 22}",2,4,0,0,0.621,d,2016-11-26 18:30:00,0,1,0,1,-0.878
