h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.475,1.156,2.475,1.156,"{'att': 276, 'def': 25}","{'att': 133, 'def': 21}",7,7,2,2,2.278,d,2016-08-28 19:30:00,0,1,0,1,1.319
h,0.951,0.482,0.951,0.482,"{'att': 363, 'def': 34}","{'att': 139, 'def': 19}",7,10,1,0,1.834,w,2016-09-10 20:30:00,1,0,0,3,0.468
a,3.3,1.081,2.542,1.081,"{'att': 307, 'def': 31}","{'att': 157, 'def': 20}",5,4,4,0,2.778,w,2016-09-17 17:30:00,1,0,0,3,1.461
h,1.587,0.224,1.587,0.224,"{'att': 344, 'def': 29}","{'att': 185, 'def': 32}",5,4,1,1,2.503,d,2016-09-21 22:00:00,0,1,0,1,1.363
a,0.82,0.367,0.82,0.367,"{'att': 233, 'def': 24}","{'att': 251, 'def': 17}",5,4,1,1,1.809,d,2016-09-25 19:45:00,0,1,0,1,0.453
h,1.043,0.314,1.043,0.314,"{'att': 265, 'def': 38}","{'att': 324, 'def': 33}",7,2,2,1,1.997,w,2016-09-30 22:30:00,1,0,0,3,0.729
a,1.821,0.684,1.063,0.684,"{'att': 244, 'def': 29}","{'att': 175, 'def': 25}",9,3,1,0,2.304,w,2016-10-16 19:30:00,1,0,0,3,0.378
h,3.336,0.914,3.336,0.914,"{'att': 201, 'def': 54}","{'att': 260, 'def': 18}",11,5,3,1,2.772,w,2016-10-23 17:30:00,1,0,0,3,2.422
a,1.644,0.2,1.644,0.2,"{'att': 111, 'def': 28}","{'att': 306, 'def': 27}",9,2,2,0,2.62,w,2016-10-29 17:30:00,1,0,0,3,1.444
h,2.98,0.511,2.98,0.511,"{'att': 246, 'def': 37}","{'att': 216, 'def': 35}",9,3,3,1,2.778,w,2016-11-06 18:30:00,1,0,0,3,2.469
a,1.13,1.852,1.13,1.094,"{'att': 244, 'def': 36}","{'att': 150, 'def': 35}",9,8,3,2,0.785,w,2016-11-18 23:30:00,1,0,0,3,0.036
a,1.905,0.683,1.905,0.683,"{'att': 304, 'def': 32}","{'att': 281, 'def': 23}",7,3,4,1,2.342,w,2016-11-25 23:30:00,1,0,0,3,1.222
h,1.884,1.128,1.126,1.128,"{'att': 235, 'def': 34}","{'att': 177, 'def': 34}",7,4,2,1,1.995,w,2016-12-03 21:30:00,1,0,0,3,-0.003
a,1.513,0.577,1.513,0.577,"{'att': 68, 'def': 24}","{'att': 293, 'def': 34}",4,4,0,1,2.188,l,2016-12-10 18:30:00,0,0,1,0,0.936
