h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.437,0.879,0.437,0.879,"{'att': 282, 'def': 33}","{'att': 341, 'def': 27}",1,6,2,0,0.868,w,2017-08-19 14:30:00,1,0,0,3,-0.443
a,0.406,2.07,0.406,2.07,"{'att': 417, 'def': 19}","{'att': 156, 'def': 23}",2,7,0,2,0.272,l,2017-08-26 17:30:00,0,0,1,0,-1.664
h,0.251,0.57,0.251,0.57,"{'att': 229, 'def': 23}","{'att': 248, 'def': 25}",1,3,1,1,0.904,d,2017-09-10 14:30:00,0,1,0,1,-0.319
a,0.455,0.576,0.455,0.576,"{'att': 377, 'def': 32}","{'att': 254, 'def': 20}",4,4,1,1,1.13,d,2017-09-17 12:30:00,0,1,0,1,-0.121
h,0.502,0.427,0.502,0.427,"{'att': 362, 'def': 22}","{'att': 196, 'def': 28}",3,5,2,1,1.37,w,2017-09-20 19:30:00,1,0,0,3,0.075
a,0.537,1.178,0.537,0.42,"{'att': 171, 'def': 29}","{'att': 276, 'def': 22}",2,1,0,1,0.659,l,2017-09-23 14:30:00,0,0,1,0,0.117
h,1.664,1.51,1.664,1.51,"{'att': 361, 'def': 20}","{'att': 150, 'def': 18}",3,13,2,2,1.507,d,2017-10-01 14:30:00,0,1,0,1,0.153
h,0.025,1.855,0.025,1.097,"{'att': 393, 'def': 23}","{'att': 230, 'def': 46}",0,7,0,2,0.064,l,2017-10-14 14:30:00,0,0,1,0,-1.072
a,1.831,2.838,0.315,2.08,"{'att': 316, 'def': 22}","{'att': 203, 'def': 22}",8,11,1,1,0.661,d,2017-10-22 14:30:00,0,1,0,1,-1.765
h,0.827,0.973,0.827,0.973,"{'att': 184, 'def': 31}","{'att': 200, 'def': 26}",4,6,2,1,1.188,w,2017-10-28 14:30:00,1,0,0,3,-0.146
a,1.485,2.401,1.485,1.643,"{'att': 333, 'def': 30}","{'att': 201, 'def': 22}",2,10,3,3,0.703,d,2017-11-05 17:00:00,0,1,0,1,-0.158
h,2.074,2.077,2.074,1.319,"{'att': 276, 'def': 40}","{'att': 382, 'def': 17}",9,2,2,4,1.352,l,2017-11-18 17:30:00,0,0,1,0,0.755
a,2.2,0.737,1.442,0.737,"{'att': 358, 'def': 14}","{'att': 245, 'def': 20}",2,9,2,0,2.588,w,2017-11-26 17:00:00,1,0,0,3,0.705
h,1.145,0.419,1.145,0.419,"{'att': 247, 'def': 23}","{'att': 260, 'def': 28}",0,3,1,2,2.035,l,2017-12-03 14:30:00,0,0,1,0,0.726
a,0.647,1.632,0.647,1.632,"{'att': 253, 'def': 18}","{'att': 178, 'def': 34}",2,5,1,1,0.602,d,2017-12-10 17:00:00,0,1,0,1,-0.985
