h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.807,0.974,0.807,0.974,"{'att': 335, 'def': 22}","{'att': 181, 'def': 24}",2,8,0,1,1.168,l,2017-08-19 14:30:00,0,0,1,0,-0.167
h,0.23,1.4,0.23,1.4,"{'att': 342, 'def': 14}","{'att': 141, 'def': 24}",3,11,0,2,0.35,l,2017-08-26 14:30:00,0,0,1,0,-1.17
a,0.57,0.251,0.57,0.251,"{'att': 248, 'def': 25}","{'att': 229, 'def': 23}",3,1,1,1,1.597,d,2017-09-10 14:30:00,0,1,0,1,0.319
h,0.982,0.931,0.982,0.931,"{'att': 270, 'def': 31}","{'att': 221, 'def': 26}",6,3,1,2,1.354,l,2017-09-16 14:30:00,0,0,1,0,0.051
a,1.126,1.017,1.126,1.017,"{'att': 358, 'def': 28}","{'att': 180, 'def': 31}",4,3,1,1,1.426,d,2017-09-19 19:30:00,0,1,0,1,0.109
h,1.418,0.86,1.418,0.86,"{'att': 192, 'def': 28}","{'att': 274, 'def': 25}",6,2,0,0,1.818,d,2017-09-23 14:30:00,0,1,0,1,0.558
a,0.427,0.957,0.427,0.957,"{'att': 194, 'def': 29}","{'att': 147, 'def': 21}",4,5,0,0,0.821,d,2017-09-30 17:30:00,0,1,0,1,-0.53
h,1.521,1.452,1.521,1.452,"{'att': 316, 'def': 23}","{'att': 274, 'def': 26}",4,12,0,2,1.413,l,2017-10-15 17:00:00,0,0,1,0,0.068
a,0.949,1.796,0.949,1.796,"{'att': 169, 'def': 22}","{'att': 218, 'def': 22}",5,9,0,0,0.694,d,2017-10-22 12:30:00,0,1,0,1,-0.847
h,1.055,2.806,1.055,2.048,"{'att': 201, 'def': 23}","{'att': 286, 'def': 23}",3,5,0,3,0.356,l,2017-10-29 14:30:00,0,0,1,0,-0.993
a,1.085,1.921,1.085,1.921,"{'att': 201, 'def': 18}","{'att': 191, 'def': 29}",9,10,1,2,0.725,l,2017-11-03 19:30:00,0,0,1,0,-0.836
h,2.616,1.132,2.616,1.132,"{'att': 271, 'def': 26}","{'att': 262, 'def': 21}",5,4,4,0,2.368,w,2017-11-19 17:00:00,1,0,0,3,1.484
a,1.072,1.018,1.072,1.018,"{'att': 338, 'def': 35}","{'att': 251, 'def': 36}",10,7,0,2,1.397,l,2017-11-25 14:30:00,0,0,1,0,0.054
h,0.713,1.116,0.713,1.116,"{'att': 333, 'def': 28}","{'att': 183, 'def': 40}",4,6,1,0,0.955,w,2017-12-02 14:30:00,1,0,0,3,-0.403
a,0.944,1.868,0.944,1.868,"{'att': 481, 'def': 22}","{'att': 158, 'def': 22}",1,8,2,1,0.578,w,2017-12-09 14:30:00,1,0,0,3,-0.924
a,0.252,2.273,0.252,2.273,"{'att': 241, 'def': 49}","{'att': 242, 'def': 21}",5,3,0,1,0.118,l,2017-12-13 19:30:00,0,0,1,0,-2.021
h,1.201,1.049,1.201,1.049,"{'att': 254, 'def': 32}","{'att': 116, 'def': 27}",1,4,2,2,1.47,d,2017-12-16 14:30:00,0,1,0,1,0.153
h,2.475,1.308,2.475,1.308,"{'att': 316, 'def': 29}","{'att': 231, 'def': 20}",10,9,1,1,2.211,d,2018-01-13 14:30:00,0,1,0,1,1.167
a,0.863,1.894,0.863,1.894,"{'att': 401, 'def': 22}","{'att': 183, 'def': 22}",5,12,2,4,0.645,l,2018-01-21 14:30:00,0,0,1,0,-1.032
h,1.562,0.788,1.562,0.788,"{'att': 212, 'def': 29}","{'att': 288, 'def': 25}",7,0,0,0,2.0,d,2018-01-27 17:30:00,0,1,0,1,0.774
