h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.286,1.078,1.286,1.078,"{'att': 229, 'def': 28}","{'att': 244, 'def': 17}",4,4,1,0,1.536,w,2018-08-26 16:30:00,1,0,0,3,0.208
a,0.368,1.562,0.368,1.562,"{'att': 360, 'def': 15}","{'att': 245, 'def': 20}",4,6,1,1,0.396,d,2018-09-01 13:30:00,0,1,0,1,-1.195
h,2.812,0.736,2.812,0.736,"{'att': 186, 'def': 27}","{'att': 229, 'def': 30}",8,4,2,1,2.636,w,2018-09-15 13:30:00,1,0,0,3,2.075
a,0.763,1.294,0.763,1.294,"{'att': 236, 'def': 18}","{'att': 258, 'def': 27}",7,16,0,1,0.898,l,2018-09-23 13:30:00,0,0,1,0,-0.531
h,0.362,1.197,0.362,1.197,"{'att': 203, 'def': 20}","{'att': 208, 'def': 22}",3,7,0,0,0.562,d,2018-09-26 18:30:00,0,1,0,1,-0.834
a,0.643,1.594,0.643,1.594,"{'att': 173, 'def': 28}","{'att': 258, 'def': 26}",6,4,0,1,0.592,l,2018-09-29 13:30:00,0,0,1,0,-0.951
h,1.566,1.001,1.566,1.001,"{'att': 231, 'def': 21}","{'att': 272, 'def': 16}",6,4,0,0,1.765,d,2018-10-06 13:30:00,0,1,0,1,0.564
a,0.473,3.007,0.473,3.007,"{'att': 356, 'def': 15}","{'att': 322, 'def': 16}",2,8,0,4,0.08,l,2018-10-21 16:00:00,0,0,1,0,-2.534
h,0.592,2.157,0.592,2.157,"{'att': 383, 'def': 14}","{'att': 171, 'def': 20}",3,12,1,2,0.332,l,2018-10-27 13:30:00,0,0,1,0,-1.565
h,1.548,1.258,1.548,1.258,"{'att': 404, 'def': 19}","{'att': 210, 'def': 18}",3,11,2,1,1.598,w,2018-11-04 17:00:00,1,0,0,3,0.29
a,0.771,1.865,0.771,1.865,"{'att': 289, 'def': 24}","{'att': 151, 'def': 24}",6,3,3,1,0.582,w,2018-11-10 14:30:00,1,0,0,3,-1.094
h,1.058,1.082,1.058,1.082,"{'att': 399, 'def': 14}","{'att': 143, 'def': 17}",5,5,1,2,1.292,l,2018-11-24 14:30:00,0,0,1,0,-0.024
a,1.026,1.109,1.026,1.109,"{'att': 295, 'def': 13}","{'att': 279, 'def': 17}",8,6,1,0,1.28,w,2018-11-30 19:30:00,1,0,0,3,-0.084
h,3.28,2.236,2.522,2.236,"{'att': 124, 'def': 29}","{'att': 289, 'def': 13}",5,4,1,1,2.064,d,2018-12-09 14:30:00,0,1,0,1,0.285
a,1.338,4.475,1.338,4.475,"{'att': 164, 'def': 23}","{'att': 261, 'def': 19}",3,9,1,4,0.078,l,2018-12-16 14:30:00,0,0,1,0,-3.137
h,1.615,1.095,1.615,1.095,"{'att': 209, 'def': 29}","{'att': 179, 'def': 26}",5,3,2,2,1.754,d,2018-12-19 19:30:00,0,1,0,1,0.52
a,0.964,2.213,0.964,2.213,"{'att': 375, 'def': 19}","{'att': 169, 'def': 23}",7,12,1,1,0.56,d,2018-12-23 17:00:00,0,1,0,1,-1.249
a,1.177,3.201,1.177,3.201,"{'att': 269, 'def': 22}","{'att': 137, 'def': 29}",8,18,3,2,0.337,w,2019-01-19 14:30:00,1,0,0,3,-2.024
h,2.363,0.327,1.606,0.327,"{'att': 198, 'def': 27}","{'att': 217, 'def': 24}",7,2,2,1,2.775,w,2019-01-26 14:30:00,1,0,0,3,1.278
a,0.2,3.799,0.2,2.284,"{'att': 239, 'def': 23}","{'att': 195, 'def': 30}",6,4,0,3,0.013,l,2019-02-03 14:30:00,0,0,1,0,-2.084
h,1.885,3.303,1.885,3.303,"{'att': 528, 'def': 31}","{'att': 131, 'def': 22}",5,11,1,5,0.536,l,2019-02-08 19:30:00,0,0,1,0,-1.419
a,0.719,2.139,0.719,1.381,"{'att': 261, 'def': 13}","{'att': 201, 'def': 13}",5,9,0,3,0.373,l,2019-02-16 14:30:00,0,0,1,0,-0.661
h,2.449,0.75,2.449,0.75,"{'att': 301, 'def': 22}","{'att': 128, 'def': 35}",8,3,3,0,2.532,w,2019-02-23 14:30:00,1,0,0,3,1.699
a,0.837,1.772,0.837,1.772,"{'att': 318, 'def': 23}","{'att': 160, 'def': 29}",7,3,1,2,0.61,l,2019-03-02 14:30:00,0,0,1,0,-0.935
