h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.51,1.704,0.51,0.946,"{'att': 363, 'def': 30}","{'att': 374, 'def': 13}",5,7,0,3,0.382,l,2020-09-19 16:30:00,0,0,1,0,-0.436
h,1.476,0.771,1.476,0.771,"{'att': 210, 'def': 19}","{'att': 397, 'def': 28}",1,3,1,1,1.959,d,2020-09-26 13:30:00,0,1,0,1,0.705
a,2.063,0.245,1.305,0.245,"{'att': 226, 'def': 32}","{'att': 414, 'def': 32}",12,2,3,1,2.734,w,2020-10-03 13:30:00,1,0,0,3,1.06
h,2.111,1.345,1.353,1.345,"{'att': 244, 'def': 30}","{'att': 253, 'def': 27}",6,4,1,1,1.985,d,2020-10-17 18:30:00,0,1,0,1,0.008
a,3.076,1.9,2.319,1.9,"{'att': 188, 'def': 31}","{'att': 403, 'def': 29}",7,13,3,2,2.128,w,2020-10-24 13:30:00,1,0,0,3,0.418
h,0.615,0.695,0.615,0.695,"{'att': 321, 'def': 28}","{'att': 312, 'def': 31}",6,5,1,0,1.243,w,2020-10-31 17:30:00,1,0,0,3,-0.08
a,3.021,1.539,2.263,1.539,"{'att': 405, 'def': 27}","{'att': 276, 'def': 33}",2,9,3,4,2.371,l,2020-11-08 17:00:00,0,0,1,0,0.724
h,1.705,0.814,1.705,0.814,"{'att': 326, 'def': 32}","{'att': 335, 'def': 19}",9,5,1,1,2.08,d,2020-11-21 14:30:00,0,1,0,1,0.891
h,3.155,0.735,3.155,0.735,"{'att': 225, 'def': 24}","{'att': 349, 'def': 23}",10,8,4,1,2.761,w,2020-11-28 17:30:00,1,0,0,3,2.421
a,1.669,4.021,1.669,3.264,"{'att': 198, 'def': 22}","{'att': 355, 'def': 27}",5,3,2,2,0.251,d,2020-12-05 14:30:00,0,1,0,1,-1.595
h,1.36,0.365,1.36,0.365,"{'att': 223, 'def': 21}","{'att': 233, 'def': 20}",6,4,1,1,2.276,d,2020-12-12 14:30:00,0,1,0,1,0.995
a,1.143,2.127,0.385,1.369,"{'att': 152, 'def': 27}","{'att': 309, 'def': 34}",2,8,3,3,0.588,d,2020-12-15 17:30:00,0,1,0,1,-0.985
h,2.128,2.288,1.371,2.288,"{'att': 307, 'def': 25}","{'att': 281, 'def': 35}",3,8,1,2,1.287,l,2020-12-19 14:30:00,0,0,1,0,-0.917
a,1.886,0.708,1.886,0.708,"{'att': 229, 'def': 15}","{'att': 315, 'def': 20}",16,6,1,0,2.263,w,2021-01-02 14:30:00,1,0,0,3,1.178
h,0.969,1.327,0.969,0.569,"{'att': 439, 'def': 19}","{'att': 222, 'def': 25}",4,8,3,2,1.006,w,2021-01-08 19:30:00,1,0,0,3,0.4
a,1.434,1.638,0.676,0.88,"{'att': 394, 'def': 27}","{'att': 225, 'def': 17}",3,7,2,2,1.182,d,2021-01-16 17:30:00,0,1,0,1,-0.204
h,0.646,0.813,0.646,0.813,"{'att': 256, 'def': 30}","{'att': 336, 'def': 10}",7,4,1,0,1.146,w,2021-01-19 17:30:00,1,0,0,3,-0.168
h,2.332,1.933,2.332,1.933,"{'att': 366, 'def': 19}","{'att': 296, 'def': 31}",3,8,4,2,1.689,w,2021-01-22 19:30:00,1,0,0,3,0.4
