h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.236,2.383,1.236,2.383,"{'att': 180, 'def': 20}","{'att': 273, 'def': 30}",2,8,0,1,0.518,l,2022-08-06 16:30:00,0,0,1,0,-1.148
h,2.784,0.749,2.784,0.749,"{'att': 84, 'def': 23}","{'att': 274, 'def': 27}",16,5,1,2,2.63,l,2022-08-13 13:30:00,0,0,1,0,2.035
h,1.101,1.301,1.101,1.301,"{'att': 217, 'def': 32}","{'att': 268, 'def': 24}",7,11,0,3,1.166,l,2022-08-20 13:30:00,0,0,1,0,-0.2
a,1.404,1.62,1.404,1.62,"{'att': 334, 'def': 15}","{'att': 219, 'def': 12}",5,7,3,0,1.204,w,2022-08-27 13:30:00,1,0,0,3,-0.216
h,1.797,2.354,1.797,2.354,"{'att': 286, 'def': 17}","{'att': 231, 'def': 25}",7,3,2,3,0.881,l,2022-09-03 13:30:00,0,0,1,0,-0.557
a,1.768,2.351,1.768,2.351,"{'att': 177, 'def': 21}","{'att': 266, 'def': 23}",7,7,2,2,0.954,d,2022-09-10 13:30:00,0,1,0,1,-0.583
h,1.823,2.022,1.823,2.022,"{'att': 237, 'def': 14}","{'att': 255, 'def': 23}",15,6,1,1,1.25,d,2022-09-17 13:30:00,0,1,0,1,-0.199
a,0.941,2.134,0.941,2.134,"{'att': 328, 'def': 8}","{'att': 252, 'def': 22}",2,19,0,4,0.576,l,2022-09-30 18:30:00,0,0,1,0,-1.193
h,2.069,0.14,2.069,0.14,"{'att': 232, 'def': 22}","{'att': 384, 'def': 34}",10,2,4,0,2.762,w,2022-10-08 13:30:00,1,0,0,3,1.93
a,0.503,4.358,0.503,2.842,"{'att': 319, 'def': 8}","{'att': 366, 'def': 22}",4,5,1,5,0.022,l,2022-10-15 13:30:00,0,0,1,0,-2.339
h,2.367,1.151,1.61,0.393,"{'att': 248, 'def': 20}","{'att': 280, 'def': 19}",6,4,2,2,2.416,d,2022-10-22 13:30:00,0,1,0,1,1.217
a,0.142,1.632,0.142,1.632,"{'att': 330, 'def': 13}","{'att': 422, 'def': 25}",6,6,0,2,0.219,l,2022-10-29 13:30:00,0,0,1,0,-1.49
h,1.781,0.232,1.781,0.232,"{'att': 271, 'def': 17}","{'att': 414, 'def': 17}",4,3,5,0,2.616,w,2022-11-06 14:30:00,1,0,0,3,1.549
a,1.045,1.381,1.045,1.381,"{'att': 330, 'def': 15}","{'att': 236, 'def': 20}",1,11,2,1,1.101,w,2022-11-09 17:30:00,1,0,0,3,-0.337
h,1.883,0.277,1.883,0.277,"{'att': 364, 'def': 26}","{'att': 266, 'def': 26}",8,4,2,0,2.673,w,2022-11-12 14:30:00,1,0,0,3,1.606
a,1.685,0.994,1.685,0.994,"{'att': 447, 'def': 18}","{'att': 287, 'def': 31}",9,6,3,2,1.91,w,2023-01-22 16:30:00,1,0,0,3,0.691
h,1.891,0.822,1.133,0.822,"{'att': 148, 'def': 13}","{'att': 254, 'def': 30}",9,13,2,0,2.253,w,2023-01-25 19:30:00,1,0,0,3,0.311
h,1.845,0.978,1.845,0.978,"{'att': 269, 'def': 22}","{'att': 288, 'def': 30}",2,4,0,2,2.016,l,2023-01-29 16:30:00,0,0,1,0,0.867
a,0.462,0.924,0.462,0.924,"{'att': 256, 'def': 24}","{'att': 372, 'def': 35}",6,2,0,1,0.845,l,2023-02-03 19:30:00,0,0,1,0,-0.463
a,1.477,0.782,1.477,0.782,"{'att': 304, 'def': 26}","{'att': 312, 'def': 37}",4,5,3,1,1.957,w,2023-02-11 14:30:00,1,0,0,3,0.695
h,3.014,2.004,2.257,1.246,"{'att': 98, 'def': 17}","{'att': 316, 'def': 33}",8,10,2,3,2.074,l,2023-02-19 18:30:00,0,0,1,0,1.01
a,2.061,1.288,2.061,1.288,"{'att': 243, 'def': 21}","{'att': 367, 'def': 29}",4,0,1,1,1.96,d,2023-02-26 14:30:00,0,1,0,1,0.773
h,2.265,0.958,2.265,0.2,"{'att': 267, 'def': 21}","{'att': 442, 'def': 25}",12,1,4,1,2.35,w,2023-03-05 14:30:00,1,0,0,3,2.064
a,1.218,1.708,1.218,0.951,"{'att': 307, 'def': 10}","{'att': 267, 'def': 29}",5,16,3,2,0.932,w,2023-03-12 16:30:00,1,0,0,3,0.267
h,1.85,1.107,0.335,1.107,"{'att': 364, 'def': 21}","{'att': 266, 'def': 39}",2,6,2,1,2.055,w,2023-03-19 16:30:00,1,0,0,3,-0.772
a,3.28,0.977,3.28,0.977,"{'att': 190, 'def': 18}","{'att': 202, 'def': 37}",9,6,3,0,2.752,w,2023-04-01 13:30:00,1,0,0,3,2.304
h,2.351,0.761,2.351,0.761,"{'att': 372, 'def': 26}","{'att': 270, 'def': 25}",8,3,3,1,2.46,w,2023-04-08 13:30:00,1,0,0,3,1.59
a,0.992,0.617,0.992,0.617,"{'att': 273, 'def': 28}","{'att': 397, 'def': 26}",11,6,0,0,1.684,d,2023-04-16 17:30:00,0,1,0,1,0.375
h,1.034,2.118,0.276,2.118,"{'att': 452, 'def': 20}","{'att': 187, 'def': 17}",3,6,2,0,0.55,w,2023-04-23 15:30:00,1,0,0,3,-1.842
a,0.551,0.581,0.551,0.581,"{'att': 178, 'def': 13}","{'att': 402, 'def': 24}",8,6,0,0,1.252,d,2023-04-29 13:30:00,0,1,0,1,-0.03
h,0.725,1.028,0.725,1.028,"{'att': 195, 'def': 20}","{'att': 436, 'def': 30}",3,4,1,2,1.037,l,2023-05-05 18:30:00,0,0,1,0,-0.303
a,1.576,1.427,0.819,0.669,"{'att': 364, 'def': 23}","{'att': 288, 'def': 9}",5,7,1,1,1.471,d,2023-05-14 13:30:00,0,1,0,1,0.149
h,1.899,2.061,1.899,2.061,"{'att': 452, 'def': 16}","{'att': 274, 'def': 24}",4,6,2,2,1.226,d,2023-05-21 17:30:00,0,1,0,1,-0.162
a,0.864,1.562,0.864,1.562,"{'att': 150, 'def': 13}","{'att': 146, 'def': 40}",5,13,0,3,0.824,l,2023-05-27 13:30:00,0,0,1,0,-0.698
