h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.178,3.214,1.178,3.214,"{'att': 315, 'def': 19}","{'att': 282, 'def': 17}",7,8,0,2,0.319,l,2023-08-19 13:30:00,0,0,1,0,-2.037
h,2.73,2.758,1.972,2.0,"{'att': 280, 'def': 16}","{'att': 116, 'def': 18}",8,4,2,3,1.343,l,2023-08-26 13:30:00,0,0,1,0,-0.028
a,2.095,2.748,1.337,1.99,"{'att': 305, 'def': 24}","{'att': 146, 'def': 13}",5,14,2,2,0.952,d,2023-09-01 18:30:00,0,1,0,1,-0.653
h,1.962,2.56,1.205,1.675,"{'att': 264, 'def': 32}","{'att': 181, 'def': 20}",1,11,4,2,0.911,w,2023-09-17 13:30:00,1,0,0,3,-0.47
a,0.66,3.974,0.66,3.217,"{'att': 474, 'def': 19}","{'att': 195, 'def': 20}",2,11,1,4,0.041,l,2023-09-24 13:30:00,0,0,1,0,-2.557
h,0.543,2.161,0.543,2.161,"{'att': 249, 'def': 15}","{'att': 243, 'def': 22}",3,9,1,0,0.297,w,2023-09-30 13:30:00,1,0,0,3,-1.618
a,0.626,1.836,0.626,1.078,"{'att': 301, 'def': 20}","{'att': 314, 'def': 29}",9,10,0,2,0.404,l,2023-10-08 17:30:00,0,0,1,0,-0.453
h,1.993,2.824,1.993,2.066,"{'att': 226, 'def': 14}","{'att': 365, 'def': 16}",6,4,2,5,0.789,l,2023-10-22 15:30:00,0,0,1,0,-0.072
a,0.396,0.981,0.396,0.981,"{'att': 413, 'def': 26}","{'att': 314, 'def': 20}",3,7,1,2,0.767,l,2023-10-28 13:30:00,0,0,1,0,-0.585
h,0.783,2.573,0.783,1.815,"{'att': 356, 'def': 14}","{'att': 120, 'def': 20}",3,14,2,0,0.256,w,2023-11-05 16:30:00,1,0,0,3,-1.032
a,1.045,2.608,1.045,2.608,"{'att': 504, 'def': 23}","{'att': 166, 'def': 16}",2,18,2,4,0.424,l,2023-11-11 14:30:00,0,0,1,0,-1.563
