h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,3.248,1.672,3.248,1.672,"{'att': 239, 'def': 11}","{'att': 243, 'def': 22}",7,8,2,1,2.334,w,2023-08-19 13:30:00,1,0,0,3,1.576
h,1.719,0.697,1.719,0.697,"{'att': 249, 'def': 16}","{'att': 222, 'def': 16}",4,12,1,0,2.216,w,2023-08-26 13:30:00,1,0,0,3,1.022
a,1.504,2.096,1.504,2.096,"{'att': 330, 'def': 24}","{'att': 373, 'def': 15}",3,5,0,5,0.913,l,2023-09-02 13:30:00,0,0,1,0,-0.592
h,1.147,3.373,1.147,3.373,"{'att': 245, 'def': 19}","{'att': 248, 'def': 13}",1,5,2,4,0.209,l,2023-09-16 13:30:00,0,0,1,0,-2.226
a,0.407,0.754,0.407,0.754,"{'att': 359, 'def': 23}","{'att': 249, 'def': 28}",6,10,0,0,0.972,d,2023-09-24 15:30:00,0,1,0,1,-0.347
h,1.272,1.001,0.514,1.001,"{'att': 234, 'def': 15}","{'att': 266, 'def': 23}",3,2,2,0,1.611,w,2023-10-01 15:30:00,1,0,0,3,-0.486
a,0.07,2.374,0.07,2.374,"{'att': 499, 'def': 11}","{'att': 194, 'def': 17}",2,24,0,3,0.062,l,2023-10-08 15:30:00,0,0,1,0,-2.304
h,2.527,1.377,1.77,1.377,"{'att': 189, 'def': 21}","{'att': 268, 'def': 21}",6,10,2,1,2.197,w,2023-10-21 13:30:00,1,0,0,3,0.393
a,1.023,1.608,1.023,1.608,"{'att': 362, 'def': 18}","{'att': 167, 'def': 20}",3,12,1,2,0.924,l,2023-10-29 16:30:00,0,0,1,0,-0.584
h,3.39,1.924,2.633,1.166,"{'att': 272, 'def': 15}","{'att': 317, 'def': 14}",12,7,3,3,2.377,d,2023-11-04 14:30:00,0,1,0,1,1.467
