h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,3.214,1.178,3.214,1.178,"{'att': 282, 'def': 17}","{'att': 315, 'def': 19}",8,7,2,0,2.556,w,2023-08-19 13:30:00,1,0,0,3,2.037
a,2.27,0.643,2.27,0.643,"{'att': 264, 'def': 26}","{'att': 280, 'def': 21}",7,7,2,1,2.62,w,2023-08-26 13:30:00,1,0,0,3,1.627
a,1.415,1.787,1.415,1.787,"{'att': 198, 'def': 15}","{'att': 326, 'def': 12}",11,4,1,3,1.07,l,2023-09-02 13:30:00,0,0,1,0,-0.371
h,0.567,1.569,0.567,1.569,"{'att': 321, 'def': 17}","{'att': 239, 'def': 24}",4,3,2,1,0.583,w,2023-09-16 13:30:00,1,0,0,3,-1.002
a,0.343,2.165,0.343,2.165,"{'att': 352, 'def': 16}","{'att': 186, 'def': 27}",2,10,0,1,0.232,l,2023-09-23 13:30:00,0,0,1,0,-1.822
h,2.777,1.092,1.88,1.092,"{'att': 252, 'def': 25}","{'att': 293, 'def': 17}",14,3,2,0,2.541,w,2023-09-30 13:30:00,1,0,0,3,0.788
a,1.064,3.026,1.064,2.268,"{'att': 324, 'def': 20}","{'att': 212, 'def': 26}",3,12,1,3,0.22,l,2023-10-07 13:30:00,0,0,1,0,-1.204
h,1.332,2.277,1.332,2.277,"{'att': 374, 'def': 26}","{'att': 254, 'def': 19}",7,10,1,2,0.743,l,2023-10-21 13:30:00,0,0,1,0,-0.945
a,1.255,1.594,0.497,1.594,"{'att': 203, 'def': 16}","{'att': 318, 'def': 19}",6,5,2,3,1.053,l,2023-10-28 13:30:00,0,0,1,0,-1.096
h,1.814,1.403,1.814,1.403,"{'att': 298, 'def': 19}","{'att': 300, 'def': 17}",12,4,2,2,1.713,d,2023-11-05 14:30:00,0,1,0,1,0.41
a,0.501,2.094,0.501,2.094,"{'att': 322, 'def': 39}","{'att': 352, 'def': 15}",3,8,0,4,0.324,l,2023-11-10 19:30:00,0,0,1,0,-1.593
