h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.371,2.13,0.371,2.13,"{'att': 377, 'def': 21}","{'att': 206, 'def': 15}",2,10,1,3,0.208,l,2014-08-18 20:00:00,0,0,1,0,-1.759
a,0.843,0.914,0.843,0.914,"{'att': 385, 'def': 28}","{'att': 252, 'def': 18}",9,2,0,1,1.237,l,2014-08-23 15:00:00,0,0,1,0,-0.071
h,0.514,0.467,0.514,0.467,"{'att': 305, 'def': 27}","{'att': 150, 'def': 21}",2,11,0,0,1.314,d,2014-08-30 12:45:00,0,1,0,1,0.046
a,1.249,0.781,0.488,0.781,"{'att': 150, 'def': 20}","{'att': 191, 'def': 15}",4,5,0,0,1.846,d,2014-09-13 15:00:00,0,1,0,1,-0.292
h,0.711,0.644,0.711,0.644,"{'att': 294, 'def': 35}","{'att': 169, 'def': 15}",13,4,0,0,1.361,d,2014-09-20 15:00:00,0,1,0,1,0.067
a,0.474,1.811,0.474,1.811,"{'att': 342, 'def': 18}","{'att': 228, 'def': 20}",2,3,0,4,0.354,l,2014-09-28 16:00:00,0,0,1,0,-1.337
a,0.958,1.578,0.958,1.578,"{'att': 195, 'def': 29}","{'att': 153, 'def': 20}",9,1,2,2,0.832,d,2014-10-04 15:00:00,0,1,0,1,-0.62
h,1.744,2.841,1.744,2.841,"{'att': 243, 'def': 14}","{'att': 158, 'def': 17}",4,5,1,3,0.712,l,2014-10-18 15:00:00,0,0,1,0,-1.097
h,1.556,1.322,1.556,1.322,"{'att': 412, 'def': 31}","{'att': 185, 'def': 13}",6,2,1,3,1.59,l,2014-10-26 13:30:00,0,0,1,0,0.234
a,0.684,4.33,0.684,4.33,"{'att': 312, 'def': 24}","{'att': 168, 'def': 20}",2,19,0,3,0.028,l,2014-11-01 15:00:00,0,0,1,0,-3.646
h,1.103,0.527,1.103,0.527,"{'att': 207, 'def': 25}","{'att': 128, 'def': 19}",7,6,1,0,1.85,w,2014-11-08 15:00:00,1,0,0,3,0.576
a,1.275,1.943,1.275,1.943,"{'att': 286, 'def': 19}","{'att': 82, 'def': 26}",1,8,2,1,0.873,w,2014-11-22 15:00:00,1,0,0,3,-0.668
h,2.306,1.087,1.545,1.087,"{'att': 263, 'def': 25}","{'att': 254, 'def': 11}",7,11,1,1,2.278,d,2014-11-29 15:00:00,0,1,0,1,0.457
h,0.678,1.001,0.678,1.001,"{'att': 248, 'def': 28}","{'att': 125, 'def': 16}",11,4,1,1,1.012,d,2014-12-02 19:45:00,0,1,0,1,-0.322
a,1.265,1.637,1.265,1.637,"{'att': 161, 'def': 25}","{'att': 157, 'def': 14}",12,11,0,2,1.079,l,2014-12-06 15:00:00,0,0,1,0,-0.373
h,0.396,1.713,0.396,0.952,"{'att': 249, 'def': 31}","{'att': 139, 'def': 19}",2,7,1,0,0.327,w,2014-12-13 15:00:00,1,0,0,3,-0.556
a,0.655,1.773,0.655,1.773,"{'att': 305, 'def': 26}","{'att': 151, 'def': 19}",3,6,1,2,0.519,l,2014-12-20 15:00:00,0,0,1,0,-1.118
h,0.612,1.067,0.612,1.067,"{'att': 320, 'def': 31}","{'att': 240, 'def': 21}",8,5,0,1,0.878,l,2014-12-26 15:00:00,0,0,1,0,-0.455
a,0.962,1.386,0.962,1.386,"{'att': 263, 'def': 17}","{'att': 176, 'def': 24}",4,17,2,2,1.024,d,2014-12-28 15:00:00,0,1,0,1,-0.424
a,1.656,1.246,1.656,1.246,"{'att': 218, 'def': 33}","{'att': 227, 'def': 18}",2,3,3,3,1.692,d,2015-01-01 15:00:00,0,1,0,1,0.409
h,2.191,1.696,2.191,0.934,"{'att': 170, 'def': 27}","{'att': 138, 'def': 12}",8,7,2,1,1.68,w,2015-01-10 15:00:00,1,0,0,3,1.257
h,1.084,0.528,1.084,0.528,"{'att': 173, 'def': 28}","{'att': 170, 'def': 23}",7,5,2,3,1.86,l,2015-01-17 15:00:00,0,0,1,0,0.556
a,1.348,1.9,1.348,1.9,"{'att': 226, 'def': 36}","{'att': 218, 'def': 17}",7,6,0,2,0.859,l,2015-01-31 15:00:00,0,0,1,0,-0.552
h,1.098,2.554,1.098,2.554,"{'att': 176, 'def': 18}","{'att': 282, 'def': 21}",7,0,2,2,0.47,d,2015-02-08 12:00:00,0,1,0,1,-1.456
a,1.851,1.621,1.851,0.86,"{'att': 312, 'def': 31}","{'att': 205, 'def': 24}",10,6,1,3,1.541,l,2015-02-11 19:45:00,0,0,1,0,0.991
a,0.513,1.54,0.513,1.54,"{'att': 279, 'def': 27}","{'att': 203, 'def': 23}",2,11,1,1,0.486,d,2015-02-21 15:00:00,0,1,0,1,-1.026
h,0.899,1.415,0.899,1.415,"{'att': 233, 'def': 25}","{'att': 188, 'def': 17}",5,4,0,1,0.854,l,2015-02-28 15:00:00,0,0,1,0,-0.516
a,0.319,1.305,0.319,1.305,"{'att': 398, 'def': 36}","{'att': 219, 'def': 17}",3,7,0,2,0.511,l,2015-03-04 20:00:00,0,0,1,0,-0.985
h,0.242,1.258,0.242,1.258,"{'att': 375, 'def': 19}","{'att': 144, 'def': 29}",3,13,1,0,0.482,w,2015-03-14 17:30:00,1,0,0,3,-1.016
a,1.05,1.921,1.05,1.921,"{'att': 326, 'def': 19}","{'att': 187, 'def': 15}",10,9,0,2,0.758,l,2015-03-21 15:00:00,0,0,1,0,-0.871
h,1.514,0.377,1.514,0.377,"{'att': 312, 'def': 29}","{'att': 154, 'def': 13}",4,4,0,0,2.323,d,2015-04-05 13:30:00,0,1,0,1,1.136
h,0.657,1.211,0.657,1.211,"{'att': 341, 'def': 40}","{'att': 124, 'def': 23}",6,7,0,1,0.834,l,2015-04-11 17:30:00,0,0,1,0,-0.554
a,1.062,2.361,1.062,1.6,"{'att': 296, 'def': 21}","{'att': 111, 'def': 18}",5,14,0,1,0.504,l,2015-04-18 15:00:00,0,0,1,0,-0.538
h,1.99,1.219,1.229,1.219,"{'att': 93, 'def': 23}","{'att': 180, 'def': 25}",4,1,0,1,2.048,l,2015-04-25 15:00:00,0,0,1,0,0.009
a,0.758,3.239,0.758,2.478,"{'att': 228, 'def': 21}","{'att': 167, 'def': 17}",8,10,0,1,0.172,l,2015-05-02 15:00:00,0,0,1,0,-1.72
a,1.213,1.128,1.213,1.128,"{'att': 214, 'def': 18}","{'att': 198, 'def': 24}",8,6,1,0,1.437,w,2015-05-09 15:00:00,1,0,0,3,0.085
h,0.91,1.763,0.91,1.763,"{'att': 259, 'def': 13}","{'att': 169, 'def': 23}",5,3,0,0,0.636,d,2015-05-16 15:00:00,0,1,0,1,-0.853
a,0.661,0.655,0.661,0.655,"{'att': 275, 'def': 14}","{'att': 162, 'def': 15}",6,5,1,0,1.33,w,2015-05-24 15:00:00,1,0,0,3,0.006
