h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.158,1.554,0.158,1.554,"{'att': 411, 'def': 29}","{'att': 88, 'def': 30}",0,9,1,2,0.111,l,2014-08-16 17:30:00,0,0,1,0,-1.396
h,0.617,1.34,0.617,1.34,"{'att': 269, 'def': 33}","{'att': 199, 'def': 22}",7,6,1,3,0.744,l,2014-08-23 15:00:00,0,0,1,0,-0.722
a,1.661,1.698,1.661,1.698,"{'att': 244, 'def': 25}","{'att': 123, 'def': 27}",3,10,3,3,1.335,d,2014-08-30 15:00:00,0,1,0,1,-0.037
h,0.781,1.249,0.781,0.488,"{'att': 191, 'def': 15}","{'att': 150, 'def': 20}",5,4,0,0,0.849,d,2014-09-13 15:00:00,0,1,0,1,0.292
a,1.629,2.561,0.868,1.8,"{'att': 459, 'def': 20}","{'att': 99, 'def': 19}",4,14,3,2,0.711,w,2014-09-21 16:00:00,1,0,0,3,-0.932
h,2.114,0.454,2.114,0.454,"{'att': 260, 'def': 29}","{'att': 119, 'def': 16}",1,5,2,0,2.707,w,2014-09-27 15:00:00,1,0,0,3,1.661
a,0.616,1.072,0.616,1.072,"{'att': 335, 'def': 26}","{'att': 146, 'def': 27}",4,3,0,2,0.922,l,2014-10-04 15:00:00,0,0,1,0,-0.456
h,1.168,1.015,1.168,1.015,"{'att': 479, 'def': 23}","{'att': 159, 'def': 21}",2,7,1,2,1.529,l,2014-10-18 15:00:00,0,0,1,0,0.153
a,1.774,1.457,1.012,0.696,"{'att': 322, 'def': 13}","{'att': 116, 'def': 26}",1,8,2,2,1.692,d,2014-10-25 15:00:00,0,1,0,1,0.316
h,0.766,0.728,0.766,0.728,"{'att': 195, 'def': 26}","{'att': 167, 'def': 30}",7,5,1,3,1.376,l,2014-11-03 20:00:00,0,0,1,0,0.038
a,0.401,0.957,0.401,0.957,"{'att': 390, 'def': 15}","{'att': 127, 'def': 17}",3,3,0,1,0.801,l,2014-11-08 15:00:00,0,0,1,0,-0.556
h,1.473,0.953,1.473,0.953,"{'att': 347, 'def': 27}","{'att': 123, 'def': 19}",7,9,3,1,1.8,w,2014-11-23 13:30:00,1,0,0,3,0.52
