h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.628,0.675,0.628,0.675,"{'att': 318, 'def': 23}","{'att': 263, 'def': 32}",4,10,1,0,1.248,w,2015-08-08 15:45:00,1,0,0,3,-0.047
a,0.66,0.219,0.66,0.219,"{'att': 285, 'def': 30}","{'att': 301, 'def': 30}",5,3,1,0,1.753,w,2015-08-14 22:45:00,1,0,0,3,0.441
h,1.249,0.438,1.249,0.438,"{'att': 146, 'def': 31}","{'att': 295, 'def': 16}",12,1,0,0,2.059,d,2015-08-22 15:45:00,0,1,0,1,0.811
a,1.281,0.971,1.281,0.971,"{'att': 200, 'def': 29}","{'att': 349, 'def': 23}",9,3,1,2,1.62,l,2015-08-30 19:00:00,0,0,1,0,0.31
h,1.462,1.026,0.701,1.026,"{'att': 264, 'def': 27}","{'att': 304, 'def': 21}",4,5,3,1,1.794,w,2015-09-12 20:30:00,1,0,0,3,-0.325
a,1.651,1.837,1.651,1.837,"{'att': 208, 'def': 17}","{'att': 349, 'def': 20}",4,7,3,2,1.24,w,2015-09-20 19:00:00,1,0,0,3,-0.185
h,2.897,0.832,2.897,0.832,"{'att': 180, 'def': 28}","{'att': 352, 'def': 16}",6,1,3,0,2.766,w,2015-09-26 18:00:00,1,0,0,3,2.065
a,1.04,2.17,1.04,2.17,"{'att': 231, 'def': 40}","{'att': 323, 'def': 15}",6,12,0,3,0.558,l,2015-10-04 19:00:00,0,0,1,0,-1.13
a,1.479,0.653,1.479,0.653,"{'att': 272, 'def': 23}","{'att': 290, 'def': 27}",6,5,3,0,2.036,w,2015-10-17 18:00:00,1,0,0,3,0.825
h,0.392,0.311,0.392,0.311,"{'att': 203, 'def': 29}","{'att': 325, 'def': 30}",5,6,0,0,1.332,d,2015-10-25 18:05:00,0,1,0,1,0.081
a,0.394,0.939,0.394,0.939,"{'att': 208, 'def': 28}","{'att': 249, 'def': 26}",8,5,0,0,0.779,d,2015-10-31 19:00:00,0,1,0,1,-0.545
h,1.278,0.594,0.517,0.594,"{'att': 158, 'def': 21}","{'att': 288, 'def': 23}",11,1,2,0,2.02,w,2015-11-07 19:00:00,1,0,0,3,-0.077
a,1.303,1.471,1.303,0.71,"{'att': 175, 'def': 33}","{'att': 230, 'def': 28}",8,9,2,1,1.182,w,2015-11-21 16:45:00,1,0,0,3,0.593
a,1.056,0.876,1.056,0.876,"{'att': 110, 'def': 23}","{'att': 323, 'def': 21}",3,3,1,1,1.48,d,2015-11-28 21:30:00,0,1,0,1,0.18
h,1.761,1.102,1.761,1.102,"{'att': 177, 'def': 19}","{'att': 256, 'def': 19}",14,2,0,0,1.852,d,2015-12-05 19:00:00,0,1,0,1,0.659
a,1.968,1.05,1.968,1.05,"{'att': 210, 'def': 22}","{'att': 256, 'def': 29}",3,5,1,2,2.101,l,2015-12-12 21:30:00,0,0,1,0,0.917
h,1.014,0.557,1.014,0.557,"{'att': 140, 'def': 23}","{'att': 285, 'def': 14}",7,1,1,2,1.743,l,2015-12-19 19:00:00,0,0,1,0,0.457
a,1.29,1.182,1.29,1.182,"{'att': 187, 'def': 32}","{'att': 222, 'def': 22}",8,4,0,2,1.449,l,2015-12-26 16:45:00,0,0,1,0,0.107
h,1.352,0.9,1.352,0.9,"{'att': 162, 'def': 32}","{'att': 371, 'def': 16}",7,0,0,0,1.796,d,2015-12-28 21:30:00,0,1,0,1,0.452
h,1.743,0.543,1.743,0.543,"{'att': 260, 'def': 26}","{'att': 250, 'def': 18}",10,3,2,1,2.274,w,2016-01-02 19:00:00,1,0,0,3,1.2
a,2.362,1.813,1.601,1.052,"{'att': 311, 'def': 24}","{'att': 205, 'def': 26}",8,11,3,3,1.772,d,2016-01-12 23:45:00,0,1,0,1,0.549
a,0.716,0.953,0.716,0.953,"{'att': 239, 'def': 31}","{'att': 218, 'def': 23}",2,9,1,0,1.139,w,2016-01-17 18:05:00,1,0,0,3,-0.237
h,0.187,0.836,0.187,0.836,"{'att': 168, 'def': 16}","{'att': 215, 'def': 31}",3,2,0,1,0.591,l,2016-01-23 19:00:00,0,0,1,0,-0.649
h,2.453,0.351,2.453,0.351,"{'att': 293, 'def': 24}","{'att': 212, 'def': 16}",10,13,3,0,2.778,w,2016-02-03 00:00:00,1,0,0,3,2.102
a,0.78,1.616,0.78,1.616,"{'att': 201, 'def': 19}","{'att': 183, 'def': 16}",4,10,1,1,0.701,d,2016-02-07 20:00:00,0,1,0,1,-0.835
a,0.908,1.482,0.908,1.482,"{'att': 100, 'def': 28}","{'att': 239, 'def': 25}",9,6,1,2,0.928,l,2016-02-13 16:45:00,0,0,1,0,-0.574
h,1.095,1.544,1.095,1.544,"{'att': 325, 'def': 32}","{'att': 176, 'def': 24}",7,4,3,2,0.988,w,2016-02-28 18:05:00,1,0,0,3,-0.448
h,0.786,2.165,0.786,2.165,"{'att': 150, 'def': 26}","{'att': 250, 'def': 34}",6,2,1,0,0.462,w,2016-03-03 00:00:00,1,0,0,3,-1.379
a,0.418,0.566,0.418,0.566,"{'att': 221, 'def': 15}","{'att': 229, 'def': 28}",1,8,0,1,1.123,l,2016-03-06 20:00:00,0,0,1,0,-0.148
a,0.9,1.862,0.9,1.862,"{'att': 212, 'def': 30}","{'att': 199, 'def': 23}",3,10,1,0,0.695,w,2016-03-20 20:00:00,1,0,0,3,-0.962
h,0.999,0.756,0.999,0.756,"{'att': 239, 'def': 33}","{'att': 260, 'def': 25}",8,4,1,0,1.603,w,2016-04-03 19:00:00,1,0,0,3,0.243
a,0.341,1.796,0.341,1.796,"{'att': 181, 'def': 26}","{'att': 203, 'def': 34}",1,8,0,3,0.314,l,2016-04-10 19:00:00,0,0,1,0,-1.455
h,1.091,0.262,1.091,0.262,"{'att': 173, 'def': 22}","{'att': 274, 'def': 13}",14,1,1,0,2.124,w,2016-04-16 18:00:00,1,0,0,3,0.829
